GEL-Bone_SoftTissue_common_SBS127	GEL-Bone_SoftTissue_common_SBS8	GEL-Bone_SoftTissue_common_SBS122	GEL-Bone_SoftTissue_common_SBS1	GEL-Bone_SoftTissue_common_SBS100	GEL-Bone_SoftTissue_common_SBS5	GEL-Bone_SoftTissue_common_SBS18	GEL-Bone_SoftTissue_common_SBS13	GEL-Bone_SoftTissue_common_SBS3	GEL-Bone_SoftTissue_common_SBS17	GEL-Bone_SoftTissue_rare_SBS7a	GEL-Bone_SoftTissue_rare_SBS124_a	GEL-Bone_SoftTissue_rare_SBS31	GEL-Bone_SoftTissue_rare_SBS30	GEL-Bone_SoftTissue_rare_SBS57	GEL-Bone_SoftTissue_rare_SBS44	GEL-Bone_SoftTissue_rare_SBS26	GEL-Bone_SoftTissue_rare_SBS108	GEL-Bone_SoftTissue_rare_SBS124_b	GEL-Bone_SoftTissue_rare_SBS135	GEL-Bone_SoftTissue_rare_SBS5+8	GEL-Bone_SoftTissue_rare_SBS96	GEL-Bone_SoftTissue_rare_SBS129	GEL-Bone_SoftTissue_rare_SBS117	unassigned
GEL-2971508-11	898.15471524095	894.656060256706	1042.59918530474	594.271539466605	609.265775113366	0	1004.11398047806	0	710.726769656445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749.211974483128
GEL-2998191-11	0	900.180058794709	1019.29936305732	0	0	977.582475910501	0	580.518128368447	1381.18079372856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296.23918014046
GEL-2603072-11	0	553.400180342651	334.939585211903	777.859693417493	219.460414788097	399.927862939585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486.412263300271
GEL-2730456-11	186.408423114594	0	174.349657198825	362.265426052889	224.594515181195	293.932419196866	0	152.241919686582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.207639569049
GEL-2498213-11	0	736.712072649573	657.796474358974	716.73344017094	646.308760683761	780.165598290598	0	428.042200854701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709.241452991453
GEL-2650831-11	0	850.645669291339	358.803149606299	458.07874015748	0	597.165354330709	1254.8031496063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152.50393700787
GEL-2155032-11	634.379134175854	1123.71430492068	407.528367840817	259.473111051358	0	351.317558483463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956.587523527828
GEL-2410947-11	231.230939226519	0	250.167955801105	204.32044198895	211.795580110497	437.544751381215	0	0	441.033149171271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478.907182320443
GEL-2079370-11	0	279.396447602131	0	1092.55026642984	0	292.414920071048	0	0	462.155772646536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692.482593250445
GEL-2595980-11	0	373.839326910028	901.906093092686	252.55367078301	345.389605102456	431.73700637807	440.222011127697	0	366.851675939748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565.500610666305
GEL-2635717-11	0	1193.54089034277	815.736595078936	0	1618.44545583843	862.836865310767	0	1069.27634760347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486.16384582563
GEL-2790122-11	743.519295302013	2798.83694325808	576.790726052471	503.690512507627	0	0	692.449283099451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1249.71323978036
GEL-2009790-11	311.505305525064	547.131113550433	528.660446395902	342.955360409806	287.04415172582	793.739480424442	0	464.26271496524	553.121600195146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264.579826808147
GEL-2466183-11	0	2802.05681189215	2208.65066814264	0	953.849134182019	0	0	0	1057.33276666403	3123.00604886534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500.10457025382
GEL-2438132-11	0	141.784422809458	0	371.555632823366	125.192628650904	385.13073713491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.336578581362
GEL-2495268-11	0	222.725307866298	0	357.163106308118	274.393566222669	431.404875596884	0	229.748177934154	257.839658205579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.725307866298
GEL-2152897-11	0	0	431.183653469228	0	278.58780870247	460.297334378675	0	286.117208937672	535.591336730694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569.222657781261
GEL-2306779-11	0	162.782956058589	0	193.242343541944	0	262.649800266312	0	0	128.328894806924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377.996005326231
GEL-2967963-11	0	0	1545.45382494831	753.684355616816	864.431857339766	0	534.19383184011	501.119917298415	807.805306685045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810.310906271538
GEL-2292586-11	0	375.286992429456	0	315.582243633861	353.713007570544	884.031658637302	1455.99311768754	0	518.779077770131	879.014452856159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320.599449415007
GEL-2185533-11	0	515.813381555154	240.413019891501	251.908860759494	328.881012658228	404.353707052441	350.873056057866	0	387.859674502712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283.897287522604
GEL-2462000-11	0	917.753512932963	622.332855992124	0	0	527.358363913005	0	636.329096930099	1073.71162624183	697.31271815985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110.20182583013
GEL-2812271-11	672.780945315812	633.205595591352	0	0	0	1011.92666384061	0	1555.96248410343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853.124311148796
GEL-2873357-11	0	745.118543439541	343.746685137542	0	0	246.034434989115	0	0	401.872946764298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795.227389669504
GEL-2758516-11	0	2264.63363824137	1165.56878135143	0	0	0	0	0	2895.67087636471	4642.77397462378	0	0	3424.20206550605	0	0	0	0	0	0	0	0	0	0	0	2553.15066391266
