GEL-CNS_common_SBS5	GEL-CNS_common_SBS8	GEL-CNS_common_SBS120	GEL-CNS_common_SBS3	GEL-CNS_common_SBS1	GEL-CNS_rare_SBS11_a	GEL-CNS_rare_SBS113	GEL-CNS_rare_SBS11_b	GEL-CNS_rare_SBS14	GEL-CNS_rare_SBS121	GEL-CNS_rare_SBS4	GEL-CNS_rare_SBS17	GEL-CNS_rare_SBS7a	GEL-CNS_rare_SBS119	GEL-CNS_rare_SBS137	GEL-CNS_rare_SBS2+13	unassigned
GEL-2687607-11	0	2810.98457370342	892.789118655313	829.733384938627	4055.58465111136	0	0	0	0	0	0	0	0	0	0	0	461.908271591279
GEL-2468518-11	0	2582.43062041361	765.127585056704	654.109072715143	1807.80145096731	0	0	0	0	0	0	0	0	0	0	0	187.531270847233
GEL-2938477-11	665.232707336988	3517.73054939928	740.25895252537	0	3415.69485594308	0	0	0	0	0	0	0	0	0	0	0	237.082934795282
GEL-2971362-11	1018.06801841829	1234.79537927135	871.914694240246	723.759269730996	2347.46263833912	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2588099-11	480.976886792453	613.694575471698	2444.79952830189	0	354.246462264151	0	0	0	0	0	0	0	0	0	0	0	337.282547169808
GEL-2433278-11	586.746228347923	1407.79214006333	684.95269137642	847.965449804433	1825.5434904079	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2315741-11	326.336934004143	388.614974844629	1643.14382953537	700.005179047055	308.899082568807	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2104719-11	2877.53570142806	1695.30781231249	0	966.325453018121	2303.6241449658	0	0	0	0	0	0	0	0	0	0	0	467.206888275529
GEL-2078665-11	671.431114074682	2335.76036109971	1099.38720763233	1449.35130283135	4191.07001436192	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-12
GEL-2277989-11	1267.29608850257	1912.47412090083	0	1031.18198340577	1750.05167917819	0	0	0	0	0	0	0	0	0	0	0	382.99612801264
GEL-2124462-11	922.234608745685	721.792289988492	819.264240506329	852.254746835443	0	0	0	0	0	0	0	0	0	0	0	0	159.454113924051
GEL-2369735-11	0	374.80505023079	745.106434971491	292.237849579147	276.725224002172	0	0	0	0	0	0	0	0	0	0	0	154.1254412164
GEL-2963389-11	603.437273386512	1639.68817984046	2173.07469180566	3173.79985496737	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2538679-11	663.526048870447	204.470262793914	614.413093591517	0	542.748271092669	0	0	0	0	0	0	0	0	0	0	0	148.842323651453
GEL-2616863-11	580.912990275005	2511.79989695369	824.457267984801	838.431119984543	2993.39872480196	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2477976-11	344.187962340282	615.547747141896	1171.23671822461	355.660894418292	480.366677874916	0	0	0	0	0	0	0	0	0	0	0	4.09272615797818e-12
GEL-2165947-11	623.406113537118	890.29403202329	1937.81659388646	0	0	0	0	0	0	0	0	0	0	0	0	0	332.483260553132
GEL-2495983-11	0	3788.58532991672	868.33196668802	672.48263933376	2275.24958360026	0	0	0	0	0	0	0	0	0	0	0	194.35048046124
GEL-2669271-11	1265.16213643071	4222.7100014281	1154.10401294807	2247.17608416242	1619.8477650307	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2909067-11	792.064643582286	2705.42863414366	857.111013554299	737.525764144213	4025.86994457554	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2925232-11	807.95991983968	2559.78891115564	871.917167668671	741.504342017368	2498.82965931864	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2185007-11	568.447912087912	2176.62962637363	433.222417582418	1342.73907692308	1175.96096703297	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2957703-11	1286.89063176114	2724.94461272177	846.915188230203	1064.14993509303	3331.09963219386	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2082139-11	2462.5712305026	3416.37345877692	0	1021.85947016588	2628.21054716514	0	0	0	0	0	0	0	0	0	0	0	576.98529338946
GEL-2552107-11	797.627508946631	1373.3586432239	1081.49494320834	766.641979150459	2404.87692547067	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2584804-11	469.093570472968	1120.02958998977	788.316990635083	698.894467616274	3271.66538128591	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2979616-11	0	0	0	0	0	0	0	153839.363435294	0	0	0	0	0	0	0	0	8231.63656470599
GEL-2518930-11	2269.89158163265	3833.38329081633	0	772.984693877551	644.821428571428	0	0	0	0	0	0	0	0	0	0	0	328.919005102041
GEL-2842092-11	745.379310344828	928.217649239896	480.889877641824	436.808305524657	1461.70485724879	0	0	0	0	0	0	0	0	0	0	0	5.00222085975111e-12
GEL-2386133-11	419.072711719418	0	854.687767322498	161.914456800684	242.119760479042	0	0	0	0	0	0	0	0	0	0	0	80.205303678358
GEL-2017895-11	2238.4289212828	0	442.876268221574	1408.78740524781	0	0	0	0	0	0	0	0	0	0	0	0	205.907405247816
GEL-2002730-11	1160.39703080864	1750.08244104316	877.787426919792	951.685344544439	2861.04775668397	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2819059-11	1201.00483271375	666.723234200743	546.823420074349	1220.57007434944	1762.87843866171	0	0	0	0	0	0	0	0	0	0	0	8.18545231595635e-12
GEL-2615230-11	1088.89082715511	2429.5252216892	526.463730193342	0	2638.81203663323	0	0	0	0	0	0	0	0	0	0	0	188.308184329118
GEL-2140230-11	1397.96735582155	1127.78039370858	512.854881788505	859.094470274013	1160.30289840736	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2744732-11	490.511668107174	491.010155574762	522.913353500432	274.666594641314	527.898228176318	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2856930-11	1331.63021868787	3366.17668986083	837.282554671968	672.834244532803	1862.07629224652	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-12
GEL-2552560-11	0	788.619867836638	1926.45704690716	1292.15415447947	433.891236052432	0	0	0	0	0	0	0	0	0	0	0	183.8776947243
GEL-2741242-11	0	0	1158.81117378458	318.085414987913	217.05828632823	0	0	0	0	0	0	0	0	0	0	0	168.045124899277
GEL-2871456-11	0	1347.18111496399	833.184315817551	1098.42464657242	1950.09086867609	0	0	0	0	0	0	0	0	0	0	0	389.119053969949
GEL-2128613-11	586.25	294.628205128205	416.38782051282	371.291666666667	676.442307692308	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2743781-11	0	2361.92423482188	1020.10348720522	569.999059207225	3645.29634972403	0	0	0	0	0	0	0	0	0	0	0	367.676869041646
GEL-2166159-11	0	2018.8035495716	536.353733170135	0	3556.5835373317	0	0	0	0	0	0	0	0	0	0	0	404.259179926565
GEL-2817263-11	1945.04063901345	1542.51485426009	480.627802690583	563.235706278027	827.580997757848	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2341114-11	830.713059759713	1483.84615384615	800.614760493057	1208.94835387736	2105.87767202372	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2224492-11	0	1474.54334298119	1105.53147612156	0	3838.52561505065	0	0	0	0	0	0	0	0	0	0	0	510.3995658466
GEL-2908824-11	0	0	0	0	0	0	0	448581.387490476	0	0	0	0	0	0	0	0	4245.61250952398
GEL-2406310-11	671.426257278984	4185.65727898359	1080.68607728957	671.426257278984	2841.80412916887	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2304188-11	865.379623784876	914.673399823255	647.292008584775	487.460674157303	1029.19429364979	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2593151-11	1889.59765448805	1160.21795218764	792.283085250338	1423.31384754172	0	0	0	0	0	0	0	0	0	0	0	0	268.587460532251
GEL-2921576-11	647.361376358248	575.100098781693	525.264734935792	422.603885413237	856.669904511031	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2564514-11	0	0	0	0	0	0	0	0	943245.111606231	0	0	0	0	0	0	0	84514.888393769
GEL-2306952-11	850.5	2205.5	0	642.5	2633.5	0	0	0	0	0	0	0	0	0	0	0	420
GEL-2863833-11	1628.34019233489	1691.41146938198	614.694668363739	522.590581247348	2621.96308867204	0	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
GEL-2460224-11	1711.88847388769	3068.73337264924	0	706.097896599174	1752.27966712535	0	0	0	0	0	0	0	0	0	0	0	371.000589738545
GEL-2488690-11	885.095520777118	738.57970858068	398.543011332974	0	2338.75240151106	0	0	0	0	0	0	0	0	0	0	0	272.029357798168
GEL-2518017-11	1040.0880733945	947.25871559633	986.68623853211	446.678899082569	659.288073394495	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2306082-11	1087.26032190343	1098.76836948915	576.903428971309	397.778166550035	414.289713086074	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2645293-11	0	0	0	8115.69338403681	0	0	0	0	0	0	33725.9592831481	0	0	0	0	0	5762.34733281509
GEL-2488241-11	1111.86640638262	0	0	1302.67187234765	3034.90578849092	0	0	0	0	0	0	0	0	0	0	0	435.555932778811
GEL-2965640-11	800.709948062325	639.163204155014	584.478126248502	461.562125449461	2537.0865960847	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2500813-11	0	0	0	5656.90773591608	0	0	0	0	0	0	59451.5112620613	0	0	0	0	0	3836.58100202262
GEL-2063122-11	692.875875453548	1787.2593030124	1282.62138216184	1945.95991899418	0	0	0	0	0	0	0	0	0	0	0	0	224.283520378031
GEL-2144555-11	0	1320.26228622862	530.904410441044	666.879927992799	2672.01890189019	0	0	0	0	0	0	0	0	0	0	0	363.934473447347
GEL-2133561-11	496.944605448373	2074.44315641302	416.792249730893	1710.25089012172	1351.569098286	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2855610-11	1196.99013157895	2463.89207726764	841.937989921613	810.477673572228	1821.70212765957	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2617618-11	1526.48722860792	1373.93853767561	2076.66283524904	788.751756066411	500.159642401022	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2286164-11	949.400144196107	1083.17471761596	558.059601057438	651.402307137707	911.96322999279	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2816179-11	2603.73433077234	3457.00028883369	0	632.585119288314	1695.04852405985	0	0	0	0	0	0	0	0	0	0	0	254.631737045805
GEL-2039982-11	582.665330661323	0	489.478957915832	171.843687374749	376.753507014028	0	0	0	0	0	0	0	0	0	0	0	129.258517034068
GEL-2664714-11	548.287584230501	1813.79730462396	783.196576562621	481.813337464178	2825.90519711874	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2848870-11	0	0	134260	0	0	0	0	0	694397	0	0	0	0	0	0	0	0
GEL-2386716-11	1592.46641615782	1356.65695944888	0	605.578753718491	2461.44935024268	0	0	0	0	0	0	0	0	0	0	0	392.84852043213
GEL-2628038-11	781	1779	657	836.5	1901.5	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2060031-11	260.1220657277	275.129107981221	843.395774647887	343.661267605634	408.691784037559	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2753771-11	264.118758434548	164.573999100315	314.141250562303	184.082771030139	185.083220872695	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2903841-11	821.212327917649	1102.95671586258	1220.55872504031	718.122907106536	0	0	0	0	0	0	0	0	0	0	0	0	172.149324072925
GEL-2726173-11	500.292267850536	179.463559008509	190.993340732519	223.577506474288	260.673325934147	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2089800-11	802.670248328558	1741.45415472779	0	3412.84980897803	2034.69902101242	0	0	0	0	0	0	0	0	0	0	0	391.326766953202
GEL-2229114-11	1251.5588496482	1527.35145843295	1252.05847393948	975.26661657217	2307.7646014072	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2574912-11	511.774863972884	2534.33716885202	684.0356792436	0	1483.2457407903	0	0	0	0	0	0	0	0	0	0	0	400.606547141196
GEL-2072312-11	1379.4438294125	915.954711284438	0	1232.63051956221	454.970939740848	0	0	0	0	0	0	0	0	0	0	0	4.09272615797818e-12
GEL-2390242-11	387.43216080402	579.146007816862	437.487995533222	388.933835845896	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2237754-11	0	2064.45653127467	578.847618212124	580.347223440653	2099.94718834986	0	0	0	0	0	0	0	0	0	0	0	374.401438722693
GEL-2001977-11	473.228387096774	0	430.527311827957	0	173.316129032258	0	0	0	0	0	0	0	0	0	0	0	90.928172043011
GEL-2551063-11	631.22507579811	1100.3923666845	780.27822364901	577.705992509363	2519.39834135902	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2765412-11	1604.67872600155	0	1481.00987681722	0	1147.20452779936	0	0	0	0	0	0	0	0	0	0	0	297.10686938187
GEL-2340692-11	831.671365283931	207.917841320983	704.916633105115	274.050745066452	469.44341522352	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2575564-11	799.322654462243	3194.2894063804	644.760263830933	0	2423.47826086957	0	0	0	0	0	0	0	0	0	0	0	370.149414456854
GEL-2483689-11	0	2680.63965055478	1059.92762402755	1121.06765718658	0	0	0	0	0	2997.36506823109	0	0	0	0	0	0	0
GEL-2232528-11	0	300.730811767308	1031.64609599646	506.860871488609	280.814863968149	0	0	0	0	0	0	0	0	0	0	0	130.947356779474
GEL-2416006-11	522	0	288	198	328	0	0	0	0	0	0	0	0	0	0	0	82
GEL-2620991-11	224.18186440678	290.884745762712	1510.59457627119	599.322881355932	334.01593220339	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2574359-11	348.550295857988	257.011834319527	134.289940828402	125.739644970414	0	0	0	0	0	0	0	0	0	0	0	0	69.408284023669
GEL-2242018-11	1367.60008779631	865.3797190518	0	0	1820.79894644425	0	0	0	0	0	0	0	0	0	0	0	504.22124670764
GEL-2286620-11	453.362074209246	701.786496350365	1359.08652676399	539.335918491484	233.428984184915	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2361061-11	798.405052974735	0	638.624490627547	324.040953545232	498.2565199674	0	0	0	0	0	0	0	0	0	0	0	183.672982885086
GEL-2563276-11	0	0	0	0	0	0	0	0	0	0	0	12500.9716687095	0	0	0	0	1820.0283312905
GEL-2944358-11	599.062922147174	534.949164592961	0	152.270174191255	0	0	0	0	0	0	0	0	0	0	0	0	122.71773906861
GEL-2032478-11	469.384197977473	1621.59993422675	868.785661432212	1043.74249773904	2076.48770862452	0	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
GEL-2485628-11	986.57881773399	740.810071154899	288.815818281336	365.3995621237	1276.39573070608	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2854667-11	1316.23488204389	0	1963.86638508293	561.247347275162	859.347584217575	0	0	0	0	0	0	0	0	0	0	0	146.303801380443
