GEL-Lung_common_SBS4_a	GEL-Lung_common_SBS2	GEL-Lung_common_SBS3+8	GEL-Lung_common_SBS92	GEL-Lung_common_SBS17	GEL-Lung_common_SBS13	GEL-Lung_common_SBS1+5	GEL-Lung_common_SBS4_b	GEL-Lung_rare_SBS5	GEL-Lung_rare_SBS44	GEL-Lung_rare_SBS148	GEL-Lung_rare_SBS18	GEL-Lung_rare_SBS1+18	GEL-Lung_rare_SBS31	GEL-Lung_rare_SBS33	GEL-Lung_rare_SBS113	GEL-Lung_rare_SBS7a	GEL-Lung_rare_SBS3	GEL-Lung_rare_SBS7a+38	GEL-Lung_rare_SBS144	unassigned
GEL-2500623-11	10533.3889661443	0	4181.97825854415	4061.56526448093	9754.45179707974	0	2246.87649088089	5111.80639942237	0	0	0	0	0	0	0	0	0	0	0	0	1476.93282344762
GEL-2084463-11	11184.0239339676	0	16707.8436792609	10267.8002374073	0	0	5147.63847838489	4247.40123672636	0	0	0	0	0	0	0	0	0	0	0	0	6736.29243425295
GEL-2801557-11	0	6125.88132076323	1821.41070864721	0	0	10581.3859894447	2120.47814515765	0	0	0	0	0	0	0	0	0	0	0	0	0	1524.84383598721
GEL-2762777-11	2164.89560981822	3955.63643309669	0	1869.77351883098	0	4568.89013402948	1238.51236827863	0	0	0	0	0	0	0	0	0	0	0	0	0	1914.291935946
GEL-2819057-11	0	0	0	703.33294747504	0	0	1693.61771089567	0	0	0	0	0	462.032556793518	0	0	0	0	0	0	0	608.016784835772
GEL-2293517-11	420.228358825961	0	0	658.641587432823	592.526994625879	0	2402.16353865234	0	0	0	0	0	1350.34047126912	0	0	0	0	0	0	0	634.099049193877
GEL-2358438-11	16769.5253770013	0	13102.0974390487	11092.2329934232	0	0	0	11926.2617750614	0	0	0	0	0	0	0	0	0	0	0	0	7287.8824154654
GEL-2938234-11	0	2512.66769004872	660.044049923246	611.540812921311	0	593.539611559768	2836.6893145565	0	0	0	0	0	0	0	0	0	0	0	0	0	277.518520990455
GEL-2545314-11	4760.97964279345	0	1517.87765293383	4413.73640092741	0	0	3356.51812785039	2883.36798389768	0	0	0	0	0	0	0	0	0	0	0	0	2677.52019159724
GEL-2814532-11	0	0	0	450.573167155425	0	0	1394.63123167155	0	0	0	0	0	0	642.678005865103	0	0	0	0	0	0	915.117595307922
GEL-2580657-11	3415.75023341264	0	1264.8520615607	1575.1930849622	4578.15477517092	0	2152.39740384905	2861.53413848146	0	0	0	0	0	0	0	0	0	0	0	0	745.118302563029
GEL-2947007-11	6018.94710645569	3304.24544981799	0	10347.268627888	1981.14716588664	3734.2773939529	6708.49832850457	0	0	0	0	0	0	0	0	0	0	0	0	0	1560.61592749421
GEL-2428932-11	6868.24315335348	0	3280.81703631906	1808.19459490279	0	0	1987.46602808978	10252.4283976662	0	0	0	0	0	0	0	0	0	0	0	0	2077.85078966869
GEL-2347037-11	4158.58347745741	0	3842.50112535241	1467.88244213319	1517.39534222559	0	3136.81726645976	5894.5357625151	0	0	0	0	0	0	0	0	0	0	0	0	1092.28458385654
GEL-2209273-11	0	0	446.932545544067	699.347858197932	0	0	734.391432791728	0	0	0	0	0	0	0	0	0	0	0	0	0	182.328163466273
GEL-2637481-11	18748.795073168	0	4431.75162438556	0	0	0	0	32291.1197242782	0	0	0	0	0	0	0	0	0	0	0	0	6492.33357816824
GEL-2921099-11	7794.35894177887	1989.94276502939	3856.45110942537	0	0	1631.63313104495	0	8348.06476389152	0	0	0	0	0	0	0	0	0	0	0	0	2730.5492888299
GEL-2440966-11	17692.5161272794	0	10374.6639082744	15311.0523680513	0	0	3770.15106467214	11632.3807047097	0	0	0	0	0	0	0	0	0	0	0	0	5614.23582701306
GEL-2592942-11	12717.5039269586	0	13780.0864912625	16720.431376399	0	0	0	5748.74160612606	0	0	0	0	0	0	0	0	0	0	0	0	7034.23659925384
GEL-2882218-11	393.446918918919	315.561513513513	571.327135135135	811.013189189189	0	0	2194.35848648649	0	0	0	0	0	0	0	0	0	0	0	0	0	362.292756756754
GEL-2217085-11	4864.14553983017	2072.08006469875	7887.38524868581	6236.21205014153	0	2390.13187221998	2076.57373230894	4500.15846340477	0	0	0	0	0	0	0	0	0	0	0	0	842.31302871005
GEL-2893635-11	2200.67190635452	2182.7113104287	1922.78157494679	4926.69124353907	0	2178.22116144725	946.922529644269	1828.48844633627	0	0	0	0	0	0	0	0	0	0	0	0	222.511827303131
GEL-2465988-11	0	0	867.294983116257	2367.26410998553	0	0	596.578630004824	0	0	0	0	0	0	0	0	0	0	0	0	0	325.862276893389
GEL-2499663-11	12012.3180736385	0	5750.19487610248	13691.582948341	0	0	2471.15399692006	5587.71762564749	0	0	0	0	0	0	0	0	0	0	0	0	3339.03247935047
GEL-2438493-11	11423.0268888341	0	5857.89845484515	10052.603395304	0	0	0	12182.4303559014	0	0	0	0	0	0	0	0	0	0	0	0	5040.04090511535
GEL-2304289-11	61295.5626903071	6285.58315619213	0	8235.41915953314	0	13029.2452503326	0	12340.1264987029	0	0	0	0	0	0	0	0	0	0	0	0	11973.0632449321
GEL-2829505-11	13222.1762054254	0	3673.02108991387	3512.08588907671	0	0	0	19293.231747565	0	0	0	0	0	0	0	0	0	0	0	0	3762.48506801902
GEL-2448720-11	5249.19661330405	3934.27261168583	2105.37831589898	2955.82916257296	0	3415.30260648442	1481.41437900942	6622.61723400566	0	0	0	0	0	0	0	0	0	0	0	0	188.989077038681
GEL-2325703-11	6786.60128054861	1615.71448314469	4062.55369732169	6942.21825306579	0	1732.30211850323	1826.87320469534	5259.45337018701	0	0	0	0	0	0	0	0	0	0	0	0	377.28359253364
GEL-2932562-11	14689.8852782384	3958.58594701643	3803.52382374437	21099.9533741463	0	4362.24766792144	5694.28132686822	8577.43641893326	0	0	0	0	0	0	0	0	0	0	0	0	1463.08616313159
GEL-2923551-11	17073.3600809986	0	7562.75349835283	18957.1686765195	0	0	3827.65889926557	13007.535739112	0	0	0	0	0	0	0	0	0	0	0	0	5791.5231057515
GEL-2399235-11	3018.36433870162	996.96429257793	1107.34961755775	3168.70815236192	0	0	3486.37813737172	0	0	0	0	0	0	0	0	0	0	0	0	0	1217.23546142906
GEL-2680009-11	10308.2236125829	1945.5521070739	0	6138.39704153178	0	0	6124.38586380594	8415.71382118542	0	0	0	0	0	0	0	0	0	0	0	0	1538.72755382006
GEL-2960610-11	444.11697544162	353.195389918139	802.308056872038	722.376992675571	0	0	1781.96316242999	0	0	0	0	0	0	0	0	0	0	0	0	0	534.039422662642
GEL-2166785-11	5129.4668013128	0	2296.89573340066	3049.34435748548	0	0	1309.15046705377	4646.35773794496	0	0	0	0	0	0	0	0	0	0	0	0	1415.78490280233
GEL-2822013-11	0	2318.87661895024	0	560.905248807089	0	743.525562372188	1656.12542603954	0	0	0	0	0	0	0	0	0	0	0	0	0	608.567143830944
GEL-2449748-11	3989.86953709028	993.712801897642	1581.93070730305	1663.0296866015	0	0	1532.87083093732	3681.99378234618	0	0	0	0	0	0	0	0	0	0	0	0	485.592653824027
GEL-2726924-11	0	181.559515951595	0	587.075687568757	0	0	990.596699669967	0	0	0	0	0	0	0	0	0	0	0	0	0	507.768096809681
GEL-2231179-11	8533.89567438466	0	11439.0516486433	8763.98722881974	0	2742.09109002853	0	9110.12495853513	0	0	0	0	0	0	0	0	0	0	0	0	4647.84939958864
GEL-2612319-11	23677.4787436696	0	8312.9077863548	18582.9710409462	0	0	7044.65903584869	9867.32548569305	0	0	0	0	0	0	0	0	0	0	0	0	7889.65790748766
GEL-2901750-11	11502.070294035	0	3357.16645455597	3364.66682643836	0	0	2574.12763003487	7555.87463431565	0	0	0	0	0	0	0	0	0	0	0	0	1899.09416062015
GEL-2860075-11	18169.7672697295	0	0	12068.5427920541	0	0	0	17607.1615239378	0	0	0	0	0	0	0	0	0	0	0	0	8521.5284142786
GEL-2661519-11	15331.3801618184	8292.26213209455	5364.75742667604	0	0	4601.36505133963	0	18868.698304678	0	0	0	0	0	0	0	0	0	0	0	0	5908.53692339337
GEL-2620668-11	8227.2630100404	2120.88789082144	3258.66890942827	4721.81625539737	0	2070.33096918515	3041.92487904694	4684.77455043612	0	0	0	0	0	0	0	0	0	0	0	0	740.333535644309
GEL-2628076-11	8191.09334256375	0	3320.15918618515	3700.84942886812	0	0	0	8315.65559016961	0	0	0	0	0	0	0	0	0	0	0	0	2486.24245221337
GEL-2076688-11	3507.88231504349	0	2411.79415870289	1508.30935251799	0	0	951.510576613336	4549.9414796521	0	0	0	0	0	0	0	0	0	0	0	0	1047.56211747019
