GEL-NET_common_SBS3+8	GEL-NET_common_SBS4_a	GEL-NET_common_SBS4_b	GEL-NET_common_SBS92	GEL-NET_common_SBS2+13	GEL-NET_common_SBS17	GEL-NET_common_SBS1	GEL-NET_common_SBS5	GEL-NET_rare_SBS44	GEL-NET_rare_SBS7a	GEL-NET_rare_SBS57	GEL-NET_rare_SBS100	GEL-NET_rare_SBS156	unassigned
GEL-2072095-11	401.046119235096	0	247.179415073116	0	0	0	216.902418447694	492.869797525309	0	0	0	0	0	407.002249718785
GEL-2179586-11	372.870800138552	0	0	240.916522341531	0	0	163.943193626602	381.867682715622	0	0	0	0	0	283.401801177693
GEL-2145866-11	491.434869739479	0	0	265.049241339823	0	133.28771829373	302.695390781563	537.729458917836	0	0	0	0	0	46.8033209275691
GEL-2975196-11	227.351998085666	0	221.31610433118	0	0	0	218.298157453936	992.904522613065	0	0	0	0	0	442.129217516153
GEL-2282735-11	341.618594231308	0	0	209.994959395127	0	0	320.518622234668	661.634836180342	0	0	0	0	0	260.232987958555
GEL-2393478-11	928.111066719936	0	0	309.370355573312	0	205.245705153815	389.966839792249	465.557331202557	0	0	0	0	0	207.748701558131
GEL-2554096-11	649.975939849624	0	393.590977443609	446.16992481203	335.503759398496	0	585.378947368421	747.121804511278	0	0	0	0	0	172.258646616542
GEL-2874711-11	336.523739777859	0	760.312950079336	0	0	0	2569.31612352008	0	0	0	0	0	0	442.847186622725
GEL-2648889-11	327.73248	0	0	336.75264	0	0	282.13056	434.97216	0	0	0	0	0	184.41216
GEL-2765926-11	485.601965601966	0	0	481.605241605242	0	0	381.687141687142	688.935298935299	0	0	0	0	0	402.170352170351
GEL-2979627-11	699.66985645933	0	0	0	0	251.6004784689	318.760765550239	785.875598086124	0	0	0	0	0	458.093301435407
GEL-2062412-11	299.765188513382	0	323.666731783551	429.729830044931	0	0	403.338542684118	706.091424106271	0	0	0	0	0	386.408282867747
GEL-2426495-11	435.462697274032	0	0	0	0	0	268.992109038737	423.281922525108	0	0	0	0	0	287.263271162123
GEL-2872361-11	441.976801405975	0	294.989103690685	0	0	0	264.577855887522	297.016520210896	0	0	0	0	0	143.439718804922
GEL-2397919-11	479.355131355131	0	0	278.286713286713	0	0	591.171234171234	884.500472500472	0	0	0	0	0	419.68644868645
GEL-2443767-11	316.088815789474	0	0	0	0	142.391447368421	215.606907894737	348.404605263158	0	0	0	0	0	205.50822368421
GEL-2325614-11	120.865005192108	0	0	0	0	0	81.9252336448598	145.139148494289	0	0	0	0	0	139.070612668743
GEL-2660128-11	498.847485303723	0	0	754.513063357283	0	0	404.970280862182	946.262246897453	0	0	0	0	0	453.406923579359
GEL-2393851-11	660.759937032664	0	0	276.108618654073	0	210.082644628099	417.164108618654	806.317197953562	0	0	0	0	0	171.567493112948
GEL-2897100-11	955.114705882353	0	0	0	0	0	366.001960784314	719.970980392157	0	0	0	0	0	515.912352941176
GEL-2430232-11	545.077922077922	0	0	0	0	171.944099378882	261.193675889328	677.691699604743	0	0	0	0	0	130.092603049125
GEL-2304479-11	644.206316652994	0	0	354.563166529943	0	0	412.491796554553	537.837366694012	0	0	0	0	0	485.901353568498
GEL-2333956-11	421.838457529964	0	0	344.316831683168	0	0	401.70297029703	529.563314226159	0	0	0	0	0	234.578426263679
GEL-2164588-11	863.573597481948	0	0	277.165524902796	0	204.491020181448	493.685428624329	609.463432697649	0	0	0	0	0	258.62099611183
GEL-2454226-11	277.530927835052	0	0	0	0	0	198.525773195876	458.837628865979	0	0	0	0	0	244.105670103093
GEL-2909997-11	304.082585949178	0	0	0	0	0	245.779147982063	432.752242152466	0	0	0	0	0	362.386023916293
GEL-2699086-11	0	0	0	178.760591133005	0	0	251.176354679803	390.943842364532	0	0	0	0	0	207.11921182266
GEL-2699086-12	375.30857648099	0	0	188.157382847038	0	144.388152077807	269.155614500442	576.0433244916	0	0	0	0	0	153.946949602123
GEL-2699086-13	0	0	259.988969028426	267.517607127705	0	0	572.678404751803	723.251166737378	0	0	0	0	0	542.563852354688
GEL-2164588-12	459.032520325203	0	0	0	0	0	414.480836236934	412.979094076655	0	0	0	0	0	437.507549361208
GEL-2451108-11	522.23605039856	0	0	301.601439958858	0	0	326.903574183595	531.85086140396	0	0	0	0	0	285.408074055027
GEL-2869521-11	952.863251542546	0	278.460037308079	0	0	0	251.963839862247	1207.32673267327	0	0	0	0	0	793.386138613858
GEL-2665811-11	534.041038318912	0	0	218.448454882571	0	0	324.652657601978	697.625710754017	0	0	0	0	0	261.232138442522
GEL-2193313-11	0	0	129.950354609929	0	64.7163120567376	228.836879432624	77.1418439716312	0	0	0	0	0	0	83.3546099290782
GEL-2950642-11	680.178857951864	0	0	296.360075507315	0	254.879660217084	373.323737612081	416.303445021236	0	0	0	0	0	96.9542236904201
GEL-2573269-11	0	0	0	0	0	0	508.53765323993	470.397329246935	0	0	0	1087.25350262697	0	256.811514886165
GEL-2793183-11	721.819558521561	0	0	0	0	0	281.795944558522	565.098819301848	0	0	0	0	0	388.285677618069
GEL-2136545-11	355.39792634966	0	0	169.141222738649	0	0	260.255988559171	409.26135144798	0	0	0	0	0	213.94351090454
GEL-2871716-11	0	0	0	0	0	19166.1970127593	0	4630.7052871339	48439.7988349358	0	0	0	0	2223.298865171
GEL-2363931-11	0	0	0	0	2257.31019404209	11584.6201147855	1776.89286690353	3501.68625307461	0	0	0	0	0	1042.49057119427
GEL-2380001-11	0	0	653.899338156072	0	392.939510543328	0	1421.28120671079	376.941973218408	0	0	0	0	0	402.937971371402
GEL-2673137-11	260.812974340441	0	444.236357065414	0	0	0	1502.56414889772	0	0	0	0	0	0	573.386519696425
GEL-2820141-11	0	0	0	0	0	0	338.190441708907	287.615133960898	0	0	0	0	676.380883417813	108.813540912382
GEL-2619907-11	561.483236731447	0	1047.06318899875	383.537788385044	370.971019434027	322.21195590408	353.377542902603	1349.67098533924	0	0	0	0	0	34.6842823048091
