GEL-Bladder_common_SBS13	GEL-Bladder_common_SBS17	GEL-Bladder_common_SBS92+100	GEL-Bladder_common_SBS1	GEL-Bladder_common_SBS2	GEL-Bladder_common_SBS2+13+107	GEL-Bladder_common_SBS92	GEL-Bladder_rare_SBS57	GEL-Bladder_rare_SBS94	GEL-Bladder_rare_SBS23	GEL-Bladder_rare_SBS109	GEL-Bladder_rare_SBS31	GEL-Bladder_rare_SBS33	GEL-Bladder_rare_SBS6	GEL-Bladder_rare_SBS20	GEL-Bladder_rare_SBS4	GEL-Bladder_rare_SBS147	GEL-Bladder_rare_SBS105	unassigned
GEL-2907639-11	4000.20382636382	0	1204.26031213577	1322.23683088382	2556.49117320977	3319.83924154988	4579.58850953748	0	0	0	0	0	0	0	0	0	0	0	602.380106319459
GEL-2709064-11	5464.56422965717	0	0	0	2145.72155101198	0	1102.11379595209	0	0	0	0	0	0	0	0	0	0	0	972.600423378761
GEL-2895247-11	21820.2238243447	0	2384.47806740262	0	7569.34316490784	4654.98108252687	2743.8993945436	0	0	0	0	0	0	0	0	0	0	0	1944.07446627437
GEL-2639340-11	17717.8795086868	0	0	0	5889.45296110437	0	0	0	0	0	0	0	0	0	0	0	0	0	4003.66753020883
GEL-2853833-11	14030.6189559358	0	0	1814.53725987835	3760.25795300398	0	0	0	0	0	0	0	0	0	0	0	0	0	3279.58583118187
GEL-2288634-11	1004.91804607015	0	0	511.703669406181	388.774858201181	562.674152100938	1551.60145850214	0	0	0	0	0	0	0	0	0	0	0	297.32781571941
GEL-2495198-11	2333.263099631	0	0	1527.55350553506	1035.84102091021	1023.86020910209	1718.24809348093	0	0	0	0	0	0	0	0	0	0	0	478.23407134071
GEL-2281729-11	2780.66007123071	0	0	784.686268302335	1076.25548080728	0	950.225563909774	0	0	0	0	0	0	0	0	0	0	0	727.172615749902
GEL-2809641-11	2909.8434468757	1269.21362508459	2709.38867584029	1030.2675389127	0	2999.32325738777	6070.13038574329	0	0	0	0	0	0	0	0	0	0	0	739.833070155659
GEL-2776983-11	4160.99490167516	1175.73806528504	3211.82096272264	0	2456.27451499702	2168.32847778587	1057.9646427862	0	0	0	0	0	0	0	0	0	0	0	842.878434748071
GEL-2053013-11	0	0	959.267727526522	1884.52596314908	0	846.736320491346	2721.75963149079	0	0	0	0	0	0	0	0	0	0	0	753.710357342262
GEL-2237723-11	0	0	0	1412.29538673399	0	1360.74810649529	983.40199678678	0	0	0	0	0	0	0	0	0	0	0	604.55450998394
GEL-2631352-11	3802.31111312381	0	7285.68001086858	1481.73154605561	3118.93492437279	2699.5109138665	3112.93601123087	0	0	0	0	0	0	0	0	0	0	0	576.895480481839
GEL-2165446-11	2053.25886524823	0	0	1408.77620173365	1277.98266351458	699.895193065406	3170.99448384555	0	0	0	0	0	0	0	0	0	0	0	258.092592592584
GEL-2089338-11	898.438797577855	0	1463.15743944637	2207.7642733564	0	1456.14230103806	0	0	0	0	0	0	0	0	0	0	0	0	925.497188581316
GEL-2699720-11	2837.68769824261	0	2996.30998714102	4291.8087441063	13361.3008144021	3064.86283754822	2161.66652378911	0	0	0	0	0	0	0	0	0	0	0	471.36339477064
GEL-2346802-11	2313.76860852423	0	0	2052.96376860852	1010.7436612059	0	1154.13636054653	0	0	0	0	0	0	0	0	0	0	0	818.38760111482
GEL-2050523-11	3092.30890403307	0	729.836889732991	2517.93726957882	984.779912858898	0	997.777008155513	0	0	0	0	0	0	0	0	0	0	0	626.360015640708
GEL-2649011-11	451.211352797488	0	518.094451552867	735.214958706526	0	353.88147028033	1952.58718157497	0	0	0	0	0	0	0	0	0	0	0	280.010585087819
GEL-2017830-11	0	0	0	2298.65440906082	0	2632.53158785026	1171.56902257851	0	0	0	0	0	0	0	0	0	0	0	693.24498051041
GEL-2346964-11	19373.3871573413	0	0	2683.43032539307	5663.29771914644	0	0	0	0	0	0	0	0	0	0	0	0	0	2897.88479811919
GEL-2510329-11	8918.17766352471	1995.77763496144	4484.61796629534	0	0	6368.26763781777	8185.34133104827	0	0	0	0	0	0	0	0	0	0	0	1592.81776635247
GEL-2810420-11	3667.21356803955	3624.63562058929	9851.53520593278	0	0	0	6606.09377616522	0	0	0	0	0	0	0	0	0	0	0	1377.52182927316
GEL-2189549-11	2508.14647627821	0	0	1010.47627821281	1316.7267772148	0	1039.54752034393	0	0	0	0	0	0	0	0	0	0	0	654.10294795025
GEL-2872827-11	3294.1435392852	0	2452.59593401823	2959.9260599045	0	3443.24055852988	0	0	0	0	0	0	0	0	0	0	0	0	1681.09390826219
GEL-2450721-11	3047.72516689456	0	1175.97273385345	1421.07126196413	1400.0628166975	1329.53446473096	3858.55111397088	0	0	0	0	0	0	0	0	0	0	0	205.08244188852
GEL-2492851-11	0	0	477	1667	0	506	331	0	0	0	0	0	0	0	0	0	0	0	210
GEL-2034297-11	0	0	1374.48745877885	2887.32267412811	0	3628.50704506845	1454.39952033576	0	0	0	0	0	0	0	0	0	0	0	651.283301688829
GEL-2099745-11	5691.05903202151	0	1124.098020044	0	1659.62111953068	1611.57418724028	1417.88499144463	0	0	0	0	0	0	0	0	0	0	0	780.762649718901
GEL-2424992-11	0	0	526.255133470226	1546.0318275154	0	0	1098.33726899384	1518.3341889117	0	0	0	0	0	0	0	0	0	0	216.041581108834
GEL-2389535-11	1117.03379716203	0	8529.71213287867	1874.07328676713	0	0	4870.68793312067	0	0	0	0	0	0	0	0	0	0	0	1815.4928500715
GEL-2500182-11	4726.5	0	0	1558.5	1569.5	0	911.5	0	0	0	0	0	0	0	0	0	0	0	977
GEL-2217736-11	3260.03061831153	0	0	1995.4066587396	2304.31480380499	1052.68697978597	780.267984542212	0	0	0	0	0	0	0	0	0	0	0	696.292954815699
GEL-2589018-11	13040.4904266958	0	2457.40397389809	2152.4158916849	3357.86878712098	4112.33930525164	0	0	0	0	0	0	0	0	0	0	0	0	470.481615348588
GEL-2932417-11	7575.07811348563	0	0	1151.84819454679	2239.1488577745	0	0	0	0	0	0	0	0	0	0	0	0	0	1255.92483419308
GEL-2334715-11	2260.86314018208	0	1035.79194891487	2177.46041334081	1436.32480476334	2252.37304224015	2116.53147516935	0	0	0	0	0	0	0	0	0	0	0	295.6551753894
GEL-2750273-11	535.075786189342	0	0	2147.29107480089	462.201658592659	602.958535183513	1518.87650874456	0	557.037852040397	0	0	0	0	0	0	0	0	0	255.55858444864
GEL-2423377-11	2309.77495899399	0	0	919.604811372335	587.205467468562	0	409.992564242756	0	0	0	0	0	0	0	0	0	0	0	351.422197922357
GEL-2128638-11	1434.08287052162	0	359.899161494065	554.385059348797	652.63051290428	0	1480.19808341501	0	0	0	0	0	0	0	0	0	0	0	121.804312316228
GEL-2809630-11	465.573650503202	0	0	2912.83257090576	707.352241537054	921.655992680695	505.037511436414	0	0	0	0	0	0	0	0	0	0	0	493.548032936875
GEL-2871942-11	18917.9869747899	0	3108.32647058824	0	13609.9294642857	7586.7968487395	0	0	0	0	0	0	0	0	0	0	0	0	4381.96024159666
GEL-2188943-11	2687.35201084501	0	2048.21961138726	1387.61635788522	0	2347.313601446	3746.41436963398	0	0	0	0	0	0	0	0	0	0	0	1043.08404880253
GEL-2474441-11	2785.54170661553	0	0	1563.49760306807	606.03004154682	0	792.731224033237	0	0	0	0	0	0	0	0	0	0	0	500.199424736343
GEL-2438014-11	4624.07424082469	0	1738.21586039868	3131.88893373906	2712.83689374651	1397.67357014221	1924.23896168416	0	0	0	0	0	0	0	0	0	0	0	576.07153946469
GEL-2733238-11	2815.86329273415	0	741.622427551449	1203.0096598068	1369.64951700966	871.731625367493	2414.52645947081	0	0	0	0	0	0	0	0	0	0	0	115.597018059638
GEL-2581764-11	6050.23090758163	0	970.895164637521	0	1784.38838544549	1830.8594355285	2916.68300359712	0	0	0	0	0	0	0	0	0	0	0	893.943103209738
GEL-2738940-11	5446.71834319527	0	960.302958579882	911.287495069034	1941.6125443787	0	3195.00796844181	0	0	0	0	0	0	0	0	0	0	0	224.070690335304
GEL-2268136-11	1848.12963872326	0	589.541353910908	2166.65198176079	698.549000350754	832.058365485794	869.560996141705	0	0	0	0	0	0	0	0	0	0	0	123.508663626789
GEL-2166091-11	8187.19728234931	8230.69036188551	7846.25153242183	0	23975.1851539908	0	0	0	0	0	0	0	0	0	0	0	0	0	5180.67566935255
GEL-2902413-11	2108.10892632336	0	0	2599.78448534261	1302.14075894731	601.103351118039	1167.22978238715	0	0	0	0	0	0	0	0	0	0	0	556.632695881532
GEL-2091032-11	77769.99418169	0	0	0	13906.9200374174	0	0	0	0	0	0	0	0	0	0	0	0	0	10469.0857808926
GEL-2188059-11	2664.36450117406	0	666.842073574568	1416.78909025227	564.212475164068	1963.98007104582	883.61581070504	0	0	0	0	0	0	0	0	0	0	0	155.195978084174
GEL-2501657-11	3838.85493287717	0	0	4962.89806998624	1635.79041314938	1273.11516864378	948.958536313265	0	0	0	0	0	0	0	0	0	0	0	792.382879030165
GEL-2806759-11	18659.0715082777	0	0	0	6131.00923808653	0	0	0	0	0	0	0	0	0	0	0	0	0	2546.91925363577
GEL-2996564-11	0	0	7172.45625237505	0	62936.489861266	0	0	0	0	0	0	0	0	0	0	0	0	0	10208.0538863589
GEL-2976025-11	0	0	20938.4246736627	0	60258.0734067059	0	9172.09971845406	0	0	0	0	0	0	0	0	0	0	0	7371.40220117733
GEL-2371988-11	1451.85518436811	0	492.611566341002	2298.1878348566	650.48707847463	0	1007.20579892846	0	0	0	0	0	0	0	0	0	0	0	440.652537031197
GEL-2181544-11	1208.6992416124	0	1132.68671173028	860.141785508202	1751.78876432281	2107.3473744951	4771.28649740335	0	0	0	0	0	0	0	0	0	0	0	301.049624927859
GEL-2289357-11	22947.1089165636	0	0	0	12400.6118565872	6436.13412538069	5061.17821065646	0	0	0	0	0	0	0	0	0	0	0	2915.96689081205
GEL-2200430-11	486.037767220903	0	639.391923990499	1169.88741092637	0	468.554394299287	1231.32897862233	0	0	0	0	0	0	0	0	0	0	0	210.799524940611
GEL-2006322-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245768.857189779	0	0	0	22203.142810221
GEL-2475050-11	42950.8163507566	0	0	0	16219.8716035489	0	0	0	0	0	0	0	0	0	0	0	0	0	5732.3120456945
GEL-2482109-11	7400.28387205885	1485.65926051202	4831.6440394901	2766.22751199713	0	6050.68498826713	0	0	0	0	0	0	0	0	0	0	0	0	1127.50032767477
GEL-2835362-11	983.958582525607	0	3883.862927064	2017.88966797278	4211.18282120025	1558.6423661236	1266.80294906166	0	0	0	0	0	0	0	0	0	0	0	616.660686052102
GEL-2677695-11	13235.5025244913	1492.88749058026	2172.33628485305	0	4898.63082140166	3149.76262245667	0	0	0	0	0	0	0	0	0	0	0	0	1588.88025621706
GEL-2441830-11	1133	0	1049	1222.5	0	2894.5	0	0	0	0	1975.5	0	0	0	0	0	0	0	785.5
GEL-2444347-11	0	0	544.084987345144	2150.78899693619	0	377.753296922872	418.835220460903	0	0	0	0	0	0	0	0	0	0	0	269.537498334891
GEL-2997448-11	7164.68907186024	0	0	1904.05024674742	3489.09207505344	0	4049.10685350856	0	0	0	0	0	0	0	0	0	0	0	2340.06175283034
GEL-2209218-11	9063.52420614263	0	0	1647.59529180404	2793.66157672509	1812.6048354445	0	0	0	0	0	0	0	0	0	0	0	0	1972.61408988374
GEL-2678518-11	3431.37767338361	0	748.037334651997	1191.76288787242	1233.23723575226	0	955.409074051181	0	0	0	0	0	0	0	0	0	0	0	524.175794288532
GEL-2409154-11	800.227124183007	0	224.686887254902	267.915236928105	230.71875	205.585988562092	414.187908496732	0	0	310.640931372549	0	0	0	0	0	0	0	0	7.03717320261285
GEL-2877373-11	45921.6065464706	0	5096.28807131927	0	9545.41257401371	10407.6304969729	0	0	0	0	0	0	0	0	0	0	0	0	4203.06231122352
GEL-2852642-11	6945.05901201602	0	6630.30707610147	0	2395.91775700935	6086.87209612817	11365.597329773	0	0	0	0	0	0	0	0	0	0	0	2182.24672897199
GEL-2601748-11	627.48654940507	0	438.840274185204	882.684428349715	311.241334712882	0	1451.12519399897	0	0	0	0	0	0	0	0	0	0	0	157.622219348159
GEL-2314016-11	5972.90256461698	0	0	2083.09412512121	2908.23529608453	1991.63389841843	943.589661283312	0	0	0	0	0	0	0	0	0	0	0	1047.54445447554
GEL-2766960-11	510.508587257618	0	741.238448753463	879.876565096953	0	0	2068.06027700831	0	0	0	0	0	0	0	0	0	0	0	317.316121883656
