GEL-Uterus_common_SBS17	GEL-Uterus_common_SBS3+8	GEL-Uterus_common_SBS1	GEL-Uterus_common_SBS18	GEL-Uterus_common_SBS13	GEL-Uterus_common_SBS2	GEL-Uterus_rare_SBS44	GEL-Uterus_rare_SBS10a	GEL-Uterus_rare_SBS20	GEL-Uterus_rare_SBS26_a	GEL-Uterus_rare_SBS10d	GEL-Uterus_rare_SBS14_a	GEL-Uterus_rare_SBS31	GEL-Uterus_rare_SBS5	GEL-Uterus_rare_SBS9	GEL-Uterus_rare_SBS26_b	GEL-Uterus_rare_SBS18+44	GEL-Uterus_rare_SBS14_b	unassigned
GEL-2241750-11	0	0	3239.2851167724	0	0	0	19199.5076147211	0	0	0	0	0	0	0	0	0	0	0	2567.2072685065
GEL-2502007-11	0	6432.90082856411	0	1932.66977022294	1317.27492098744	1187.29712992227	0	0	0	0	0	0	0	0	0	0	0	0	834.85735030324
GEL-2613485-11	0	1361.0599028067	1561.43677476941	1515.8510363979	0	317.597342060895	0	0	0	0	0	0	0	0	0	0	0	0	295.054943965095
GEL-2456893-11	0	1039.1772936693	4462.76139013708	1740.29691143848	0	911.15545190831	0	0	0	0	0	0	0	0	0	0	0	0	638.60895284683
GEL-2294804-11	0	495.55568279416	921.89407386201	161.507014028056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.043229315774
GEL-2186473-11	0	3767.20030449461	2232.24789832528	545.404382074535	485.249486992785	0	0	0	0	0	0	0	0	0	0	0	0	0	542.89792811279
GEL-2032895-11	0	743.308286993083	4610.11420046114	1299.28685745287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733.290655092906
GEL-2248178-11	0	0	3729.86534881174	4093.20611105027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1303.92854013799
GEL-2629147-11	0	2205.94358192404	3091.42445245356	565.626559467702	418.463543110618	673.245772109787	0	0	0	0	0	0	0	0	0	0	0	0	267.296090934293
GEL-2126790-11	0	0	19383.3796345261	0	0	0	29133.0705877744	0	0	0	0	0	0	0	0	0	0	0	2541.5497776995
GEL-2193330-11	0	3132.6390553558	995.044169219159	2320.60300972167	3433.15239490389	1058.54698805877	0	0	0	0	0	0	0	0	0	0	0	0	324.014382740712
GEL-2403758-11	0	937.347511445872	1547.37527691626	484.212671688082	0	280.702998080047	0	0	0	0	0	0	0	0	0	0	0	0	144.361541869739
GEL-2465699-11	0	0	3074.36880210619	745.316695919263	0	312.342255375165	0	0	0	0	0	0	0	0	0	0	0	0	430.972246599382
GEL-2994312-11	426.056663941128	2552.33475061325	2040.16557645135	579.256827473426	0	412.539002452985	0	0	0	0	0	0	0	0	0	0	0	0	112.647179067861
GEL-2212686-11	0	527.5	1237.5	1036	0	237	0	0	0	0	0	0	0	0	0	0	0	0	153
GEL-2364516-11	0	0	8006.33780171436	0	0	0	38687.9714733821	0	0	0	0	0	0	0	0	0	0	0	3965.69072490354
GEL-2520833-11	0	5914.14146080204	7287.62924281984	0	0	0	41206.1323558948	0	0	0	0	0	0	0	0	0	0	0	5296.09694048332
GEL-2783098-11	0	0	7666.77069513969	0	0	0	11094.1564865731	0	0	0	0	0	0	0	0	0	0	0	1503.07281828721
GEL-2164562-11	0	835.853063792968	3143.80555337057	1578.38999449383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785.951388342632
GEL-2808803-11	0	7526.28535039512	0	0	0	0	63661.7671854734	0	0	0	0	0	0	0	0	0	0	0	3576.94746413147
GEL-2549021-11	0	3612.74251292118	0	0	0	0	43584.7973491329	0	0	0	0	0	0	0	0	0	0	0	8304.46013794592
GEL-2788334-11	0	1640.12944297082	1929.97559681698	357.810079575597	0	341.818567639257	0	0	0	0	0	0	0	0	0	0	0	0	440.266312997346
GEL-2335134-11	0	8626.2435374645	0	0	0	0	88145.6610718707	0	0	0	0	0	0	0	0	0	0	0	13076.0953906648
GEL-2761092-11	0	2873.97356828194	3340.13148085395	0	0	0	37309.1385970857	0	0	0	0	0	0	0	0	0	0	0	3708.75635377841
GEL-2674865-11	0	0	31289.7929113968	0	0	0	25658.200247338	0	0	0	0	0	0	0	0	0	0	0	65.0068412652035
GEL-2934460-11	0	3510.1043754006	0	0	21307.4929325642	4394.12696083392	0	0	0	0	0	0	0	0	0	0	0	0	415.27573120128
GEL-2828800-11	0	0	11358.881044221	0	0	0	9833.12095329935	0	0	0	0	0	0	0	0	0	0	0	602.99800247965
GEL-2382470-11	0	750.689127105666	1784.13782542113	392.360183767228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340.812863705976
GEL-2287818-11	0	0	29163.1841370669	0	0	0	56152.6464524025	0	0	0	0	0	0	0	0	0	0	0	510.169410530594
GEL-2357739-11	0	1281.31625689446	2820.8978218192	774.795924090866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476.989997195474
GEL-2468253-11	0	19775.7373506456	0	3035.07117215267	3015.060813345	0	0	0	0	0	0	0	0	0	0	0	0	0	2184.13066385673
GEL-2277743-11	0	1191.25001749353	2093.43936743405	1555.82653418235	594.124693863271	1411.79630536701	0	0	0	0	0	0	0	0	0	0	0	0	300.563081659789
GEL-2424885-11	42446.7669939909	0	36282.3091308808	0	0	0	0	0	262390.923875128	0	0	0	0	0	0	0	0	0	3.49245965480804e-10
GEL-2355709-11	0	2127.87549988682	1887.50252772957	967.98845544405	543.712668829699	878.035991850902	0	0	0	0	0	0	0	0	0	0	0	0	217.884856258959
GEL-2893286-11	0	660.946790717123	2145.70405603178	1350.86932887309	0	403.662136734267	0	0	0	0	0	0	0	0	0	0	0	0	217.81768764374
GEL-2426902-11	0	612.765104460757	2065.15302089215	1299.32128740824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437.760587238853
GEL-2053716-11	0	4188.42127572298	0	1109.31701647638	642.604361796677	676.083749230874	0	0	0	0	0	0	0	0	0	0	0	0	692.573596773089
GEL-2759263-11	0	602.078544061303	303.306513409962	0	0	91.6973180076628	0	0	0	0	0	0	0	0	0	0	0	0	54.9176245210722
GEL-2295705-11	0	1109.36491992798	2165.16393442623	1346.15625888373	0	391.982279920402	0	0	0	0	0	0	0	0	0	0	0	0	270.332606841658
GEL-2626761-11	0	603.508837209302	1399.84	413.691534883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.959627906977
GEL-2805303-11	0	2629.10118505014	2065.61531449407	1067.02643573382	2609.1194165907	1855.30720145852	0	0	0	0	0	0	0	0	0	0	0	0	185.83044667275
GEL-2784950-11	0	1422.92145709791	1366.80624470531	659.85477429505	0	305.126467384727	0	0	0	0	0	0	0	0	0	0	0	0	385.291056517003
GEL-2321162-11	0	1974.34199428649	1409.95837301047	760.516936471229	1335.90803972249	1502.52128962046	0	0	0	0	0	0	0	0	0	0	0	0	372.753366888861
GEL-2703626-11	399.93800458487	2133.33638991329	1098.20273098774	884.468653443636	0	486.532841622645	0	0	0	0	0	0	0	0	0	0	0	0	19.5213794478186
GEL-2954220-11	0	474.636389767175	1891.0434032768	1908.04828973843	0	460.632365622305	0	0	0	0	0	0	0	0	0	0	0	0	485.63955159529
GEL-2634799-11	0	493.934375740346	2335.41791044776	924.749348495617	0	291.050580431177	0	0	0	0	0	0	0	0	0	0	0	0	183.8477848851
GEL-2290338-11	0	0	0	0	0	0	0	608952.559132171	0	0	0	0	0	0	0	0	0	0	16717.440867829
GEL-2977110-11	0	0	0	0	0	0	0	0	0	717113.361193925	0	0	0	0	0	0	0	0	53776.638806075
GEL-2791574-11	0	0	22943.7450668193	0	0	0	32170.555441258	0	0	0	0	0	0	0	0	0	0	0	796.6994919227
GEL-2864058-11	71633.7288301233	0	0	0	0	0	0	0	0	0	1043649.84150198	0	0	0	0	0	0	0	56286.4296678968
GEL-2728473-11	0	445.308442023792	2010.1353017056	604.739859538484	0	261.887344130715	0	0	0	0	0	0	0	0	0	0	0	0	164.929052601409
GEL-2709796-11	0	0	2700.57204195952	0	0	0	30896.8833562332	0	0	0	0	0	0	0	0	0	0	0	4235.54460180728
GEL-2534706-11	0	432.198306983692	2352.30063488112	772.247728121499	0	261.923191833686	0	0	0	0	0	0	0	0	0	0	0	0	204.330138180003
GEL-2430658-11	0	542.893953986089	2300.81252006421	1203.54799357945	0	450.08303905832	0	0	0	0	0	0	0	0	0	0	0	0	165.662493311931
GEL-2476612-11	0	0	8976.70220005116	0	0	0	42234.4758250192	0	0	0	0	0	0	0	0	0	0	0	7457.82197492964
GEL-2565363-11	419.814692256784	614.728656518862	1638.27685859254	1442.86311493492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415.316677696894
GEL-2298731-11	0	271.921768707483	580.46768707483	169.574829931973	0	112.380952380952	0	0	0	0	0	0	0	0	0	0	0	0	45.6547619047619
GEL-2805034-11	0	1092.1343904341	1773.84247465558	404.420067585131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580.603067325189
GEL-2216546-11	0	0	29111.0311975079	0	0	0	0	0	0	0	0	415381.907386966	0	0	0	0	0	0	13878.0614155261
GEL-2110366-11	0	3200.92264102344	829.4982398901	1099.66051343694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696.91860564952
GEL-2816772-11	0	1030.27132125497	1488.28104286346	445.482103402563	0	381.841802916483	0	0	0	0	0	0	0	0	0	0	0	0	56.1237295625242
GEL-2429311-11	4029.77205837362	0	0	0	0	0	50724.8933794285	0	0	0	0	0	0	0	0	0	0	0	10662.3345621979
GEL-2832446-11	0	389.295492487479	904.008347245409	315.048414023372	0	132.440734557596	0	0	0	0	0	0	0	0	0	0	0	0	62.2070116861439
GEL-2175209-11	0	695.826994278021	2150.37495792662	1163.03938067991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439.758667115449
GEL-2872207-11	411.593943195054	1517.00340471284	1148.86658901532	517.988979482125	1251.76507481408	727.782008780575	0	0	0	0	0	0	0	0	0	0	0	0	6.3664629124105e-12
GEL-2445045-11	0	669.12242505443	1592.04990788813	371.177357226595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.650309830845
GEL-2485674-11	0	0	43359	0	0	0	33150	0	0	0	0	0	0	0	0	0	0	0	122
GEL-2944237-11	0	0	4795.83313018519	1783.61152832934	0	0	16711.0988086345	0	0	0	0	0	0	0	0	0	0	0	2165.45653285097
GEL-2535277-11	0	3696.66070119339	3383.77405990796	0	0	0	45282.5941328716	0	0	0	0	0	0	0	0	0	0	0	4219.97110602705
GEL-2038235-11	785.900761095186	1021.11930414154	2345.66551349214	433.323712563013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487.990708708121
GEL-2385408-11	0	164.65295288653	903.081287325813	228.907763769078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216.357996018579
GEL-2059635-11	0	525.889193174637	1109.26627343585	315.433536970718	0	313.433958289446	0	0	0	0	0	0	0	0	0	0	0	0	108.977038129349
GEL-2160526-11	0	0	0	0	0	0	0	406430.882355975	0	0	0	0	0	0	0	0	0	0	20070.117644025
GEL-2619069-11	0	0	36162	0	0	0	27482	0	0	0	0	0	0	0	0	0	0	0	111
