GEL-Skin_common_SBS13	GEL-Skin_common_SBS1+5+18	GEL-Skin_common_SBS17	GEL-Skin_common_SBS7a	GEL-Skin_common_SBS38	GEL-Skin_rare_SBS38	GEL-Skin_rare_SBS129	GEL-Skin_rare_SBS5	GEL-Skin_rare_SBS7a+7c	GEL-Skin_rare_SBS2+13	GEL-Skin_rare_SBS8+23	GEL-Skin_rare_SBS131	GEL-Skin_rare_SBS17	GEL-Skin_rare_SBS99	GEL-Skin_rare_SBS96	GEL-Skin_rare_SBS7a+7c+115	unassigned
GEL-2295345-11	4341.86902796538	2689.44119265596	664.867427084897	1788.79808894892	0	0	0	0	0	0	0	0	0	0	0	0	500.024263344843
GEL-2561980-11	0	0	2048.32307421738	17703.6138133762	0	0	0	0	0	0	0	0	0	0	0	0	157.06311240642
GEL-2276029-11	0	0	0	401480.624012261	0	0	0	0	0	0	0	0	0	0	0	0	12845.375987739
GEL-2171462-11	0	0	0	113122.114323192	0	0	0	0	0	0	0	0	0	0	0	0	5420.885676808
GEL-2018004-11	0	2636.84352	224.07168	0	0	0	0	0	0	0	0	0	0	0	0	0	265.0848
GEL-2941539-11	0	0	5387.17838043676	54443.8027450786	0	0	0	0	0	0	0	0	0	0	0	0	570.018874484638
GEL-2364608-11	0	0	4246.87862766672	65563.1262592344	0	0	0	0	0	0	0	0	0	0	0	0	170.995113098877
GEL-2991225-11	0	0	3883.69485076395	29530.877798176	0	0	0	0	0	0	0	0	0	0	0	0	350.427351060047
GEL-2913900-11	0	0	13275.553852875	209329.465134254	0	0	0	0	0	0	0	0	0	0	0	0	564.981012871023
GEL-2846809-11	765.845428424077	5160.69697192957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867.457599646353
GEL-2683935-11	0	1892.29515179468	1972.37111695922	14582.3337312461	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2885355-11	1481.87999706863	4804.73207284453	1067.77380821516	0	0	0	0	0	0	0	0	0	5034.2909384046	0	0	0	1260.32318346708
GEL-2159063-11	0	0	1739.0038805874	28722.8225074069	0	0	0	0	0	0	0	0	0	0	0	0	599.173612005699
GEL-2208501-11	0	0	0	23843.0798193729	0	0	0	0	0	0	0	0	0	0	0	15226.8406792597	250.0795013674
GEL-2172747-11	0	2226.78471163873	760.109208309938	8825.07307291249	0	0	0	0	0	0	0	0	0	0	0	0	665.033007138842
GEL-2743948-11	0	389.051802945658	494.241747079736	0	0	0	0	0	0	0	0	0	0	0	0	0	107.706449974606
GEL-2617415-11	0	0	6786.8783931483	76426.1306014943	0	0	0	0	0	0	0	0	0	0	0	0	501.991005357399
GEL-2864845-11	0	0	0	272500.5	0	0	0	0	0	0	0	0	0	0	0	0	6187.5
GEL-2468223-11	0	0	5310.19477906111	47668.7021528792	0	0	0	0	0	0	0	0	0	0	0	0	1459.10306805969
GEL-2600544-11	542.510369702435	2182.53020739405	0	313.716862037872	216.304779080253	0	0	0	0	0	0	0	0	0	0	0	68.9377817853897
GEL-2898786-11	0	0	3754.28027710085	31368.9863366282	0	0	0	0	0	0	0	0	0	0	0	0	1390.73338627095
GEL-2684380-11	0	0	4902.08482004515	51189.8281907123	0	0	0	0	0	0	0	0	0	0	0	0	393.086989242547
GEL-2051375-11	0	0	30473.5526916398	371432.302612255	0	0	0	0	0	0	0	0	0	0	0	0	1241.14469610521
GEL-2440389-11	0	1570.2577962578	0	442.918918918919	0	0	0	0	0	0	0	0	0	0	0	0	155.823284823281
GEL-2977324-11	0	0	3419.5	49883	0	0	0	0	0	0	0	0	0	0	0	0	175.5
GEL-2965495-11	0	0	4499.24320365262	46193.8634642823	0	0	0	0	0	0	0	0	0	0	0	0	1868.89333206508
GEL-2472943-11	0	1231.19225363111	0	13904.6712478526	0	0	0	0	0	0	0	0	0	0	0	0	874.136498516289
GEL-2692211-11	1808.5	0	0	15851	0	0	0	0	0	0	0	0	9179.5	0	0	0	1584
GEL-2254413-11	0	1386.44788171737	819.673585442138	5445.33153255616	1008.09854990048	0	0	0	0	0	0	0	0	0	0	0	129.448450383852
GEL-2725940-11	0	0	3477.81841301002	38819.2160528253	0	0	0	0	0	0	0	0	0	0	0	0	2546.96553416468
GEL-2396914-11	0	0	0	7523.22714666377	1066.17390831475	0	0	0	0	0	0	0	0	0	0	0	606.59894502148
GEL-2285445-11	0	0	26628.6099016175	386316.855786625	0	0	0	0	0	0	0	0	0	0	0	0	567.534311757481
GEL-2892771-11	0	0	3449.64086376295	57394.8436798131	0	0	0	0	0	0	0	0	0	0	0	0	378.515456423949
GEL-2624519-11	0	0	2152.82533658989	21697.818372661	0	0	0	0	0	0	0	0	0	0	0	0	929.35629074911
GEL-2301225-11	0	0	6889.18071004114	45550.3066909188	0	0	0	0	0	0	0	0	0	0	0	0	73.5125990400629
GEL-2828754-11	0	0	0	47458.6103438516	0	0	0	0	0	0	0	0	0	0	0	0	3768.3896561484
GEL-2675667-11	133.50315258512	930.005044136192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.491803278688
GEL-2547039-11	0	0	0	103022.096729441	0	0	0	0	0	0	0	0	0	0	0	0	5468.90327055901
GEL-2953876-11	14104.6503774335	1524.15176797775	1609.60421136273	0	0	0	0	0	0	0	0	0	0	0	0	0	1628.59364322602
GEL-2807403-12	0	0	4534.92783491259	32316.5488131984	0	0	0	0	0	0	0	0	0	0	0	0	247.523351889009
GEL-2277240-11	0	0	961.618026146198	14467.2756705334	0	0	0	0	0	0	0	0	0	0	0	0	866.106303320403
GEL-2669589-11	0	0	6044.66683565487	90787.9862725796	0	0	0	0	0	0	0	0	0	0	0	0	4738.34689176553
