GEL-Skin_common_SBS13	GEL-Skin_common_SBS1+5+18	GEL-Skin_common_SBS17	GEL-Skin_common_SBS7a	GEL-Skin_common_SBS38	GEL-Skin_rare_SBS38	GEL-Skin_rare_SBS129	GEL-Skin_rare_SBS5	GEL-Skin_rare_SBS7a+7c	GEL-Skin_rare_SBS2+13	GEL-Skin_rare_SBS8+23	GEL-Skin_rare_SBS131	GEL-Skin_rare_SBS17	GEL-Skin_rare_SBS99	GEL-Skin_rare_SBS96	GEL-Skin_rare_SBS7a+7c+115	unassigned
GEL-2745537-11	0	0	12935.072264768	171866.529877926	0	0	0	0	0	0	0	0	0	0	0	0	925.397857306001
GEL-2166269-11	0	0	1908.03109567562	30343.9461613986	0	0	0	0	0	0	0	0	0	0	0	0	1878.02274292578
GEL-2791677-11	0	0	981.067176245774	15024.3716007644	0	0	0	0	0	0	0	0	0	0	0	0	994.561222989827
GEL-2366743-11	0	0	0	36241.2017073438	0	0	0	0	0	0	0	0	0	0	0	0	4898.7982926562
GEL-2807403-11	0	0	4965.01111155363	32390.5487275479	0	0	0	0	0	0	0	0	0	0	0	0	300.44016089847
GEL-2066982-11	0	194.986493246623	0	91.7288644322161	0	0	0	622.052026013007	0	0	0	0	0	0	0	0	93.2326163081539
GEL-2956044-11	0	0	22782.6569863305	115725.098601138	0	0	0	0	0	0	0	0	0	0	0	0	2485.24441253149
GEL-2440913-11	0	0	41426.7899191428	512140.221599156	0	0	0	0	0	0	0	0	0	0	0	0	671.988481701235
GEL-2564002-11	0	0	2243.29402897031	27606.6184046667	0	0	0	0	0	0	0	0	0	0	0	0	668.087566362989
GEL-2674194-11	0	0	4481.11087467524	76250.3866386243	0	0	0	0	0	0	0	0	0	0	0	0	100.502486700454
GEL-2611054-11	0	0	0	90896.413568421	0	0	0	0	0	0	0	0	0	0	0	0	4105.58643157899
GEL-2615382-11	273.175788795879	1771.6400515132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286.184159690921
GEL-2152401-11	0	0	0	57729.3902625242	0	0	0	0	0	0	0	0	0	0	0	0	1868.6097374758
GEL-2246176-11	406.749762920815	1965.03769559033	1044.70993361783	0	814.502607871029	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2074698-11	0	0	13114.4827162728	64097.0280262682	0	0	0	0	0	0	0	0	0	0	0	0	138.489257459005
GEL-2106226-11	0	0	0	105769.5	0	0	0	0	0	0	0	0	0	0	0	0	2665.5
GEL-2706955-11	0	0	4553.7390012702	42791.745908609	0	0	0	0	0	0	0	0	0	0	0	0	287.515090120796
GEL-2217478-11	0	0	2041.45627064756	16632.7174544822	0	0	0	0	0	0	0	0	0	0	0	0	1459.82627487024
GEL-2017524-11	0	0	0	22618.8203923458	0	0	0	0	0	0	0	0	0	0	0	0	2279.1796076542
GEL-2893617-11	0	0	15090.3215590657	195900.183507827	0	0	0	0	0	0	0	0	0	0	0	0	428.494933107315
GEL-2676752-11	0	0	2205.61010331475	28631.4386779568	0	0	0	0	0	0	0	0	0	0	0	0	275.951218728449
GEL-2925731-11	0	0	0	38103.5206018897	0	0	0	0	0	0	0	0	0	0	0	0	1637.4793981103
GEL-2492876-11	0	0	1966.81125229443	32776.5193585566	0	0	0	0	0	0	0	0	0	0	0	0	410.66938914897
GEL-2517455-11	0	0	1685.0929142542	24197.8342431762	0	0	0	0	0	0	0	0	0	0	0	0	1321.0728425696
GEL-2948355-11	0	0	7775.11203008602	95879.3815074711	0	0	0	0	0	0	0	0	0	0	0	0	448.506462442878
GEL-2666972-11	0	0	0	19303.7450276511	0	0	0	0	0	0	0	0	0	0	0	0	1314.2549723489
GEL-2187977-11	0	0	4269.32604853911	18821.8244973296	2143.41061891298	0	0	0	0	0	0	0	0	0	0	0	222.438835218312
GEL-2634762-11	0	0	7074.21057341942	102134.758988502	0	0	0	0	0	0	0	0	0	0	0	0	303.030438078582
GEL-2758420-11	0	4623.61465095637	4501.63800755348	48320.7473414902	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2332959-11	0	0	0	87676.6961276909	0	0	0	0	0	0	0	0	0	0	0	0	4677.3038723091
GEL-2921625-11	0	0	0	136434.249437686	0	0	0	0	0	0	0	0	0	0	0	0	7163.750562314
GEL-2146640-11	0	0	4982.96931366813	75679.533947101	0	0	0	0	0	0	0	0	0	0	0	0	529.496739230875
GEL-2814341-11	0	0	0	161540.568344827	0	0	0	0	135770.185922407	0	0	0	0	0	0	0	6667.24573276599
GEL-2649996-11	0	1236.16439230708	1430.19019498311	12536.1671321789	3596.47828053095	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2893273-11	0	0	0	99170.8435704388	0	0	0	0	0	0	0	0	0	0	0	0	4036.1564295612
GEL-2977738-11	0	5180.78640735652	2299.90749392242	12617.020758905	2257.4461262023	0	0	0	0	0	0	0	0	0	0	0	1275.83921361376
GEL-2700564-11	0	1562.80914674758	0	4802.98675349663	0	0	0	0	0	0	0	0	0	0	0	0	394.204099755791
GEL-2660625-11	0	0	4732.53382845951	65020.9647740838	0	0	0	0	0	0	0	0	0	0	0	0	195.501397456697
GEL-2940397-11	0	1093.15017737485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.84982262515
GEL-2185049-11	0	0	3287.69492908554	26364.0441318079	0	0	0	0	0	0	0	0	0	0	0	0	976.26093910656
GEL-2297949-11	0	2195.77285421709	2026.79033492625	19714.4606011709	0	0	0	0	0	0	0	0	0	0	0	0	229.976209685759
GEL-2976820-11	0	0	25226.6049014879	213007.385762939	0	0	0	0	0	0	0	0	0	0	0	0	2245.00933557309
GEL-2834743-11	0	694.008955370762	0	929.691187324706	0	0	0	0	0	8213.27505781627	0	0	0	0	0	0	354.024799488261
GEL-2133683-11	0	4095.88807976697	0	60291.4925311823	0	0	0	0	0	0	0	0	0	0	0	0	2547.61938905073
GEL-2266152-11	0	0	17280.0884466775	209672.439431103	0	0	0	0	0	0	0	0	0	0	0	0	528.472122219508
GEL-2191345-11	0	0	13264.144123261	123918.846456137	0	0	0	0	0	0	0	0	0	0	0	0	867.009420602
GEL-2056898-11	0	0	26367.7205476457	448834.265241986	0	0	0	0	0	0	0	0	0	0	0	0	520.014210368274
GEL-2120224-11	10192.6373167833	0	0	78025.6889317311	0	0	0	0	0	0	0	0	0	0	0	0	6468.67375148559
GEL-2376110-11	0	0	10334.4846992833	149845.528363976	0	0	0	0	0	0	0	0	0	0	0	0	261.986936740723
GEL-2281341-11	0	0	0	96574.0364564094	0	0	0	0	0	0	0	0	0	0	0	0	4953.96354359059
GEL-2746654-11	0	0	5709.09404266125	92632.9131386491	0	0	0	0	0	0	0	0	0	0	0	0	100.992818689643
GEL-2206223-11	1082.87684122095	6583.91122934752	0	561.974012881546	714.237916549986	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2718237-11	0	0	0	239887.2251716	0	0	0	0	316078.895860146	0	0	0	0	0	0	0	3533.87896825396
GEL-2351158-11	0	0	0	20519.5	0	0	0	0	0	0	0	0	0	0	0	0	2008.5
GEL-2449383-11	0	645.335604227684	0	6523.33821469502	0	0	0	0	0	0	0	0	0	0	0	0	682.326181077296
GEL-2037933-11	0	0	3960.782647364	36008.1151736746	0	0	0	0	0	0	0	0	0	0	0	0	517.102178961395
GEL-2484163-11	0	0	2682.04015631317	29979.4488613394	0	0	0	0	0	0	0	0	0	0	0	0	733.51098234743
GEL-2359400-11	0	0	13310.4575639119	152896.999520361	0	0	0	0	0	0	0	0	0	0	0	0	596.542915727128
GEL-2667342-11	0	0	4657.24837711582	52656.3487489275	0	0	0	0	0	0	0	0	0	0	0	0	361.402873956678
GEL-2697574-11	0	1541.56072962219	0	21437.8445416223	0	0	0	0	0	0	0	0	0	0	0	0	2404.59472875551
GEL-2810461-11	0	0	10225.5118621414	94019.0117905389	0	0	0	0	0	0	0	0	0	0	0	0	495.476347319694
GEL-2053895-11	0	0	3276.29244952737	29534.1653051698	0	0	0	0	0	0	0	0	0	0	0	0	1489.54224530283
GEL-2889288-11	0	0	0	126509.136497607	0	0	0	0	0	0	0	0	0	0	0	0	5651.863502393
GEL-2862780-11	0	0	5005.79147803117	65083.2936780919	0	0	0	0	0	0	0	0	0	0	0	0	743.914843876933
GEL-2497371-11	0	0	29177.0785711195	522526.361512419	0	0	0	0	0	0	0	0	0	0	0	0	3021.55991646147
GEL-2450504-11	1046.88819699972	2142.31757712992	2851.41919048967	623.52901217096	407.846023209737	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2782089-11	0	0	4485.5956185915	65723.4010132807	0	0	0	0	0	0	0	0	0	0	0	0	158.0033681278
