GEL-Kidney_common_SBS13	GEL-Kidney_common_SBS5	GEL-Kidney_common_SBS1	GEL-Kidney_common_SBS125	GEL-Kidney_common_SBS107	GEL-Kidney_rare_SBS150	GEL-Kidney_rare_SBS57	GEL-Kidney_rare_SBS22	GEL-Kidney_rare_SBS17	GEL-Kidney_rare_SBS44	GEL-Kidney_rare_SBS26	GEL-Kidney_rare_SBS6	GEL-Kidney_rare_SBS18	GEL-Kidney_rare_SBS31_a	GEL-Kidney_rare_SBS168	GEL-Kidney_rare_SBS117	GEL-Kidney_rare_SBS13	GEL-Kidney_rare_SBS2+13	GEL-Kidney_rare_SBS141	GEL-Kidney_rare_SBS121	GEL-Kidney_rare_SBS108	GEL-Kidney_rare_SBS152	GEL-Kidney_rare_SBS138	GEL-Kidney_rare_SBS153	GEL-Kidney_rare_SBS127	GEL-Kidney_rare_SBS31_b	unassigned
GEL-2374563-11	0	1210.10624286592	492.043199578541	1106.59715514971	2651.2327684608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235.020633945029
GEL-2058712-11	411.5	2167.5	565.5	1649.5	2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2004567-11	262.230953194397	1170.79877007175	730.750256235053	595.389135633755	1626.83088486505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2531718-11	548.009517118038	1380.76417986714	1194.93050587634	2074.64314001022	2622.65265712826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2992115-11	206.020253164557	780.972151898734	475.701265822785	363.918987341772	1341.38734177215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27373675443232e-12
GEL-2765559-11	0	2246.20208189952	1002.70621128699	1777.13781830695	607.731073640743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.222814865797
GEL-2319788-11	0	1502.78925398694	0	2109.42438189019	691.935352670448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383.851011452422
GEL-2788728-11	0	1219.76191458634	238.540127914174	301.18196822777	569.289044769961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.226944501755
GEL-2995936-11	0	2779.74905495784	573.432509450422	3027.00436173306	1811.20756033731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397.606513521368
GEL-2624630-11	0	2474.79779831758	417.803510229515	1550.6264409596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374.772250493305
GEL-2190526-11	0	2104.88171080888	1071.95830350752	1303.66544380816	856.265479599141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256.229062276298
GEL-2913884-11	0	2383.91205266712	497.503376097232	1622.64179608373	1238.75337609723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.189399054688
GEL-2222866-11	0	2012.82080829698	0	2859.58679726726	638.577660712816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569.014733722944
GEL-2994809-11	0	1697.03023465704	649.085288808664	1440.79918772563	2504.75857400722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.326714801446
GEL-2626433-11	524.465828392729	2141.86044693465	693.954785328034	1939.37363997655	2374.34529936804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2616312-11	139.08281573499	630.608465608466	763.210720036807	0	476.072003680699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.025994939038
GEL-2722681-11	481.902802984473	2631.46924783222	481.402903811252	1592.178866707	2250.04617866505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45696821063757e-12
GEL-2250965-11	251.969249542404	1241.34850518609	809.401220256254	844.396949359366	949.884075655888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2688426-11	0	3038.53036029226	750.87818090199	2054.53476946334	1704.85865457294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393.19803476947
GEL-2444735-11	0	1717.20573032048	1206.53670063506	1055.78201151972	2500.93043863536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.54511888938
GEL-2349217-11	0	2169	999.5	1350.5	2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387
GEL-2775663-11	0	1805.46660985435	555.142082429501	1704.57731639293	2063.46211651689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350.351874806329
GEL-2848461-11	0	1435.63065084963	291.338249438923	1220.51170246874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.519397242707
GEL-2335090-11	0	2575.04688861774	780.317238975074	2889.17459764104	1952.29370751264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.167567253506
GEL-2803814-11	0	730.179112857945	597.328467153285	247.222066254913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.270353733857
GEL-2912221-11	0	2614.53064704299	1012.81818181818	1238.2777079781	5715.97388495019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559.399578210539
GEL-2035033-11	469.647917900138	1867.57647523189	665.417998815867	3273.0153937241	1335.342214328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45696821063757e-12
GEL-2605004-11	490.233291298865	1887.24779319042	1027.08385876419	1419.57124842371	2330.86380832282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2414761-11	0	1346.09249041429	754.589825119237	601.477415131394	2330.6002992612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.239970073879
GEL-2254516-11	0	1618.89216152019	853.132066508314	582.479809976247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.495961995249
GEL-2505999-11	0	1183.02399232246	267.523032629559	0	477.325335892514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.127639155467
GEL-2572796-11	2350.64383561644	691.689452054795	335.591917808219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273.074794520546
