ICGC-CNS_common_SBS5	ICGC-CNS_common_SBS1	ICGC-CNS_common_SBS126	ICGC-CNS_common_SBS8	ICGC-CNS_common_SBS18	ICGC-CNS_common_SBS120	ICGC-CNS_rare_SBS11	ICGC-CNS_rare_SBS23	unassigned
96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb	578.488365243004	1762.94079528719	408.638586156112	1746.95493372607	0	541.521060382916	0	0	49.4562592047077
d60f54f5-b154-42c4-99fb-cea4e7a33dc7	876.281809284116	2789.5389401566	826.065086689038	1797.7586689038	0	871.762304250559	0	0	21.5931907158865
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	2181.05326241666	1470.90793317852	1086.01618098734	1460.38354932954	0	491.639074087947	0	0	0
a6957d15-453c-4f3b-ab8c-c38054dfe548	479.768451519537	1226.90786300048	390.811384466956	439.787747226242	0	410.801736613604	0	0	159.922817173181
c065761d-f775-457f-bda0-4c7c257a701e	0	2628.53921288161	0	3177.59181004536	0	5081.24132575912	0	0	1370.62765131391
56ffaa35-814c-4c0b-b3c6-d4514d34fec2	0	0	1665.97279322854	1105.49123337364	0	4689.97793228537	0	0	793.55804111245
7cae6c0b-36fe-411b-bbba-093a4c846d84	2166.0167962322	2848.75571696079	1204.56800771719	2045.20910174204	0	0	0	0	569.450377347781
53dec97d-0464-4ffd-8e2e-95b2b9a03af0	0	3191.75451197891	0	5807.0115015684	0	900.27694685639	0	0	1108.9570395963
eab71331-53d3-4cf5-96c9-5121a3962c27	755.28152642737	2598.52810877988	0	1956.13919146136	0	830.210249287229	0	0	692.840924044162
39520be3-a2af-4189-acf4-9d239363333a	644.78140839971	2215.4027878349	0	1593.16618392469	0	619.230629978277	0	0	462.418989862423
1e27cc8a-5394-4958-9af6-5ece1fe24516	661.571625516982	1759.1790951247	600.927559844592	3324.39741822283	0	1559.70522621882	0	0	92.2190750720765
5fd77ba9-5015-4d8b-86a0-582e5c76bdd6	1222.44558686073	3139.36026171719	0	4991.77780745093	0	910.959451640183	0	0	968.456892330967
25bee010-cc99-4af0-ba2f-fe4dd308be33	405.345661450925	435.371266002845	0	305.260312944523	266.727453769559	261.723186344239	0	0	84.572119487909
374cbd87-428e-4509-85c1-b7d3302c30a0	1085.60086175943	2701.22743267504	0	2020.91087971275	0	579.120718132855	0	0	589.140107719925
3914c02e-44ad-4c96-8464-61aa95b42c49	0	3034.78181818182	1226.38787878788	2636.38181818182	0	1136.84848484848	0	0	182.599999999999
f98de26b-c7d6-435d-81fa-1f1869da9087	0	0	0	0	0	0	233266.827967009	0	12106.172032991
914421d2-898e-433e-bb66-b1710eaae2c7	1366.42417974993	3653.14430760553	0	3989.6181254113	0	847.193005546677	0	0	795.620381686564
41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f	853.221155224308	1199.2163537337	601.360685108213	3292.71262720367	0	657.440948831876	0	0	383.048229898233
4a1ad661-f6ae-44e8-b50b-72ff658ff22b	735.868496517821	1398.39959033183	510.368455551004	2417.14092585006	567.741253584596	459.481278164687	0	0	1.81898940354586e-12
4d7f2c74-862b-4aad-98e1-fa831f14a905	436.411729019211	500.398786653185	671.864105156724	946.308594539939	0	2132.56865520728	0	0	256.448129423661
b8151614-b08f-49a3-ab6f-2e780f765a17	643.07212603594	1210.81152047263	0	2776.83433166489	0	643.07212603594	0	0	806.2098957906
82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6	684.113276836158	1062.39943502825	421.761581920904	885.999152542373	0	442.749717514124	0	0	40.976836158191
fca08ee9-b480-4dc7-be56-f1eb03b56f7c	0	2635.29921418497	0	1157.32722143865	0	536.57898448519	0	0	643.79457989119
2fdab641-d73b-4f9a-aa4c-c1944f131a69	924.519977490152	1032.58075407991	0	1218.68542487338	338.190208216095	725.407990996061	0	0	205.615644344402
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	541.739803820341	3037.23799690243	0	1708.10310494874	591.669739656317	638.603879342134	0	0	252.645475330038
b1e62d8e-24d2-4118-8cd0-3142acebdd5b	766.706636068082	2084.20252438325	0	1273.51271753681	0	531.296710652132	0	0	571.281411359726
6de41ac1-229b-40b9-a494-5588c284351d	1039.79752704791	3202.91648062282	0	2948.34363730036	0	925.26475470834	0	0	620.67760032057
7163a0f7-2c69-40b8-8857-8ab3f46f0acf	0	2988.73589031381	1254.51876366645	2522.04290526565	0	1546.13935346611	0	0	152.563087287979
9880c3c9-5685-42a7-8fe9-7585ea1a1d37	995.847287633002	2838.99005756149	529.184545613117	770.768794697366	0	465.162218733647	0	0	135.047095761378
65723119-bdfe-46f0-b629-c171023abd71	0	3780.27072797836	622.450194049159	2742.18605198165	0	866.322474420793	0	0	504.770551570038
ece0f3a4-a204-4c52-bb1f-88d44a875b2e	870.040329689704	5134.3860190409	0	3778.16136283498	0	798.660084626234	0	0	743.752203808182
c27290e4-6835-448a-abdc-df8ddd5f4630	1375.77282670339	2477.29028599206	657.913149153366	771.311998703719	0	724.353884793	0	0	159.357854654465
2c71d542-1653-4d97-8752-f2fd05c7e75d	1701.54414834827	1869.64730443326	657.403413975193	2934.80093331696	0	677.415694461501	0	0	307.188505464816
d1132127-1250-43af-9c16-425798a3d1a7	1474.95231852056	2793.53864200938	713.670438862821	1332.6191691968	0	948.219431410433	0	0	5.45696821063757e-12
96e3db14-2bb1-4f68-aed6-5e794750c96e	1402.43067569571	3728.81567890861	864.457268548268	2447.87899757797	0	1543.42370619347	0	0	127.993673075971
04339769-517c-448d-a7ca-951f83608c60	514.68443627451	440.729779411765	300.81556372549	959.411764705882	0	888.954963235294	0	0	157.403492647059
b60392fb-43d9-4c9c-b91b-ded40492e61c	919.38012295082	2659.93954918033	787.109631147541	2394.39651639344	0	866.772540983607	0	0	196.401639344263
b2d17671-d2e1-4c97-8b01-a976d5abe1d6	604.359698681733	0	667.74011299435	1776.64783427495	0	1564.04896421846	0	0	422.203389830507
a8f86b64-914c-4d89-897b-33bcdd1759f7	762.500358680057	1614.73613103778	0	699.835963653754	400.04949784792	427.120516499283	0	0	288.757532281206
88395c0e-4afe-434d-8b20-5a3eef8b7f00	0	160.139251523064	136.118363794604	0	0	618.537859007833	0	0	235.204525674499
4853fd17-7214-4f0c-984b-1be0346ca4ab	482.403076107133	433.761601697163	0	179.020684168656	0	607.767700875099	0	0	188.046937151949
00493087-9d9d-40ca-86d5-936f1b951c93	923.318989340703	389.266877220687	0	0	0	817.610738255034	0	0	407.803395183576
8c46a1df-1c10-4188-992a-a55b782494c9	1018.45791752966	510.980606288835	0	0	0	678.63829787234	0	0	449.923178309165
2aeaab9f-4459-4be8-91e7-e0746cbd671c	712.958789936719	275.141842876987	304.262694860318	371.54190461491	0	1564.4926686217	0	0	24.6020990893662
c6888be2-4517-41e4-a801-9c915f24e737	1384.3038277512	211.003588516746	0	0	0	871.58014354067	0	0	466.112440191384
f92a34fa-014e-4b41-a6d0-3b46b8c8a3ee	309.642114984992	252.208496882937	326.123066266451	0	0	1024.316093281	0	0	250.71022858462
c1abb741-4fcd-4161-b057-c7efd619cc99	621.342688999547	536.727931190584	0	0	0	821.113626075147	0	0	232.815753734722
3d477ac1-3bdf-4410-9594-1a3a1412c6ae	486.759724137931	2346.66262068966	0	1575.45894252874	0	561.876965517241	0	0	475.241747126428
ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8	301.071428571429	428.525	245.373214285714	290.533928571429	0	1415.03571428571	0	0	129.460714285718
86386b36-2950-4479-b79f-4b347053c8bc	576.671675922901	315.052270499837	0	0	0	530.295981705325	0	0	120.980071871937
3a81f733-b3a3-4578-b925-a663612bc92c	428.003418073061	468.097415082247	293.187353129673	217.509933774834	0	835.959837641529	0	0	103.242042298656
6847e993-1414-4e6f-a2af-39ebe218dd7c	65.1151079136691	119.89448441247	0	53.7458033573142	0	133.330935251799	0	0	58.9136690647477
85d915b8-0184-4ec7-93ad-e9ffa2f5743b	2342.89869006129	312.586227616873	0	0	0	801.938468934022	0	0	697.576613387815
d252a54e-0377-4b3e-8228-26108ea704fa	748.019698725377	398.777056778679	0	0	0	688.978679026651	0	0	323.224565469293
d414e076-dcb6-4edf-adef-0abdc57354ea	1302.92274982282	317.22466335932	0	0	0	886.127569099929	0	0	317.725017717931
a78544d7-65c6-4778-af62-ceec24c14056	830.034385569335	0	0	2900.86761153165	0	1813.16733773555	0	0	668.930665163465
67f88cd9-ab77-4227-a8d7-5512246f9772	764.76253776435	140.507552870091	0	0	0	484.751057401813	0	0	270.978851963746
4daa2708-d0db-40fe-a07a-763f003adcae	105.35781671159	237.679245283019	120.83692722372	99.8652291105121	129.325471698113	0	0	0	47.9353099730459
4d6bb438-86f0-4414-962f-2b1cebee4524	143.75959933222	0	130.282136894825	0	151.247078464107	85.856427378965	0	0	86.854757929883
cb89cea8-f78e-4024-97c2-8f24debee1bc	256.486486486487	351.351351351351	0	122.471042471042	324.247104247104	0	0	0	115.444015444016
32a63b4f-3baa-4987-ad30-5bd0c0548088	0	0	163.716126900198	791.044282881692	176.232650363516	207.774289491077	0	0	176.232650363517
03b5268e-881e-49e7-824f-170c3fc8b11b	394.526819367933	206.537547115106	416.082922586257	0	540.406494636126	0	0	0	171.446216294578
3f3aff50-d71b-44af-85d4-f81e813ea420	173.076718403548	95.0421286031042	290.628824833703	252.611973392461	150.566740576497	166.073614190687	0	0	0
7f22b0f7-4040-4c84-939e-894c3050ef5d	100.63910158244	93.6641143440531	332.806533945891	0	277.504849412966	0	0	0	171.38540071465
7bd4d5e2-69ee-4264-93e4-2ba01418c460	0	472.716323296355	0	0	263.068145800317	108.855784469097	0	0	109.359746434231
d8e2af63-afe0-4f15-88b4-78118cf68160	72.1434846266472	119.900439238653	0	0	95.0058565153734	0	0	0	59.9502196193264
c4c776f8-ee3f-4cce-beb9-8dcf262cdcdf	362	205.5	380	0	229	189	0	0	27.5
4d121008-0987-4142-a2b8-7dac58f3110a	0	92.9165964616681	117.422072451559	144.990732940185	203.701769165965	0	0	0	46.9688289806229
14f41457-25c3-4979-8515-4f33322039a5	266.922246220302	164.643628509719	216.5313174946	203.55939524838	0	192.583153347732	0	0	110.760259179267
cc69fe94-0ecf-45ad-a03f-8fb7198e8657	0	221.220529039678	0	372.346463484761	757.618171362852	0	0	0	377.814836112709
5f096d7b-a1ea-4cc2-af73-10108089ae84	196.71463061323	98.8565910188315	235.158860453887	114.833413809754	320.535007242878	0	0	0	67.9014968614194
ba5667da-7688-4931-bdb7-d65f391caf60	142.221617418351	324.225505443235	0	228.250777604977	363.013219284603	150.178071539658	0	0	71.1108087091759
a65bcd07-c47d-4bda-a2bf-21f68cef2f3b	112.975088967972	189.818505338078	0	0	86.5124555160142	0	0	0	39.6939501779358
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	215.516619943933	0	0	1447.97096515819	453.086103323989	0	0	0	386.426311573888
4c3f733d-5fd5-4f67-af5f-8c36c5b37be2	131.54113345521	0	117.694698354662	0	140.442413162706	0	0	0	151.321755027422
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	164.256476683938	227.662472242783	149.777942264989	215.680236861584	493.268689859363	0	0	0	98.3541820873429
a2a4021e-1273-4c18-907c-d20454ab898c	0	0	0	0	0	0	0	0	84
ce6154e9-3f3a-442f-a608-35e1bab66927	266.316893018823	560.667143197522	0	495.089111269955	428.509888015249	190.226352156302	0	0	160.190612342149
37c913e6-9ce5-4338-8849-b5bf7862d36a	102.397919375813	129.503250975293	208.309492847854	139.542262678804	101.895968790637	90.3511053315995	0	0	0
b86678f3-c9cf-4ba4-8248-3efb2a7c4884	337.766437351979	607.979587233563	0	1830.44389308673	911.21878876734	552.93616781324	0	0	196.655125747148
c20cb5c8-a6d0-4150-b72b-3f7e8909d72b	71.0144927536232	181.594202898551	0	0	79.1304347826087	0	0	0	53.2608695652171
19b6b9d6-6912-4b85-a4bf-52014bcb170b	0	0	0	434.024889729048	1009.50220541903	0	0	0	171.472904851922
324adcfa-3fba-45b9-99f0-9d41c0c54d79	0	0	0	0	0	0	0	0	118
d0161ca7-3c33-4fe5-80df-0cc4b3c4e8ee	0	0	264.717391304348	381.032608695652	132.860054347826	226.614130434783	0	0	101.775815217391
7dddd413-d2c6-4f75-bbf6-3b202877546e	56.3328290468986	126.880484114977	0	0	102.136157337368	56.8593040847201	0	0	5.7912254160363
f2d18ad2-2f18-4c1d-8b35-46f999a82f30	0	0	0	51.5513126491647	100.009546539379	0	0	0	64.4391408114563
b061cb06-e927-4f24-82bb-9e651f7ae0e3	0	0	476.487695749441	1195.73333333333	317.992841163311	188.588814317673	0	0	63.1973154362449
