ICGC-Lymphoid_common_SBS9	ICGC-Lymphoid_common_SBS169	ICGC-Lymphoid_common_SBS100	ICGC-Lymphoid_common_SBS1	ICGC-Lymphoid_common_SBS17	ICGC-Lymphoid_common_SBS127_a	ICGC-Lymphoid_common_SBS18	ICGC-Lymphoid_common_SBS3	ICGC-Lymphoid_common_SBS101	ICGC-Lymphoid_common_SBS127_b	ICGC-Lymphoid_common_SBS5+8	unassigned
22cd3875-a123-4f0d-8cd1-371958208ad6	0	0	0	278.776310826103	0	0	0	0	126.807996982271	0	520.315352697095	408.100339494531
90de4296-0223-4b9f-8abb-6db278bfc932	363.595650896268	0	0	188.32647663826	0	0	177.780193946518	0	200.379371143109	0	350.538348516015	428.37995885983
9e99b8d9-6f0d-4fe0-9c1e-d286c0714909	167.72958565544	0	0	253.110007269203	0	0	250.078749697117	0	273.823600678459	0	699.210079961231	441.04797673855
4b8c6b0c-0d0c-4834-a2f3-691e0919b902	0	0	0	732.639340036092	0	0	0	0	0	0	560.998195411188	670.36246455272
ebc1a26b-9582-4756-acd5-b02d1152319d	474.678068675174	0	0	298.042099723721	0	738.885672937771	0	0	268.685699250099	0	1101.11380081568	900.594658597555
21e7e43e-f9b1-4351-a6d9-b9cd06d15f68	528.300437345503	0	0	211.922799011219	0	239.543069024529	232.512454839323	0	0	0	831.119034036889	597.602205742537
3e8a2c90-e747-4a22-bc9e-0b062479fec2	871.763565308883	0	0	0	301.62918983917	581.677589057568	475.279272508643	0	0	0	358.341500075154	750.308883210582
bcd52bcb-6e35-4220-9775-96dabff926b4	0	0	0	0	0	0	0	0	253.067303697549	0	1404.19651017865	764.736186123801
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	0	0	0	540.929779306392	0	181.985669246202	0	0	213.65720836916	0	493.673832043565	323.753511034681
ffa976f0-aa60-4867-842e-361afa7d68ac	620.237884115579	0	0	374.559241706161	0	0	0	0	349.890689497019	0	939.922183152423	1008.39000152882
50f4d836-79a9-4bc7-a63a-7aa29e41d418	0	0	0	711.835909631391	0	0	346.778834720571	0	344.747919143876	0	890.556480380499	268.080856123663
d1be624b-eb76-4ce3-a6ba-ffc5b23953d3	648.842065299924	255.497342444951	0	321.138952164009	338.811693242217	224.191343963554	0	0	275.694760820046	0	0	595.823842065299
99e7016a-c3c1-431c-8838-beb78a3cc017	0	0	0	631.518007202881	0	363.235894357743	0	0	280.339735894358	0	1247.46158463385	825.444777911168
6cfce053-bfd6-4ca0-b74b-b2e4549e4f1f	828.628389896172	344.053308538664	0	279.543313187665	0	275.542693320936	0	0	0	306.047419804742	715.610878661088	477.573996590733
5f53bcda-2fd3-4574-9cc2-5efe353372b2	0	0	0	475.880791671433	0	0	322.257865232811	0	330.264271822446	0	2252.30225374671	993.2948175266
91397d9c-3120-407f-8847-74b356943469	0	0	0	246.049195318215	0	451.173372348208	0	0	265.513533284565	0	972.218727139722	794.04517190929
de99a4de-e916-4572-ac9e-73e341827229	761.313129973475	306.73050397878	0	410.978779840849	779.356100795756	0	0	0	0	0	549.809416445623	970.812068965517
8c4038b6-c02a-46db-9514-c13b88d9bf48	665.144893111639	0	0	283.339667458432	0	275.804038004751	0	0	198.940617577197	0	419.483372921615	695.287410926366
c459dba5-b27c-46f0-b5b8-c62d597a0542	242.510960451977	0	0	376.118870056497	0	0	0	0	292.929039548023	0	601.487683615819	717.953446327684
f266899a-1dab-4226-a965-bc1327c64080	0	0	168.187038556194	481.968826907301	0	0	150.615258408532	0	211.363412633306	0	540.206726825267	283.6587366694
915cbb43-9e00-433d-818f-531011bea57e	1041.42857142857	0	0	753.896103896104	446.326530612245	414.768089053803	0	0	0	386.215213358071	1042.93135435993	1044.43413729128
ac23a8d2-ac42-4031-9dd4-9b56baeb246e	449.728169014085	0	0	243.980046948357	354.651408450704	307.36455399061	0	0	173.049765258216	0	352.639201877934	261.586854460094
3ee54a3c-69ba-479a-b1fe-79917e1b6dd5	0	0	0	455.134696755994	0	0	0	0	0	0	437.978843441467	537.886459802539
f5c8f98a-c34a-49e8-a655-d8f29487b55c	0	0	0	316.690566037736	0	0	200.252830188679	0	0	0	848.690566037736	629.366037735849
d88296ac-bb0d-47ab-9051-6c358f0af780	252.181052631579	0	0	369.532631578947	0	269.658947368421	204.241684210526	0	223.717052631579	0	666.656842105263	386.011789473685
870e7aa5-a9c2-4c4e-afa8-36bb3bdc4eee	0	0	205.748187211602	300.049439683586	0	0	192.132498352011	0	212.303889255109	0	1101.35794330916	283.408042188532
2df17728-33e8-45ab-833b-ef68a5482daa	0	0	0	0	0	280.207792207792	353.523809523809	0	322.38961038961	0	1515.0303030303	544.848484848489
8cce153d-953d-40c5-976b-60f6a143608c	837.753601440576	0	0	308.777761104442	0	300.270108043217	0	0	329.796668667467	0	765.188325330132	793.213535414166
dc505248-ed04-4f77-a7c6-3fefbc5df27b	0	0	0	728.270316673026	0	0	246.246089278901	0	0	0	1030.34547882488	608.138115223193
1157a548-6770-4c89-a84c-bcf6f0e96ea8	0	0	0	0	0	0	320.016848816029	0	0	0	1151.65938069217	731.323770491801
e1f0c565-6ed3-4e42-bc3e-c7b0003e837a	296.689976689977	0	0	268.624708624709	0	248.578088578089	0	0	0	0	900.09324009324	651.013986013985
19cd4360-8392-4bc2-ae88-fdc1335d886b	284.825581395349	0	0	224.651162790698	0	200.079941860465	195.065406976744	0	0	199.077034883721	592.718023255814	373.582848837209
4b7a704b-e516-4275-be11-45cc935237e2	0	0	0	391.001658374793	0	0	203.117744610282	0	184.329353233831	0	588.025870646766	164.525373134328
04b570c2-3224-4e9b-81cc-089b4a7ff07a	0	0	0	537.956872820701	0	0	0	0	297.358047348137	0	1073.90456964581	827.780510185352
15563a10-47a8-401d-a507-2c7101f7ae60	0	0	192.14949126011	560.895903991651	0	174.088442473259	0	0	0	0	580.963735977041	414.902426297939
7b296706-b535-45a0-9a8e-4a34a8c33bb5	0	0	0	491.91265060241	0	0	243.192771084337	0	0	0	694.405805038335	405.488773274918
278b2498-1d64-493b-ac43-3489ec86f313	0	0	0	1212.93109840877	0	0	494.49111694732	0	0	0	958.921983624286	576.655801019624
26c301a6-a597-4c24-9f6c-2293e5ae41c7	0	0	0	758.351831298557	0	0	0	0	235.03884572697	0	1085.79911209767	635.810210876803
c569b867-dadd-4591-af17-7e9b74699561	0	0	0	539.114174324701	0	0	0	0	189.622946254525	0	670.236424394319	412.026455026455
537cccf2-fb25-448b-813e-ca5d5642b910	0	0	0	183.676075268817	0	0	0	0	0	102.493279569892	311.538978494624	157.291666666667
8fa9575b-b2c9-4bd7-8da1-3c2cdf0e39f6	0	0	0	459.409631728045	0	0	0	0	0	0	786.112181303116	542.478186968839
def5526a-774a-4704-bb24-10c4e713649a	0	0	0	239.109390125847	0	0	0	0	112.758954501452	0	467.144240077444	220.987415295257
3f72f750-5666-44e7-acaf-a912d89475be	0	0	0	851.949778434269	0	0	0	0	0	0	599.501477104874	603.548744460857
aeeb01b4-790e-4929-bd59-6aad837603b1	189.340813464236	0	0	112.594670406732	0	131.781206171108	0	0	0	127.237026647966	245.890603085554	273.155680224404
fb74cca4-ac9c-4be0-80e3-e71592f96aae	0	0	0	640.662199000454	0	0	0	0	453.322353475693	0	1689.0640617901	1626.95138573375
55c82198-5be6-4cc5-b5b3-b707af234107	359.2552116235	0	0	312.964624131396	0	359.2552116235	0	0	494.101705622236	281.768793430196	911.220151610865	467.434301958307
7d52a9e7-b5a9-4519-96fd-e8be42a7890c	0	0	0	355.235273492286	0	0	0	0	172.844319775596	0	554.207223001402	350.713183730716
eba6d269-27f8-4e50-b59a-5d639bdd5cff	0	0	0	369.177443895017	0	228.036135412704	0	0	231.552111068847	0	1404.38113351084	407.853176112592
a9d055c6-6c53-4e85-8270-34883a1342a9	0	0	218.402128468263	628.535157734702	0	0	0	0	264.196123147092	0	1055.77803116686	481.088559483083
3de261ea-6478-4f96-8ca1-30be130e945f	0	0	132.665851421584	501.406297768267	0	149.816569856313	0	150.825435646591	0	0	485.768878018954	229.516967288291
132f7f2a-b902-4343-aa08-cf6a7af10b9a	472.628501495785	0	0	323.087843350557	0	391.606472667936	0	0	0	436.61871090563	992.269785150938	1061.78868642915
ea4a5ca7-86f9-47c7-81be-0c2c669a999f	0	0	0	325.438005390836	0	0	0	120.161725067385	0	0	654.881401617251	385.518867924528
ef3b454c-b2cf-4f68-a2ab-733620b6714e	0	0	0	406	0	0	210.5	0	0	0	449.5	360
43d630aa-3890-401c-bf56-e3a9f325734f	692.717924400488	0	0	508.393849071941	0	341.600596125186	0	0	306.038070722124	0	941.154721582442	907.094838097819
66b4a1f3-480f-4050-96ac-920c1c080864	0	0	0	504.479559363525	0	0	0	0	0	0	777.212239902081	785.308200734394
1de83d45-8492-4b83-9055-a9f43b823f91	0	0	0	475.57873254565	0	271.973147153598	0	0	0	0	1049.46702470462	525.981095596132
9c730cfb-3fd6-428a-a0a4-c061ca5db06c	0	0	0	0	0	163.819610307982	0	0	204.523255813953	148.744186046512	758.29384035198	323.619107479573
140d6ef7-0217-4d16-9add-215d0d14ba06	358.454046396317	0	0	659.173897644767	0	284.152647423411	0	0	0	0	636.080219585621	897.139188949884
367fdef3-d7af-4996-932f-cc5087e843dc	0	0	0	590.801336954251	0	0	218.908502193441	0	0	305.465427198663	1065.85794861082	227.966785042825
ad92f17f-11e6-49bd-9835-6b2f47053485	534.189722042663	0	0	0	0	450.081124757595	400.517129928895	0	0	0	910.675824175824	802.536199095023
4b91ece6-c9b2-4889-b18c-c63eb58eb061	0	0	0	330.016638935108	0	0	212.153553601141	0	0	0	1041.20751129071	526.622296173041
2a7f6aac-8f94-4815-8b94-0ea7db71135c	0	0	0	459.174311926605	0	0	0	0	362.293577981651	0	651.422018348624	397.11009174312
1193a9c4-5aab-4cd7-a690-60c96bd1172d	0	0	0	241.017194570136	0	156.485067873303	0	0	175.102262443439	0	744.68778280543	350.707692307692
