ICGC-NET_common_SBS5	ICGC-NET_common_SBS8+23	ICGC-NET_common_SBS18	ICGC-NET_common_SBS1	ICGC-NET_common_SBS2+13	ICGC-NET_rare_SBS140	ICGC-NET_rare_SBS160	ICGC-NET_rare_SBS123	ICGC-NET_rare_SBS6	ICGC-NET_rare_SBS3	unassigned
b24feafa-f2e9-4498-8471-a9e42c80cc9f	815.749945355191	889.636721311475	151.767431693989	367.936174863388	0	0	0	0	0	0	58.9097267759571
958d4d1d-25e2-43f2-a18b-59b2c66f0c05	127	0	0	52	0	0	0	0	0	0	66
dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa	675.245853298931	183.479911537044	0	319.225211942499	103.424990785109	0	0	0	0	0	67.6240324364169
d515c7d2-2314-46bf-9736-ff3f3d2ab599	0	0	0	0	5687.67604105817	0	0	0	0	0	319.32395894183
724bf2b8-a246-4b6f-85f8-95824c03896e	0	0	0	1461.5836038961	0	0	0	0	9849.73701298701	0	449.679383116889
3ad44032-01fb-4f84-b880-f01bb13a4359	936.259064489344	504.639634652643	0	135.037365070578	167.046221976197	0	0	0	0	0	64.0177138112381
ee368301-b2f7-428f-9330-67c054c1a09d	526.435573521981	0	0	359.345123799899	0	0	0	0	0	0	110.21930267812
ed4b53cb-5473-4bc1-9d84-0b0ad93cbd57	853.300198807157	581.840954274354	0	168.664015904573	0	0	0	0	0	0	153.194831013916
e07affb1-b6b2-40a4-9c54-0e72f5ea5045	1161.96219931271	176.266719534761	0	324.071107586571	179.762093576527	0	0	0	0	0	46.9378799894309
63a907ff-1042-4f9c-a385-55a32b3e103b	1024	1002	0	414	209	0	0	0	0	0	107
7243992d-0763-4b75-8066-e8e5309d0193	642.372789115646	0	0	182.247619047619	111.151020408163	0	0	0	0	0	168.228571428572
fe63d42b-d471-45b6-9bdf-1a3b55465d37	715.476283427679	940.283037282842	441.602576615264	384.524692562951	0	0	0	0	0	0	83.1134101112639
6e776415-ddf4-4060-953f-08ef22441234	1417.42259567084	839.84290802813	0	1877.38423600329	1217.72216640789	0	0	0	0	5037.05543885286	570.572655036991
33b99e90-741d-43f2-804b-75721199a0dc	0	120.451819272291	941.623350659736	102.958816473411	0	0	0	0	0	0	84.9660135945619
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	735.320913986319	1545.67457429777	267.616795226313	482.210449716198	406.177266773395	0	0	0	0	0	5.00222085975111e-12
