GEL-Myeloid_common_SBS5_a	GEL-Myeloid_common_SBS1	GEL-Myeloid_common_SBS17	GEL-Myeloid_common_SBS18	GEL-Myeloid_common_SBS100	GEL-Myeloid_common_SBS8	GEL-Myeloid_common_SBS124	GEL-Myeloid_common_SBS5_b	GEL-Myeloid_common_SBS2+13	GEL-Myeloid_common_SBS9	GEL-Myeloid_rare_SBS57	GEL-Myeloid_rare_SBS31	unassigned
GEL-2643348-11	323.395964691047	135.173392181589	0	0	0	0	103.547919293821	163.738335435057	0	0	0	0	83.1443883984859
GEL-2294932-11	61.6222222222222	0	0	0	0	0	0	121.155555555556	0	0	0	0	99.2222222222218
GEL-2837562-11	0	0	2706.44084116211	0	0	0	0	0	10979.4019257129	0	0	0	1283.15723312499
GEL-2922377-11	435.212919677008	224.169995750106	0	0	0	155.000424989375	0	0	0	0	0	0	373.616659583511
GEL-2872880-11	512.079234972678	126.252276867031	0	0	0	0	0	227.254098360656	0	0	0	0	243.414389799635
GEL-2739239-11	0	0	787.590323790474	0	0	2664.49712464058	0	1080.30972621578	0	1390.54225528191	0	0	2082.06057007126
GEL-2205273-11	511.419808113621	433.508196721311	1707.56281634812	0	718.684671753418	0	0	633.281559265695	0	1754.01012313968	0	0	852.532824658155
GEL-2796750-11	372.116493656286	216.597462514418	0	86.7416378316032	0	0	0	98.5467128027682	0	0	0	0	115.997693194925
GEL-2109330-11	460.165019338204	178.841426729695	0	0	0	0	131.619252256124	169.798882681564	0	0	0	0	228.575418994413
GEL-2757792-11	0	0	0	0	0	0	0	52.0439560439561	0	0	0	0	95.9560439560439
GEL-2024812-11	516.701404621658	111.951971001359	0	215.798821930222	0	0	112.45854100589	0	0	0	0	0	161.089261440871
GEL-2832392-11	693.661027282427	0	525.379362901997	574.461515012955	0	0	0	589.987501905197	0	0	0	0	902.510592897424
GEL-2246828-11	349.801587301587	128.125	0	0	0	0	112.872023809524	248.623511904762	0	0	0	0	185.577876984127
GEL-2231002-11	170.353214890017	454.443739424704	0	210.793147208122	0	0	0	122.330795262267	0	0	0	0	237.07910321489
GEL-2224385-11	0	89.7204433497537	0	0	0	0	0	61.6514778325123	0	0	0	0	255.628078817734
GEL-2549872-11	618.201496259352	115.085286783042	0	0	0	0	0	0	0	0	0	0	287.713216957606
GEL-2517887-11	377.380769230769	334.553846153846	0	0	0	0	0	204.057692307692	0	0	0	0	394.007692307693
GEL-2361776-11	0	897.773279352227	0	220.141700404858	0	0	0	0	0	0	0	0	382.085020242915
GEL-2482285-11	427.489056904099	340.592916832471	0	0	0	138.3346597692	0	0	0	0	0	0	348.58336649423
GEL-2699933-11	0	101.19298245614	0	0	0	0	0	168.310776942356	0	0	0	0	142.496240601504
GEL-2809643-11	519.087971274686	340.022740873728	0	200.693895870736	0	0	0	322.921005385996	0	0	0	0	298.274386594854
GEL-2946662-11	0	160.361785434612	0	0	176.549725920125	0	0	161.373531714957	0	0	0	0	147.714956930306
