GEL-Ovary_common_SBS8	GEL-Ovary_common_SBS3	GEL-Ovary_common_SBS17	GEL-Ovary_common_SBS5	GEL-Ovary_common_SBS1+18	GEL-Ovary_common_SBS13	GEL-Ovary_rare_SBS44	GEL-Ovary_rare_SBS26	GEL-Ovary_rare_SBS6	GEL-Ovary_rare_SBS1	GEL-Ovary_rare_SBS111	GEL-Ovary_rare_SBS31	GEL-Ovary_rare_SBS116	GEL-Ovary_rare_SBS57	GEL-Ovary_rare_SBS2	GEL-Ovary_rare_SBS103	GEL-Ovary_rare_SBS14	GEL-Ovary_rare_SBS30	GEL-Ovary_rare_SBS10a	unassigned
GEL-2587876-11	0	282.703032916487	0	1295.43035791289	1660.692683628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.173925542623
GEL-2296366-11	1214.33953809031	1601.40399862117	0	1357.73388486729	1343.69527749052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.827300930709
GEL-2978871-11	3225.74012135563	1713.20645256771	0	1165.59937842238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641.454047654281
GEL-2077332-11	769.245707050724	1005.93669383556	0	1706.98330299913	2531.39004510564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323.444251008946
GEL-2755800-11	581.755965082444	734.429485935985	0	1682.40232783705	2836.43452958293	1499.79282250242	0	0	0	0	0	0	0	0	0	0	0	0	0	381.184869059171
GEL-2167167-11	1096.76836993243	1660.14938766892	0	1182.75021114865	610.37109375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.9609375
GEL-2825377-11	8674.26082099972	6304.27701759285	0	2219.85814018431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2513.60402122312
GEL-2866523-11	0	0	0	5448.84869767132	0	0	0	43996.6721862182	0	0	0	0	0	0	0	0	0	0	0	3209.47911611048
GEL-2632862-11	1698.3713899276	2043.05561301615	0	1464.40695361604	0	443.380141618267	0	0	0	0	0	0	0	0	0	0	0	0	0	647.785901821943
GEL-2260992-11	2830.41287726358	1096.82253521127	0	1064.28329979879	0	2161.60643863179	0	0	0	0	0	0	0	0	0	0	0	0	0	310.87484909457
GEL-2330991-11	2336.90035722429	4579.36535684427	0	2644.68967089762	2600.22011096755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986.82450406627
GEL-2137603-11	503.246675434751	977.066637439719	0	1058.36416776268	667.338009644893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206.984509717957
GEL-2858401-11	2662.38818603805	1978.51788477291	0	1082.87808318922	3097.44184035679	1637.08337125694	0	0	0	0	0	0	0	0	0	0	0	0	0	542.69063438609
GEL-2014878-11	2147.18249944898	3063.68723826317	0	2317.7764491955	1133.62431121887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416.72950187348
GEL-2607289-11	542.210035645736	2759.3905950096	0	1083.42336166712	1352.53496024129	1393.89840965177	0	0	0	0	0	0	0	0	0	0	0	0	0	138.542637784484
GEL-2486166-11	0	0	0	893.170191994793	0	0	0	0	0	451.700618288318	0	0	0	0	0	0	0	0	0	227.129189716889
GEL-2229727-11	4861.76325903151	3080.3804765565	0	2292.70099923136	998.691775557264	866.99615680246	0	0	0	0	0	0	0	0	0	0	0	0	0	230.467332820906
GEL-2479484-11	14577.9881559467	9025.68485313739	0	2422.90519274003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1367.42179817588
GEL-2597780-11	2146.30235327077	1298.09006863706	0	2298.43010225522	788.66227762992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613.51519820703
GEL-2106900-11	740.006040471157	0	0	1466.47538508004	845.291452733313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.22712171549
GEL-2124141-11	1236.05867929314	1871.07508243849	0	1835.10247738226	724.947915785914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.815845100196
GEL-2832636-11	849.355645918048	1216.15702220832	0	2287.99874882702	1802.93900531749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251.549577729122
GEL-2662791-11	2777.63468482882	3011.18805137816	0	2396.04749280066	2181.49846871143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574.63130228093
GEL-2531433-11	577.734355977599	2212.39745150556	0	1639.66512458404	1383.56123691259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349.641831020211
GEL-2388690-11	1997.45712056184	2194.74920015607	0	1258.36293406165	680.006710885681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286.424034334759
GEL-2002286-11	914.503311258278	1625.61708826403	0	1957.93659754641	0	0	0	0	0	0	3360.67473672783	1027.44197155575	0	0	0	0	0	0	0	319.826294647703
GEL-2130326-11	4189.23296813303	1393.07747066348	0	1657.59218063512	1002.55575329514	625.534786719315	0	0	0	0	0	0	0	0	0	0	0	0	0	123.006840553915
GEL-2689138-11	2213.26587390621	2215.77353975021	0	1513.6271034328	605.350534739361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.982948171419
GEL-2783852-11	1379.38923175144	686.685039370079	0	1631.19046605661	675.649925516067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341.085337305803
GEL-2207551-11	0	0	0	4653.19203194282	3622.76023030597	0	34068.2452185039	0	0	0	0	0	0	0	0	0	0	0	0	2983.80251924731
GEL-2893166-11	0	0	0	1208.12079378775	502.718032786885	0	0	0	0	889.116997411562	0	0	0	0	0	0	0	0	0	293.044176013803
GEL-2456285-11	0	1747.80296463245	0	0	1961.33997919556	12390.6477981969	0	0	0	0	0	0	0	0	0	0	0	0	0	1207.20925797509
GEL-2291396-11	0	571.651017864562	0	1116.86442321008	1458.05927156903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455.425287356328
GEL-2099564-11	1374.01079136691	802.921942446043	0	1074.72625899281	638.540287769784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276.800719424453
GEL-2998967-11	3846.53945616221	2397.59637441471	0	2081.04574938786	2440.53541818807	655.070063147042	0	0	0	0	0	0	0	0	0	0	0	0	0	202.212938700108
GEL-2779959-11	340.372623574144	503.072733962958	0	1029.60223230713	2034.25045995339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.701950202378
GEL-2737786-11	0	0	0	1822.22231815239	1412.87524282322	0	0	0	0	0	0	0	0	930.699546729981	0	0	0	0	0	488.202892294409
GEL-2500775-11	1535.56787667827	0	0	564.178269517653	1702.06315266037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232.190701143707
GEL-2630506-11	567.120784122732	555.107634238403	0	1549.19578716669	1134.24156824546	260.284914160477	0	0	0	0	0	0	0	0	0	0	0	0	0	45.0493120662381
GEL-2395835-11	194.138078291815	206.146619217082	0	540.384341637011	0	0	0	0	0	0	0	0	0	313.222775800712	0	0	0	0	0	152.10818505338
GEL-2021177-11	546.628731894768	0	0	803.659473839787	272.562814070352	0	0	0	0	0	270.057641146911	1449.9940880875	0	0	0	0	0	0	0	47.0972509606822
GEL-2649402-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004642.60427128	0	0	40316.39572872
GEL-2483798-11	1080.57788406036	1821.34509771584	0	1681.51150325719	1102.12929826008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392.43621670653
GEL-2454063-11	0	0	0	820.08580127318	695.344588984224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294.569609742596
GEL-2314244-11	0	0	0	814.299856527977	320.784791965567	0	0	0	0	645.094691535151	0	0	0	0	0	0	0	0	0	325.820659971305
GEL-2993761-11	0	1129.02462121212	0	1986.16372053872	1194.49705387205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440.31460437711
GEL-2999445-11	346.197880729423	0	0	921.017003449975	422.069985214391	147.724494825037	0	0	0	0	0	0	0	0	0	0	0	0	0	201.990635781174
GEL-2910310-11	673.583693638048	662.090796788141	0	1144.29277331686	2150.17109326745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223.861642989501
GEL-2455412-11	266.397262914418	296.385697764071	0	1010.61025443331	965.627602158828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.979182729373
GEL-2570572-11	840.151252250777	576.161073825503	0	880.803732198396	587.202488132264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.68145359306
GEL-2364690-11	640.901792554006	593.908993411981	0	1097.33185230581	735.387314233185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.470047495018
GEL-2758466-11	2326.56487549148	2119.65891218873	0	1537.51671035387	1260.47313237221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400.78636959371
GEL-2954353-11	1018.9889380531	1102.28367748279	0	1458.90486725664	0	0	0	0	0	0	0	0	0	1888.84537856441	0	0	0	0	0	617.97713864306
GEL-2677603-11	0	3049.07798806638	15635.7079060227	0	1507.79680216297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1249.41730374795
GEL-2572152-11	1200.12284008797	1542.51523719761	0	3313.95852968897	1293.09362236883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605.30977065662
GEL-2746249-11	0	0	0	994.759104704097	0	0	0	0	0	1190.70409711684	0	0	0	0	0	0	0	0	0	456.536798179063
GEL-2126555-11	2770.19922044175	3538.53183196189	0	3228.89779125162	0	0	0	0	0	0	0	0	0	0	0	0	0	6364.75530532698	0	1422.61585101776
GEL-2690216-11	752.434933487565	734.424522845575	0	584.337767495662	1149.66454598034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.138230190858
GEL-2513328-11	0	0	0	5373.04375695827	0	0	0	0	76880.2803549138	0	0	0	0	0	0	0	0	0	0	6678.67588812792
