Hartwig-Skin_common_SBS1+5+18	Hartwig-Skin_common_SBS17	Hartwig-Skin_common_SBS7a	Hartwig-Skin_common_SBS38	Hartwig-Skin_common_SBS13	Hartwig-Skin_rare_SBS5	Hartwig-Skin_rare_SBS125	Hartwig-Skin_rare_SBS1+5	Hartwig-Skin_rare_SBS8+23	Hartwig-Skin_rare_SBS6	Hartwig-Skin_rare_SBS1+5+106	Hartwig-Skin_rare_SBS99	Hartwig-Skin_rare_SBS33	Hartwig-Skin_rare_SBS32	Hartwig-Skin_rare_SBS96	Hartwig-Skin_rare_SBS115	Hartwig-Skin_rare_SBS124	Hartwig-Skin_rare_SBS112	Hartwig-Skin_rare_SBS4	Hartwig-Skin_rare_SBS7c	unassigned
HMF003196A	0	0	47398.3097806258	4407.86577482576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1651.82444454844
HMF001903A	0	0	240765.617936047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2873.382063953
HMF002566A	0	0	66433.3714103429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1753.62858965711
HMF000219A	5535.76178229999	0	0	0	2272.99158606809	0	8645.06630513781	0	0	0	0	0	0	0	0	0	0	0	0	0	1429.18032649411
HMF000389A	0	0	179068.262095786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8657.73790421401
HMF000535A	0	0	50258.2149711171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856.7850288829
HMF001014A	1637.46104965874	0	0	228.482937161685	175.370675453048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.685337726527
HMF001195B	0	0	330293.126366315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22500.873633685
HMF003093A	0	0	181601.626584181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1362.37341581899
HMF002188A	1321.96414884411	0	10285.4406395517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516.59521160419
HMF002095A	0	0	48065.4821408217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.517859178297
HMF002856A	0	0	61364.7632194516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488.2367805484
HMF001448A	0	0	89543.2579009569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2254.7420990431
HMF003357A	5203.426187085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68010.1406380603	0	0	0	0	1580.4331748547
HMF000804A	0	0	109362.815045019	10816.1795112236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328.0054437574
HMF002514A	0	0	41090.9366517412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2024.0633482588
HMF000765A	0	0	145237.536068174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5434.463931826
HMF002287A	0	0	50956.8949775935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2824.1050224065
HMF003583A	0	0	55660.2413367725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2306.7586632275
HMF000410A	924.585635359116	0	831.627295804091	416.313423921159	0	0	0	0	0	0	0	0	0	0	0	0	3953.72808720323	0	0	0	567.745557712404
HMF003760A	0	0	25202.7038760265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1775.2961239735
HMF002231A	2391.52025671881	0	714.856598475732	682.363116726835	1098.77958283193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.4804452466933
HMF001057A	1807.66852726492	0	0	167.783598110777	160.293258909403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.2546157149
HMF000979A	0	0	52338.1563012351	3213.05322986119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3936.79046890371
HMF000030A	0	0	22986.9944962633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2909.0055037367
HMF003680A	0	2727.51137228871	45212.765076824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299.72355088729
HMF001308A	3076.11399056977	0	46375.6424792139	5168.51131987186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929.732210344468
HMF003762A	0	0	41356.0706763318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2502.9293236682
HMF000267A	0	0	457432.517310738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3189.48268926202
HMF000876A	3992.1566272296	0	1283.69347186355	1068.57726262687	1651.39210858207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.18052969791
HMF003162A	0	0	149324.164454287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6722.83554571299
HMF001445A	0	0	230332.162073644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4762.83792635601
HMF001449A	0	0	55668.9512482699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2853.0487517301
HMF001253A	1538.20689655172	0	347.999281609195	480.689655172414	352.505747126437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.5984195402339
HMF002683A	0	0	61023.2252698637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3967.7747301363
HMF000450A	0	0	21794.9844578534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2820.0155421466
HMF000809B	1986.33905109489	3440.95349596619	0	0	19483.2299270073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130.47752593162
HMF000809A	1591.43156391335	3305.3193882409	0	0	19234.1298500357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066.11919781005
HMF002723A	0	0	222855.823181431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8808.17681856899
HMF001980A	3903.68787233117	0	0	1463.94547114841	1540.46875679436	0	0	0	0	0	0	0	0	0	0	0	0	15527.2248554159	0	0	568.673044310159
HMF002321A	0	0	160990.01960285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7883.98039715001
HMF001414A	4060.59955029092	0	16797.1167157329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720.283733976179
HMF003184A	0	0	106371.77248854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7395.22751146001
HMF001067A	0	0	38573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888
HMF002142A	983.016524862923	0	11669.7604840234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563.222991113676
HMF002383A	0	2851.19213387831	27685.510572993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1877.29729312869
HMF000097A	0	0	47491.3190172048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3623.6809827952
HMF001162A	0	0	34942.2451495337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2377.7548504663
HMF002028A	0	0	0	24834.9953575998	5589.23675701353	0	0	0	0	0	0	0	0	0	0	0	0	0	61678.1478172622	0	542.620068124466
HMF003740A	0	0	39835.6446029243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017.3553970757
HMF000183A	0	0	24404.2229104564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431.7770895436
HMF000027A	0	0	41565.3794581145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1829.6205418855
HMF000107A	0	0	72355.4061897494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335.5938102506
HMF000594A	0	0	147495.009078881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5565.990921119
HMF001195A	0	0	286674.859572171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19984.140427829
HMF002243A	0	0	93905.9837936447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382.0162063553
HMF000878A	0	0	158347.858771568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1739.14122843201
HMF002808A	0	0	54991.1402954697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1998.8597045303
HMF003421A	0	0	121459.062777922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7518.93722207801
HMF002956A	0	0	310889.013930386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4391.98606961401
HMF000846A	0	0	28542.8325771398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2432.1674228602
HMF001173A	0	0	111463.891890874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8077.108109126
HMF003416A	6898.30290376699	0	0	9432.83272853585	22073.9690481645	0	0	0	0	0	0	0	0	0	0	0	0	0	28564.6063100948	0	711.289009437853
HMF001746A	0	0	142816.00962103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2801.99037896999
HMF004011A	0	0	48432.0196101028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.9803898972
HMF004329A	0	0	121887.712809519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650.287190481
HMF003806A	0	0	31394.1260246473	2607.50881057269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1871.36516478001
HMF002636B	0	0	80310.0567570885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155.9432429115
HMF004165A	0	0	24663.2069407546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2253.7930592454
HMF004343A	0	0	14806.9526300494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667.0473699506
HMF004169A	0	0	69691.8470402327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.15295976731
HMF004230A	0	0	207329.416134671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2344.58386532901
HMF004088A	2268.62062853395	0	23724.2614814684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2217.11788999765
HMF002321B	0	0	161558.339317864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8390.66068213599
HMF004301A	0	0	59934.6672464586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3870.3327535414
HMF003967B	0	0	19390.9357905383	1470.03303741993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387.03117204177
HMF000876B	4098.95845464726	0	1274.85319148936	1101.60134378499	2210.21287793953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257.374132138861
HMF004167A	0	0	44681.1793227186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1865.8206772814
HMF004332A	0	0	27208.3311627124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2508.6688372876
HMF004080A	0	0	50535.1131309224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169.8868690776
HMF004161B	0	0	33388.3902476999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1938.6097523001
HMF003852A	0	0	85307.2114745476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1217.7885254524
HMF003922A	3655.89296594982	0	983.030107526882	770.240053763441	0	0	0	0	0	0	0	0	0	5469.60349462366	0	0	0	0	0	0	270.233378136198
HMF003894A	0	0	84671.8373661477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1116.16263385231
HMF003868A	0	0	248116.97853635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822.021463649988
HMF004392A	3366.78902953586	0	0	317.074308485701	318.074542897328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265.062119081111
HMF003930A	0	0	1919606.50314493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12150.4968550701
HMF001253B	2031.29960171117	0	353.552146334268	538.079362737867	365.053842749668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.015046467027
HMF004217A	0	0	77415.5160138789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2561.48398612109
HMF004108A	0	0	190470.511235765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437.48876423499
HMF004274A	0	0	65063.996128616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4686.003871384
HMF004161A	0	0	33430.8847012605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1944.1152987395
HMF004294A	0	0	86757.5178209182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206.4821790818
HMF003864A	0	0	138558.025862159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5615.974137841
HMF004235A	0	0	62470.0243857873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3202.9756142127
HMF004383A	2635.66044829562	0	23190.3110677456	1554.38950157548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554.638982383301
HMF004345A	0	0	29203.9833958865	2447.41198018316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1645.60462393034
HMF004265A	0	0	43872.9691493343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2885.0308506657
HMF004204A	2940.79153460791	0	354.673346283611	1018.06236581127	519.521521316839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.9512319803698
HMF004340A	0	0	31652.4476436194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085.5523563806
HMF003924A	4391.46527645326	0	61847.0527051942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4549.48201835254
HMF003886A	0	0	57720.6999733191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18543.2067578899	2447.09326879101
HMF004250A	0	0	32747.3543779544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1421.6456220456
HMF003093B	0	0	155417.993882772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1925.00611722801
HMF003840A	1011.12616997379	0	10082.7581430176	709.088481218021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218.02720579059
HMF004314A	1088.89547325103	0	2974.94650205761	594.989300411523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205.168724279837
HMF004146A	0	0	41535.0638905513	3906.45898300102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2178.47712644768
HMF003926A	0	0	125371.063557651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10302.936442349
