Hartwig-Skin_common_SBS1+5+18	Hartwig-Skin_common_SBS17	Hartwig-Skin_common_SBS7a	Hartwig-Skin_common_SBS38	Hartwig-Skin_common_SBS13	Hartwig-Skin_rare_SBS5	Hartwig-Skin_rare_SBS125	Hartwig-Skin_rare_SBS1+5	Hartwig-Skin_rare_SBS8+23	Hartwig-Skin_rare_SBS6	Hartwig-Skin_rare_SBS1+5+106	Hartwig-Skin_rare_SBS99	Hartwig-Skin_rare_SBS33	Hartwig-Skin_rare_SBS32	Hartwig-Skin_rare_SBS96	Hartwig-Skin_rare_SBS115	Hartwig-Skin_rare_SBS124	Hartwig-Skin_rare_SBS112	Hartwig-Skin_rare_SBS4	Hartwig-Skin_rare_SBS7c	unassigned
HMF000004A	3080.06495312213	25437.1657477768	20992.3504687787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2283.41883032237
HMF003438A	1676.76724667349	0	300.675537359263	0	328.738587512794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.818628454453
HMF002740A	0	0	36122.6040343075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1662.3959656925
HMF001272A	0	0	286115.013790209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8114.98620979098
HMF001114A	0	0	237387.042607891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5159.95739210901
HMF002527A	0	0	9911.35693449058	2962.60669139626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010.03637411316
HMF002286A	0	0	80158.4473804409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852.552619559094
HMF001959A	1151.42288390766	0	174.291067246571	108.180662428906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.105386416863
HMF003442A	1522.22235248144	0	17043.3913507881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623.386296730459
HMF001879A	1497.46009715475	0	411.714087439278	161.887578070784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.9382373351882
HMF003714A	0	0	16365.0579605925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024.9420394075
HMF000539A	0	0	154910.022022808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3782.977977192
HMF003671A	2551.87744749924	0	1910.90352034087	313.476311250888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.742720909002
HMF002130A	3019.02261285894	0	36906.1132168464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2704.86417029466
HMF002773A	9388.17650776523	0	48355.7859185325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7147.03757370227
HMF001075A	0	0	60052.2727461836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2434.7272538164
HMF000173A	0	0	69802.2338597165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4387.76614028349
HMF000855A	3886.73584605598	0	0	771.245229007634	1160.368956743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471.649968193386
HMF001367A	0	0	34110.4442736757	3148.04100186254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130.51472446176
HMF002733A	2269.9445889404	0	0	1701.45934637566	840.23917222662	0	0	0	3500.83003505598	0	0	0	0	0	0	0	0	0	0	0	522.526857401341
HMF000078B	2221.36846078693	0	30179.2129259555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1374.41861325757
HMF002591B	0	0	229630.109814087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2213.89018591301
HMF002603B	0	0	86135.6722101815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6372.3277898185
HMF002234A	0	0	195597.599779882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2470.400220118
HMF002503A	0	0	110251.551125118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1911.448874882
HMF001507A	1404.78362573099	0	145.684973302822	202.256801423849	174.22120518688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.053394355459
HMF002681A	799.398948159279	0	0	0	0	0	0	986.225895316804	0	0	0	0	0	0	0	0	0	0	0	0	214.375156523917
HMF001534A	0	0	2435.6706992707	0	0	0	0	0	0	18908.4698841699	0	0	0	0	0	0	0	0	0	0	1981.8594165594
HMF002791A	0	0	56527.4461791023	4522.59565856949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467.958162328214
HMF001898A	779.005378837058	0	9656.76481498655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354.22980617639
HMF000300B	3273.85830001025	0	18713.9738336922	1609.93856249359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776.229303803961
HMF002134A	0	0	185699.718036481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3755.281963519
HMF002879A	0	0	41506.6349506825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3664.3650493175
HMF000782A	0	0	96634.2254492269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1496.7745507731
HMF000299A	0	0	172815.977084883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2681.02291511701
HMF000743A	0	0	125360.718563608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5251.281436392
HMF001748A	0	0	242191.472492136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392.527507863997
HMF001182A	1185.24160854403	0	11522.4880122058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053.27037925017
HMF003171A	0	0	259833.983234356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2937.01676564399
HMF003121A	0	0	45297.9510428031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920.0489571969
HMF002006A	0	0	104467.990313423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679.009686577003
HMF003755A	0	0	120635.230637737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3121.769362263
HMF001795A	3141.54118599474	0	303.745699251164	727.088140052621	677.548067192876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.0769075085991
HMF000597A	0	0	163994.784196749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7176.21580325099
HMF000076A	3332.41965471448	0	0	605.803452855246	1091.44754316069	0	0	0	3351.94555112882	0	0	0	0	0	0	0	0	0	0	0	289.383798140763
HMF000750A	1342.74752014879	0	810.753254804712	268.249225046497	790.234190948543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0158090514578
HMF002141A	2002.05621536025	0	0	1096.07825283716	472.249142253893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.616389548697
HMF001469A	0	0	38300.4341211524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1304.5658788476
HMF000346A	0	0	76072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1831
HMF001828A	1849.30596119638	0	19942.2993836098	0	1419.73489016671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965.659765027111
HMF001846A	0	0	21895.898477574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2474.101522426
HMF001147A	0	0	33935.155304328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087.844695672
HMF000561A	2009.50740557887	0	0	0	1558.73006665021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480.76252777092
HMF001272B	0	0	286911.395401129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8838.60459887102
HMF000610A	0	0	61153.0710331667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2251.9289668333
HMF002254A	1483.40564777714	0	3390.78432869045	2505.34064745914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481.46937607327
HMF002603A	0	0	89895.0548566487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9534.9451433513
HMF000608A	2625.76642335766	0	0	296.586569343066	311.090802919708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192.556204379566
HMF001053A	1413.80238500852	0	162.09199318569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.10562180579
HMF002153A	0	0	148350.994742504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391.005257495999
HMF000584A	0	0	190614.019778777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14193.980221223
HMF000367A	0	0	181198.491517471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030.508482529
HMF000640A	0	0	21101.7182096503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2081.2817903497
HMF002166B	0	0	331175.880805052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15325.119194948
HMF002868A	280.052742616034	0	0	0	0	0	0	0	0	0	610.474683544304	0	0	0	0	0	0	0	0	0	64.4725738396621
HMF000253A	0	0	282514.733580848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10405.266419152
HMF002180A	2684.94099616858	0	1592.27892720306	444.659003831418	353.728735632184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.392337164758
HMF001353A	0	0	46162.228033493	4482.49317325574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258.27879325127
HMF002591A	0	0	230112.292646149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2681.707353851
HMF001751A	0	0	105542.016779879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892.983220120994
HMF001770A	1424.59837556689	0	14471.4202003638	3084.13051833252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528.850905736792
HMF001254A	0	0	72013.9078643927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417.092135607294
HMF002866A	0	0	480148.574914587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3816.42508541298
HMF002545A	4801.40992144809	0	15521.8251793033	1714.64638831967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1388.11851092894
HMF000809C	0	2886.1862977373	0	0	18413.4986197752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1701.3150824875
HMF001645A	1473.23784901758	0	0	216.388055842813	149.922440537746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.451654601861
HMF003423A	0	0	34596.7084705388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095.2915294612
HMF002383B	0	3697.25946028358	27866.6499161458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220.09062357062
HMF002227A	0	0	497452.510100803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3372.48989919701
HMF001120A	2605.58634631317	0	41158.363943662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500.04971002483
HMF000844A	0	0	66255.0222728551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3088.9777271449
HMF003607A	2875.54399018405	0	46617.9250257669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1462.53098404905
HMF002101A	1366.66666666667	0	0	112.136752136752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.196581196578
HMF003109A	0	0	54829.6925389474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2722.3074610526
HMF000109A	0	0	78805.2593962409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2047.7406037591
HMF000313A	843.161261179872	0	2182.82862047159	0	0	0	0	0	0	0	0	2020.49010750745	0	0	0	0	0	0	0	0	482.520010841088
HMF003495A	2131.44364869959	0	30120.1380150193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2228.41833628111
HMF003718A	0	0	21084.6462761506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2818.3537238494
HMF001822B	3316.80743187448	417.723864574732	893.40941370768	0	1121.25879438481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.800495458298
HMF002458A	0	0	30357.0120925838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408.9879074162
HMF001605B	0	6141.69099206101	69908.3652809902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3943.9437269488
HMF001218A	0	0	253789.93673359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2159.06326641
HMF002622A	4531.52645935625	642.649208947081	764.082924168031	0	652.643753409711	0	0	0	0	0	0	0	2122.84124386252	0	0	0	0	0	0	0	446.256410256407
HMF000564A	1306.71035386632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.28964613368
HMF001100A	0	0	233529.449291504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819.550708496012
HMF002219A	0	0	324092.377702801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4464.62229719898
HMF000485A	0	0	22516.46265618	0	56207.1474522506	0	0	0	0	0	0	0	0	61162.6894466262	0	0	0	0	0	0	1832.70044494318
HMF001914A	0	0	75765.9547648672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992.045235132799
HMF002202A	0	0	115203.043019278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831.956980721996
HMF000336A	3751.71820202519	1259.06643615708	0	540.59916028649	517.616201531242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMF002707A	7278.87187570108	0	77778.7881430519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1854.33998124702
HMF002218A	0	0	65660.0421183819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934.957881618102
