Hartwig-CNS_common_SBS8	Hartwig-CNS_common_SBS1	Hartwig-CNS_common_SBS120	Hartwig-CNS_common_SBS5	Hartwig-CNS_rare_SBS14	Hartwig-CNS_rare_SBS119	Hartwig-CNS_rare_SBS18	Hartwig-CNS_rare_SBS26	Hartwig-CNS_rare_SBS97	Hartwig-CNS_rare_SBS6	Hartwig-CNS_rare_SBS11	Hartwig-CNS_rare_SBS126	Hartwig-CNS_rare_SBS35	Hartwig-CNS_rare_SBS2+13+17	unassigned
HMF002438A	0	375.718426501035	1237.0115350488	1530.96480331263	0	0	0	0	0	0	0	0	0	0	248.305235137535
HMF001593A	3443.06524002916	3234.15229615745	1387.92163907112	1533.86082474227	0	0	0	0	0	0	0	0	0	0	0
HMF002343A	1479.92726745871	3414.44653723558	705.919298753984	1310.70689655172	0	0	0	0	0	0	0	0	0	0	6.3664629124105e-12
HMF001062A	835.131493982976	0	419.325506310537	874.348987378926	0	0	0	0	0	0	0	0	1297.19401232756	0	9.09494701772928e-13
HMF000224A	1059.6820212172	2645.4508654383	548.111390284757	1125.75572305974	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
HMF001888A	936.887203791469	2471.84075829384	954.904265402844	916.367772511848	0	0	0	0	0	0	0	0	0	0	0
HMF003795A	13557.814990358	2104.04888362259	5859.13612601938	0	0	0	0	0	0	0	0	0	0	0	2.91038304567337e-11
HMF001235A	2270.47557504423	2506.05800446188	1050.63774136472	660.828679129164	0	0	0	0	0	0	0	0	0	0	6.3664629124105e-12
HMF001194A	1067.42472733063	2148.85502746597	2142.85263912109	923.867606082318	0	0	0	0	0	0	0	0	0	0	0
HMF000672A	0	0	0	0	0	0	0	0	0	0	260182.418503079	0	0	0	11327.581496921
HMF002152A	1072.13304047694	908.502248718753	1441.05522434892	1377.30948645539	0	0	0	0	0	0	0	0	0	0	0
HMF001434A	2142.29684035477	3503.98551829268	1178.16324833703	0	0	0	0	0	0	0	0	0	0	0	392.55439301552
HMF000294A	1335.79689598567	3450.55849873153	912.544396358752	1006.10020892404	0	0	0	0	0	0	0	0	0	0	8.18545231595635e-12
HMF000842A	1144.89425770308	2268.31862745098	1036.04691876751	2680.74019607843	0	0	0	0	0	0	0	0	0	0	0
HMF003773A	458.955415250121	509.450509956289	2588.7485186984	1589.84555609519	0	0	0	0	0	0	0	0	0	0	0
HMF002509A	0	0	0	0	851556.827664176	0	0	0	0	0	0	0	0	0	15733.172335824
HMF002973A	4475.04298989074	2638.73052180129	1550.3416726233	1127.88481568467	0	0	0	0	0	0	0	0	0	0	0
HMF000788A	0	3646.8820212046	723.682833295736	2271.43514549966	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
HMF004322A	1087.97727272727	0	1416.32851239669	458.386363636364	0	0	0	0	0	0	0	0	0	1654.30785123967	5.45696821063757e-12
