ICGC-Stomach_common_SBS1	ICGC-Stomach_common_SBS93	ICGC-Stomach_common_SBS100	ICGC-Stomach_common_SBS3+8	ICGC-Stomach_common_SBS18	ICGC-Stomach_common_SBS17	ICGC-Stomach_rare_SBS44	unassigned
8867bdef-3a8d-433e-b10f-d752e2cbb022	2017.47429663077	0	0	0	5774.49531087183	13228.5529697812	0	2005.4774227162
a46f1e20-9e97-4dcc-a5ed-532aad9f3236	0	0	0	0	0	0	0	73
d7f8e1f3-a9a7-4929-92df-1283bac815d2	457.698137721958	0	345.149415331312	1277.55305326981	0	0	0	229.59939367692
7eb0f792-858f-45d1-a908-125b02ea1506	3092.67536149702	1406.07972781401	0	2520.64292599943	1923.60907286646	7938.95015593989	0	754.042755883191
0e54cea2-d568-4a33-b9db-b698844e6ad9	669.602890018732	322.567835161895	726.526625635536	933.748996521274	796.932298635269	282.621354027295	0	0
68509ede-3dcf-4a6e-9af0-4a9bb4dfa567	0	0	5480.8013193636	0	1395.11306311073	6658.08445338131	0	661.00116414436
63f5bb12-1b20-49d4-9e98-570e368f947d	74.5909645909646	0	59.0720390720391	88.6080586080586	110.634920634921	57.0695970695971	0	20.0244200244196
bc0dee07-de20-44d6-be65-05af7e63ac96	1771.205062472	4424.26116282543	0	8380.83615411419	3392.35039076111	0	0	2128.34722982727
f50fb278-1f0f-406e-b341-eb3d1b97afe6	0	3102.78395084395	2389.3737744648	0	14873.5515734587	17676.1629395709	0	2831.12776166165
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	1405.91178019391	0	2110.37078338444	0	1878.39032927547	10115.9511197844	0	664.37598736178
eb18e71d-2a27-4eae-aa27-4b2c0716d2ba	1213.48002708192	693.274655833898	0	0	1258.86707289551	633.423606409388	0	620.954637779284
25f07374-313a-4100-9a60-3d21d2988fca	0	0	3245.45985865337	0	4069.70363227963	37890.706338684	0	440.130170382996
1d2d355a-8409-4c8a-9f07-ac62885e228d	0	3677.01569407604	3605.49593832891	3151.37049624226	5611.550066313	1481.90934460654	0	573.658460433249
81c7a8c1-8a6a-4e78-a72c-f7c021c67ff7	496.656624605678	0	922.791009463723	317.1	760.739905362776	563.677760252366	0	110.034700315457
4dc9b032-7f7b-486d-a12b-8461af89501d	868.891873038019	0	0	1993.19288454831	2911.16337635159	655.049319846529	0	750.702546215552
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	2127.87500775771	0	777.28076708248	927.124061316949	1673.83479178303	2048.19245329858	0	520.692918761251
b49d5310-3cc5-4386-9444-cf0d61b52376	2328.47796928862	2557.87727984958	0	1157.4919460984	1652.77455343153	7802.07546223754	0	449.30278909433
c4e048de-1d43-4fbd-8289-9279b16c8a3a	0	0	0	0	0	0	0	40
55e520f4-0e4b-41a2-9951-c4e9f323100b	0	0	0	63.6	0	0	0	42.4
1a391468-fbf3-451a-b88e-a257a26d047f	1859.62240648876	0	3944.56255205127	3094.36361661296	2710.82275410073	1572.71781873484	0	645.910852011441
65be412d-46c3-4cbf-9b46-b35351e53065	3686.57402383888	0	1814.80575421291	2632.76748869708	3130.4399917797	0	0	892.412741471431
30b9ab02-60f2-4974-85a9-874f247ae932	3563.62257416908	0	801.016060673656	0	3253.00412670087	703.136292661164	0	634.22094579523
5dc6f055-c4f6-49a1-a68c-94cf87cbd363	2356.99957916	0	3146.67205341862	2354.99660522403	4252.81440956149	5635.36716886906	0	101.1501837668
bd2f8133-3e71-4c5e-998f-0c1a9fdfb75f	0	772.211646136618	1760.84247853677	2043.73684210526	921.65584173199	852.681597611049	0	343.871593878313
498ecf81-921d-4df9-a6a4-a625f484e823	0	0	0	0	0	0	0	56
37e5d47b-851b-47de-ba6a-fd2835644011	598.847997743937	0	0	0	2290.15510434292	1875.72222222222	0	566.274675690924
eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9	2234.5461527521	0	1604.81496230977	1636.30152183189	3255.61029725501	1212.48243493102	0	598.24463092021
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	326.365646531005	488.547348181381	0	1818.53741387598	338.879666720077	0	0	151.669924691557
d91e1a92-837d-44d6-92d8-419f435effe0	0	0	567.939901477833	1149.86600985222	736.773399014778	1637.38522167488	0	471.035467980289
7e036d40-b669-4929-a1e2-c4736e01a473	0	1690.62998110097	0	5295.10515099119	2365.78091197877	13953.4528931602	0	1588.03106276887
