ICGC-Ovary_common_SBS3	ICGC-Ovary_common_SBS8	ICGC-Ovary_common_SBS18	ICGC-Ovary_common_SBS13	ICGC-Ovary_common_SBS35	ICGC-Ovary_common_SBS1+5	ICGC-Ovary_rare_SBS26	unassigned
f6c811ff-f22e-490b-9b23-b527d20e6e6d	1675.17830045524	1594.86153262519	0	999.719271623672	1042.62139605463	969.288694992413	0	293.330804248855
a330a96e-9897-4605-b5f1-5b5ef45cd365	2764.36678819564	1528.41439086469	0	0	700.105936575635	1589.51090321249	0	697.601981151545
e45f3391-2e74-4767-817a-280cebac7c57	1667.751985952	0	657.46467095911	1138.26707918722	0	1925.71904005352	0	612.79722384815
efec3225-de07-4559-9a90-95223495cc61	1954.64299409464	1487.68387146254	530.317892476417	926.434925991257	776.76854053225	829.151775442902	0	0
e4aaca83-3ae9-47f6-a975-c144767ad705	3634.08663023085	1540.96076352068	0	12517.2427876118	0	0	0	701.709818636671
745b8756-0eab-423f-8cde-e0ff1aaa6596	1461.84375	2946.76396276596	0	0	1059.00897606383	1285.76030585106	0	791.62300531915
6f981023-4269-4e8e-a4ab-2c92bb27273c	997.112754358504	3682.03098181033	843.40368111405	837.415015922707	1714.25541102175	1171.78215577266	0	0
7fdd07a4-4a27-40c3-af92-a0074e6391f5	574.989668165795	493.566306065394	0	334.740488634982	0	2470.84721040476	0	260.856326729069
e6f7344b-951f-4f3f-b140-7bf53164c462	0	0	995.328371903354	561.814252217351	413.96839637068	2795.03843409114	0	149.850545417475
bbb2cf2f-8f32-43d4-846c-d1020e6329ec	820.041528367426	1357.58548822848	1273.7346198379	0	0	2348.82253956002	0	665.815824006174
efbec43c-0c16-4006-abe8-c3ec2ec42c05	1393.40952520947	1958.57562839924	0	599.676245773923	1173.84499485521	1271.37365867999	0	408.119947082167
a3135834-3af0-4e98-bc6f-ad8ddf33db80	2990.37638323076	9051.59891364017	0	1184.55491028864	2618.51610759585	0	0	1453.95368524458
2b4feb84-89e4-4c38-8561-5ffab02c8132	1030.07518796992	2513.28320802005	0	0	1085.71428571429	793.483709273183	0	577.443609022557
4e913899-eeb8-4630-ba9d-41a81ced8069	0	1139.5203441477	0	2598.3265818247	0	1008.40293959491	0	837.75013443269
d392ded3-afc8-4c79-b278-40245f18f2f8	0	594.763419483101	0	318.873161033797	0	2351.0648111332	0	506.298608349902
86f23897-dba0-4e89-8381-d174eaa6fcc1	3964.52611275964	0	1314.16884272997	1511.84465875371	0	2138.40192878338	0	1190.0584569733
42465bbd-289b-4e96-98fe-76809c5e1520	999.455113518017	2344.91397625495	618.400333263903	628.915642574464	1116.62570297855	1503.68923141012	0	0
6c31d730-1734-44ac-92b3-760981528723	1432.62581000965	1321.31028539915	580.537915345374	452.749689783538	716.312905004826	2737.46339445747	0	0
6821446e-8e76-46fe-b0b9-47feb46d2585	2659.894	0	764.113185185185	0	0	2365.35037037037	0	961.642444444446
941fcb56-e059-403d-aab1-0692a3ecc45e	2684.75146443515	682.928033472803	778.84769874477	0	544.044351464435	2091.24853556485	0	382.179916317992
