ICGC-Skin_common_SBS17	ICGC-Skin_common_SBS7a	ICGC-Skin_common_SBS3	ICGC-Skin_common_SBS38	ICGC-Skin_common_SBS155	ICGC-Skin_common_SBS18	ICGC-Skin_common_SBS1+5+18	ICGC-Skin_common_SBS99	ICGC-Skin_rare_SBS163	unassigned
72108583-5320-46ec-945f-5ff173d7dc15	13061.6965420363	147419.291011537	0	0	0	0	0	0	0	74.0124464266992
e2b2357c-da6f-4ca3-9c07-a22f0423e8fe	0	141275.294945609	0	0	0	0	0	0	0	4786.705054391
39c476fd-273b-4136-874c-53352f1be008	0	56340.6178355486	0	0	0	0	0	0	0	1641.3821644514
76a0d9c9-5e69-44e8-9ed2-6d2e387803fc	0	60421.7586932234	0	0	0	0	0	0	0	4474.2413067766
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	0	160803.137995193	0	0	0	0	0	0	0	7677.86200480699
5c3def3a-b515-41f6-8157-681b963534e7	0	479721.347945337	0	0	0	0	0	0	0	21787.652054663
08b5d0e4-4661-460e-a9f7-f2e687414711	0	72280.9192937347	0	0	0	0	0	0	0	843.080706265304
58d3e932-b4a3-4cac-a6ac-73160e354a15	0	1027.91479503186	1457.71542570307	898.173112812922	1600.98230259347	810.509814016346	1304.93081922904	0	0	683.773730613292
108749d2-5c62-4ef1-92df-aec6941ba53b	0	106886.190777701	0	0	0	0	0	0	0	2078.80922229899
1d4a091d-fe65-49c0-8810-5a95243b108a	0	144068.270084147	0	0	0	0	0	0	0	5781.72991585301
98e8f23c-5970-4fce-9551-4b11a772fe1b	0	441452.666270564	0	0	0	0	0	0	0	18007.333729436
a6e24c2a-26b9-409c-bbcd-a8fcdd1e437c	0	9304.61155991966	0	0	0	0	0	877.226065610355	0	1049.16237446998
561fd34c-7c7d-4df0-bbfc-3d31147ca562	4186.04350862536	68949.2454197153	0	0	0	0	0	0	0	3452.71107165935
7ba70717-d65e-4a45-af79-60a976770526	0	72190.772972973	0	5085.49089089089	0	0	0	0	0	2635.73613613611
c95a2b1b-726c-4608-9fff-d57b6f1aa75a	0	101277.579839109	0	0	0	0	0	0	0	8808.42016089099
f24688a9-7952-49d8-ba80-2bbad472379c	0	70437.4088987357	0	0	0	0	0	0	0	3361.5911012643
5912d4b3-2d5d-4b98-b967-1b4ff177097a	0	32527.9563017685	0	0	0	0	0	0	0	976.0436982315
6d4a548a-7e30-4b6b-9a13-72827eed439c	0	87490.0478892348	0	0	0	0	0	0	0	7636.9521107652
25103371-28ac-4f43-b0e2-2d376d0dcb84	0	311144.011063701	0	0	0	0	0	0	0	2311.98893629899
28839c75-90a8-493f-b658-8c63e0ebd324	0	91298.1558836807	0	0	0	0	0	0	0	7252.84411631931
22d67778-61fc-4f15-95b8-7e7c6cc7112b	0	85283.7124379063	0	0	0	0	0	0	0	3400.2875620937
63762458-902a-4329-a823-703b54cb5f9d	0	292339.207510784	0	0	0	0	0	0	0	34891.792489216
51893d3f-e7f3-43f9-9fd0-c0f25ae96804	0	324767.533052382	0	0	0	0	0	0	0	7317.466947618
bcf76f1a-7109-422d-94c9-5e8364895fa0	0	726.716839053101	2156.15986497598	941.133292941533	0	4934.57727095685	1676.84662656338	0	0	1113.56610550916
eeddf701-93f9-4f10-85cb-9dce1760bae8	0	17784.6163214978	0	0	0	0	0	0	0	2107.3836785022
deb9fbb6-656b-41ce-8299-554efc2379bd	0	443277.611402287	0	0	0	0	0	0	0	20615.388597713
25e20393-752b-4796-9001-0e22ee04c586	0	134176	0	0	0	0	0	0	0	6164
b42d183c-bc9c-4652-9e56-10c54c5ee96e	0	91759.2185605586	0	0	0	0	0	0	0	3935.7814394414
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	0	56728.6197126729	0	0	0	0	0	0	0	3299.3802873271
7117854b-6f0a-4a43-b66c-506a3e29377d	0	43576.172275479	0	0	0	0	0	0	0	3422.827724521
8ca665f8-fe78-48bf-8c0f-c606d92885d4	0	161710.286456869	0	0	0	0	0	0	0	7179.71354313099
681e2301-2057-40e4-ab63-934775d63faa	0	163388.696923342	0	0	0	0	0	0	0	4629.30307665799
a84915de-6562-4836-86f9-f2a05598296e	0	113520.71600994	0	0	0	0	0	0	0	4800.28399005999
88f2c496-3eb4-4c03-b3a5-8d5a55803aaf	0	113644.023291584	0	0	0	0	0	0	0	6930.976708416
978ae91e-6ebe-4efa-97ff-cfad511ae7b3	0	254940.923876323	0	0	0	0	0	0	0	1562.07612367699
64dd81e1-35fa-4579-8a4c-f7486adbb949	0	24257.0574555621	0	2823.42722348419	1854.7660318015	0	0	0	0	2562.74928915221
3869ff3f-21b9-4817-8ff4-83c6fc75ab11	0	358546.068986976	0	0	0	0	0	0	0	33529.931013024
d053f88f-09e6-472e-a691-bb293c461399	0	42241.6990305935	0	0	0	0	0	3167.27695014789	0	934.024019258606
affa4ef4-02ec-40f1-b6a2-739f8bf2afa9	0	4682.96880975931	0	547.190636333663	0	0	631.450972634355	605.871941971645	0	1138.51763930103
04aa6b77-8074-480c-872e-a1a47afa5314	0	750772.922455303	0	0	0	0	0	0	0	19921.077544697
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	0	43419.360419892	0	0	0	0	0	0	0	9544.639580108
3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c	0	75222.3003199661	0	0	0	0	0	0	0	5109.6996800339
6c884037-49f9-41c3-b0e5-9cbcd545aeb7	0	84121.5338985431	0	0	0	0	0	0	0	4880.4661014569
a0583407-712d-46f3-8c4e-4eeaa0149087	0	0	841.444735856126	439.99400524541	645.724990633196	550.618209067066	1399.07081303859	0	2371.16223304608	431.985013113532
41a7b031-d928-4a1f-891b-82fb3f6d548f	0	210095.058502383	0	0	0	0	0	0	0	17064.941497617
2399ab13-abfa-480e-9fda-7947edc420be	0	56298.7779513114	0	0	0	0	0	0	0	4204.2220486886
450e8eba-a3a9-4dcb-b423-e33dfcd5c34e	973.260053072055	552.635027556644	1265.89058991631	856.308226168606	1397.39865278628	0	2036.36721779955	0	0	295.140232700554
6507e084-c038-4ba6-a431-fb9a53190d5f	0	243086.755130231	0	0	0	0	0	0	0	3399.244869769
8d5ffe62-6dd9-4764-b0b7-5e3010eefe6d	0	13466.6104104847	0	0	1080.23349406528	0	0	0	0	1655.15609545002
d056645f-4dd3-49f3-b0a4-2293e2b4d82c	0	33480.4486511364	0	0	0	0	0	2272.01442938939	0	1202.53691947421
507620ef-f0fc-4ac3-a7c0-ea2e36c40f77	0	42908.1261133036	0	0	0	0	0	0	0	3467.8738866964
8ea666b7-2b6e-4df8-9a9d-b8265b9749b4	0	34699.5177967787	0	0	0	0	0	3012.34713660768	0	2538.13506661362
75ba6722-1148-4a52-a9ed-68d890238205	0	282374.476759993	0	0	0	0	0	0	0	6718.52324000699
66d312fc-809d-428b-98e3-a29d211db35c	0	91765.1545371863	0	0	0	0	0	0	0	2234.8454628137
d0e033bc-8e97-4322-b3b1-8626f1e2449b	0	98147.7063038881	0	0	0	0	0	0	0	2824.2936961119
fe8c62a6-c113-46e8-ab91-fdb90bb6a59f	0	532.229657430328	0	0	734.196278846922	0	2216.62125688733	1840.75285474727	0	952.19995208815
c21a5d55-9790-429f-a4e6-420293c07b53	0	74776.127901739	0	0	0	0	0	0	0	4031.872098261
d432e99a-67fb-4609-b90f-99438eee7cae	0	20042.7564135454	0	0	0	0	0	0	0	3371.2435864546
e2774050-1257-4c29-b201-d79ce70fe17e	0	357125.575722689	0	0	0	0	0	0	0	4209.42427731102
04c09376-8756-41d9-bbca-f464170a8cfb	0	65671.8654129988	0	6942.09148173528	0	0	0	0	0	3271.04310526593
22edd867-dcd6-42b5-92bb-025ceb84b106	0	56739.2053924151	0	0	0	0	0	0	0	4039.7946075849
10bb1a92-901e-4a14-80f4-5e88f997754b	0	60672.1367917369	0	0	0	0	0	0	0	1962.8632082631
5310f698-d31a-4628-84b4-dc9ac29722a5	0	65588.8141938798	0	0	0	0	0	0	0	6520.18580612019
fc249113-83d4-4abe-8c80-a4f7305dcd91	0	55180.4081468021	0	0	0	0	0	0	0	3734.5918531979
fa4d35e3-fc38-4e26-a9e0-521a648acec1	0	92131.5807600465	0	0	0	0	0	0	0	5869.41923995349
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	0	159184.31009646	0	0	0	0	0	0	0	9419.68990354001
b07bad52-d44c-4b27-900a-960985bfadec	0	315429.402498152	0	0	0	0	0	19599.0162345477	0	13976.5812673003
15daadb0-6b24-4248-9225-470dc08f1552	0	2215.65433832709	0	0	0	0	722.090667915106	0	0	291.254993757804
54a77010-2f16-4da9-8ca0-746a51801a00	0	58752.4012517007	0	0	6299.32858503401	4093.3886122449	0	0	0	4352.88155102039
3f98d326-5676-4257-9af8-0a5f5d3c2527	0	0	1923.19467554077	0	575.956738768719	0	1774.94841930116	0	0	842.900166389351
