ICGC-Esophagus_common_SBS2+13	ICGC-Esophagus_common_SBS28	ICGC-Esophagus_common_SBS93	ICGC-Esophagus_common_SBS18	ICGC-Esophagus_common_SBS17_a	ICGC-Esophagus_common_SBS100	ICGC-Esophagus_common_SBS1	ICGC-Esophagus_common_SBS17_b	ICGC-Esophagus_common_SBS3+8	unassigned
3a18aa52-b6e2-4d03-ad05-ef99d653f0e0	0	280.672672672673	471.129129129129	453.587087087087	0	353.848048048048	807.936336336336	0	728.746546546546	242.080180180181
9ba6be6d-2032-444b-ab3c-dbee8023759d	0	1553.05860740529	0	2367.77787686381	0	1694.33651994007	2017.32877933937	2674.79524862667	1314.43372333595	2373.26924448884
7f94d650-41b9-4664-bcde-dc8533e4602d	0	4597.49138287906	0	4969.70732291871	20047.2007974377	0	4742.38080920322	5974.44055167004	0	5530.77913589127
de581588-be15-4bf4-95d1-aa5478b53ab6	744.753268477352	0	1562.07994013294	0	0	0	6475.54958841396	0	1248.26253466567	1339.35466831008
cb381d49-4546-400c-af02-f877083caa0a	0	2069.49847014775	1507.0424533999	5890.30315230082	3650.46942308467	1609.9429324852	6655.56302588671	1786.27239421877	0	1645.90814847618
33992441-4f34-42f2-ba87-6ddd227f2250	1151.23892100193	868.557482337829	653.419396274888	1075.19010918433	0	0	1314.84393063584	0	2956.39755940912	549.352601156063
926a04de-ef57-4271-91db-e90de8aa8a1a	4224.67523498945	0	0	1862.29765330264	13478.6543097385	0	0	3244.51857535648	4676.74749024874	3796.10673636419
25c99312-bf63-4654-a73a-03c3c1cd50b6	0	755.008005336891	732.963975983989	0	781.561040693796	706.410940627085	1029.55637091394	1182.86257505003	0	819.637091394269
c9f91ded-3b04-4cd1-8ea6-bbc635a8a4f0	0	9903.53968273049	21862.5876017262	15110.0605448637	68199.2732693024	0	0	0	0	9708.53890137721
569393c8-e2fe-4580-a45b-81f1b1e01135	0	11524.872653282	0	5400.48618709812	11138.6590973358	2774.53417263976	0	0	5290.92560581285	4561.52228383147
e91ab7da-79a6-4ea0-bc24-7aacb39f7614	0	4208.28105906314	2095.13136456212	4983.56975560081	6668.28360488798	2524.56822810591	3830.89714867617	6782.39969450102	3525.08604887984	1752.78309572301
f2e639cc-c30c-459f-8afc-7ace7d0209c5	0	0	728.309219484341	3320.46892432029	0	845.019018755216	2648.26055255414	0	1918.44863179163	1943.49365309438
9c00828e-e9ae-4b9c-959e-34837ee2b230	0	0	1987.98938733519	1917.91926794271	3131.63383599101	1542.04312748734	3971.47426699515	3178.18041530173	2342.84449197282	414.915206974048
134c9a92-e91e-4347-a9c4-727279edebb1	0	4431.57295984104	5076.79239044381	0	37252.8008662041	0	0	12422.09833279	0	5207.73545072105
48a0da38-8147-40fe-b683-3f070413a792	0	0	1489.22477579941	5177.71184668079	1512.77577326326	0	3644.89267132063	1732.25102622428	3095.70345386566	2512.44045284597
e93b0979-65ef-4883-9b6e-39eb17966e66	875.849400082747	0	793.080126879051	1382.99931043994	0	1733.13841768951	2883.88213120029	0	2541.76913529168	701.281478416782
d707940e-0f9d-4da3-9380-90a422e44efd	0	3764.17609387266	0	3389.95975705491	5163.98533239681	0	2722.07364789489	7441.30186340536	0	1735.50330537537
36680797-36de-413d-b2a1-8804ac1705e9	0	2576.82083764219	0	2209.77223371251	1191.91054808687	1347.50723888314	1926.00775594623	1823.77275077559	1578.40873836608	848.79989658739
371235d9-55b8-40a7-8cd6-baa7c2ad0493	0	0	0	2131.31046825287	9648.168885738	2452.93277078434	3655.39002628303	7368.80211647531	0	3670.39573246645
d1842491-29ff-4801-8c8a-4d619f749dd1	0	3584.61713504603	0	1628.00526675512	3301.09375628191	0	3730.88714670526	10641.6442729064	0	2032.75242230528
2e69c886-535b-4ff0-9236-abf6799acdbd	0	2630.49398864394	4302.76161467552	0	2800.1225718949	0	1612.72248913818	3097.84825636192	5109.37304889543	2213.67803039011
9ae33a63-6b1a-43bf-9205-463c867bcbc4	0	3352.13854415995	0	0	5529.92592071123	2755.18923104773	3658.3820624736	6186.01882655832	2094.0841563248	1343.26125872437
f0a33adc-ea90-46ef-a24a-a8d7e4e15db3	0	4393.06813186813	0	6953.94197802198	8279.35912087912	3445.48483516484	3431.49098901099	9715.22769230769	2818.76043956044	757.666813186814
27b56bf2-7a9d-4061-98d4-61fe2761578c	0	10799.1146431501	0	2863.65179792179	13843.402173913	0	5099.33172682527	5925.9528643697	0	5385.54679382014
708e21ac-f529-4461-bc4f-d3a194a92b80	2446.52225899434	0	818.674762463969	0	0	0	1037.22141560799	0	4316.92153304153	749.660029892171
532bec86-b8d3-41a1-ba17-913a7d378f66	0	3879.94332870585	2301.57658491439	6082.0598179855	4569.16680549129	0	3123.74672219651	4964.50819065248	4380.74240320839	3100.25614684559
1f967003-82d6-4932-a445-24fc25723594	871.457871207726	0	2258.29942326724	2202.36631061666	0	2240.32092277241	2625.36047503669	1007.295430502	2146.9326007576	1281.96696583967
7adcea71-1aed-450c-b0ff-b9d9820c6153	3479.50640525788	0	2564.26890943522	0	4147.6398017155	0	4954.11139578924	1204.44452489696	0	1648.0289629052
42629ae0-9410-4fac-8df1-2c276467deb5	0	4066.29235533892	0	0	22785.8454252296	0	3636.55008993093	11546.5092964102	0	4971.80283309035
9de495d1-55b2-4535-9b0a-a999df35977c	0	1255.05321259163	1244.53600689953	1468.40224234584	3088.05191893057	1546.53005605865	2948.32332902113	2193.58861578266	2823.11849935317	853.396119016819
5fd632ea-085e-4e9b-8dcc-ec94e492d3bf	0	2848.88760275122	0	1665.89615836269	3159.64804562993	2657.72739473243	2614.19090756584	1662.39322261366	2659.7290723033	629.527596040931
60525b38-c34b-479b-86d3-013c7e567b8f	0	21518.3408091496	0	0	40620.0094994244	0	0	0	5106.08938266324	12305.5603087628
d4cf11be-3bd7-403b-9722-91d8e8761e4d	0	3071.54295942721	3643.85525501635	1586.63811544241	4661.68911871298	1577.61743127376	3759.62070184743	0	2244.64691063378	2132.38950764608
a92023de-5c97-4bf2-aa3c-0e768d7c5ece	0	55595.3140505219	0	0	27266.8419658095	6864.84139062544	0	8730.07000273448	0	7608.93259030869
ec474dfa-527c-44f3-9224-bf1c858cabfc	0	2997.12915996536	0	2135.23580353829	2628.6747494742	4809.40492391439	2134.73586539651	4388.95694667821	0	1110.86255103304
dfde4013-9062-42f5-a42b-626ef8334a41	6815.89970938766	0	0	3372.70295896202	0	7539.33599483356	6175.45611460107	3629.68032642517	3906.15597663359	2623.76891915693
