Hartwig-Prostate_common_SBS1	Hartwig-Prostate_common_SBS8	Hartwig-Prostate_common_SBS18	Hartwig-Prostate_common_SBS3	Hartwig-Prostate_common_SBS5	Hartwig-Prostate_common_SBS17	Hartwig-Prostate_common_SBS2+13	Hartwig-Prostate_rare_SBS44	Hartwig-Prostate_rare_SBS33	Hartwig-Prostate_rare_SBS97	Hartwig-Prostate_rare_SBS35+116	Hartwig-Prostate_rare_SBS4	unassigned
HMF001485A	763.449587824984	3512.66962587191	1019.9365884591	2009.81610653139	0	0	772.967660114141	0	0	0	0	0	611.160431198476
HMF001592A	1172.19912902399	1970.35607548459	0	1455.60993937324	2701.4157629579	3451.00230552472	0	0	0	0	0	0	977.41678763556
HMF002389A	3940.0307762231	3438.03648995228	3656.31659253969	0	2375.60679154628	0	0	0	0	0	0	0	1976.00934973865
HMF002155A	966.539399127634	1936.57894093188	0	0	5006.70408870409	3622.64767029473	0	0	0	0	0	0	733.529900941667
HMF001806A	2394.918155888	2385.41649688573	1210.71139181559	1167.20379533151	824.143896617964	0	0	0	0	0	0	0	608.606263461206
HMF001378B	2161.77428906643	1922.96781943125	2277.92334767305	830.565897536175	1037.83189004972	0	0	0	0	0	0	0	729.936756243374
HMF001817A	701.975624435751	566.190189587722	0	353.743605176046	1133.38248570569	0	229.48239542582	0	0	0	0	0	345.225699668971
HMF000847A	1581.40479699853	318.38349189334	952.647460806646	0	544.155433471794	0	0	0	0	0	0	0	339.40881682969
HMF002547A	1569.02416431736	564.968586387435	381.141495502752	0	691.349711370654	0	0	0	0	0	0	0	514.516042421799
HMF001543A	2237.17309622831	691.453319948372	576.881112863904	541.705435250251	1930.64219130934	0	637.182274487308	0	0	0	0	0	392.962569912515
HMF002065A	1829.07481232203	0	0	426.650271809475	0	0	0	0	2433.41237380274	0	0	0	1127.86254206575
HMF001476A	604.063726905312	0	0	2662.57700635104	1770.72113163972	431.18858256351	676.011763856813	0	0	0	0	0	778.437788683606
HMF001186A	0	0	0	0	6955.27433234185	0	0	21099.3489955304	0	0	0	0	3383.37667212775
HMF002421A	1198.42588543944	653.142107564495	1088.57017927416	0	836.900743331876	327.569742020114	348.542195015304	0	0	0	0	0	114.849147354611
HMF003161A	2484.63312946852	1223.28874149367	430.128951675424	496.726333017486	0	0	491.719011112068	0	0	0	0	0	686.503833232832
HMF000249A	1558.90976002453	965.731810166373	2354.15931917504	596.186460170206	532.506325231925	0	422.19428045695	0	0	0	0	0	110.312044774976
HMF001047A	1422.51796991618	569.408887357906	440.362957859685	396.176024801929	936.461706280859	0	372.07406131588	0	0	0	0	0	235.998392467561
HMF002536A	1752.29722348657	399.18161128812	0	458.708693673191	973.943104233045	0	0	0	0	0	0	0	811.869367319074
HMF001572A	1685.90514096186	776.799336650083	1723.99336650083	549.773466003317	767.778441127695	0	0	0	0	0	0	0	539.750248756215
HMF003178A	1578.20719718049	629.883138564274	0	410.923761825264	2131.60452606195	0	0	0	0	0	0	0	639.381376368022
HMF002771A	0	0	0	0	0	0	42993.7650846493	0	0	0	0	0	2686.2349153507
HMF000956A	1555.90849976777	1163.31007895959	944.533859730608	0	1101.37343241988	0	0	0	0	0	0	0	611.874129122152
HMF000377A	1321.05542513014	720.984485046443	580.085230172502	556.602021026845	1264.59579463101	0	0	0	0	0	0	0	451.67704399306
HMF002094A	1513.21554770318	834.515901060071	775.585394581861	449.96937573616	744.621908127209	0	708.164899882214	0	0	0	0	0	61.9269729093048
HMF001596B	0	0	0	0	4194.44703884526	0	0	29922.2241562301	0	0	0	0	3611.32880492464
HMF002916A	1758.44076188777	1016.04358105094	5851.13034168971	1494.79971451512	0	0	0	0	0	0	0	0	1094.58560085646
HMF001526A	1717.65996258185	679.969519800437	0	1410.89928281883	1417.39421577799	0	571.554100405363	0	0	0	0	0	611.52291861553
HMF000609A	1941.1149399634	2015.98437709235	860.000267821274	1368.61331071731	2337.423827166	0	0	0	1919.15323840557	0	0	0	739.710038834095
HMF001337A	2135.14632043414	1322.87873408734	977.627428107724	889.435512501902	2421.26895572349	841.831921691941	1291.81112745347	0	0	0	0	0	0
HMF000197A	1730.30033460252	352.459328487366	372.457020883812	409.952694127149	890.897196261682	0	304.964809045806	0	0	0	0	0	271.968616591665
HMF000790A	1490.5	526	497.5	0	951.5	0	281.5	0	0	0	0	0	419
HMF003142A	3087.65785741911	936.94791800954	2091.42851617894	0	0	1040.94160113446	0	0	0	0	0	0	637.02410725795
HMF000548A	916.190190842181	895.082133784928	592.030743177229	571.425258907054	1727.84524197225	514.131961180225	0	0	0	0	2404.30821337849	0	94.9862567576429
HMF000881C	0	0	0	0	0	0	0	93685.3741508976	0	0	0	0	13487.6258491024
HMF000840B	2270.73829201102	0	2432.68319559229	0	1147.15151515152	474.30303030303	570.567493112948	0	0	0	0	0	384.556473829192
HMF000191A	30639	0	0	0	0	0	0	57942	0	0	0	0	0
HMF002630A	1275.02982174537	1680.72112866436	1169.61003632677	0	1120.14767255217	0	0	0	0	0	0	0	668.49134071133
HMF001071A	2029.58844461092	744.265848862253	625.64378687143	470.984642756812	1071.60267815339	0	0	0	0	0	0	0	402.914598745195
HMF002145A	1763.50219378428	1024.30667276051	1098.57513711152	381.809689213894	577.698994515539	0	0	0	0	0	0	0	607.107312614256
HMF000679B	1468.8521984103	458.453868598451	1085.89073347419	454.454271053426	958.90351141966	0	379.461817084214	0	0	0	0	0	162.983599959759
HMF001112A	1372.16717214606	717.564478951838	319.805895911683	0	1072.34914472886	0	389.763435642363	0	0	0	0	0	247.349872619196
HMF000945A	2550.17628057222	1171.04014766959	795.867097369635	705.825565297646	940.433779418551	0	0	0	0	0	0	0	340.657129672358
HMF001106A	1560.07159073319	4427.7986945978	1996.79147102833	3316.46679737888	1854.55701460193	3801.26593055054	2456.04850110933	0	0	0	0	0	0
HMF002672A	1260.09875145899	4825.96328652778	2171.30859830934	2667.15070915715	1258.0993881088	905.211756799774	1044.16750963817	0	0	0	0	0	0
HMF000501C	8422.62350957576	0	0	0	0	0	0	54120.3040654464	0	0	0	0	3561.07242497784
HMF003642A	2134.27526119262	4189.07750914646	886.199072153283	1776.89661675404	2517.64507977219	1630.94617734696	0	0	0	0	0	0	116.960283634447
HMF000050A	2745.53083192373	1296.19483315393	731.173996616946	667.615408273105	0	0	471.434568660618	0	0	0	0	0	597.050361371671
HMF003478A	1006.39038490796	420.90856534307	0	364.554693442872	1074.71322075156	0	0	0	0	0	0	0	411.433135554538
HMF002106A	2394.07265068049	1106.57576150356	2172.55703175632	0	791.341996111471	0	618.439533376539	0	0	0	0	0	650.01302657162
HMF002092A	2090.0043625259	0	0	826.990947758752	457.548260442796	474.068055404079	0	0	0	0	0	0	741.388373868473
HMF002186A	1255.70351758794	1062.17215107797	1461.23682930783	604.097908899335	1298.21040687308	0	0	0	0	0	0	0	488.579186253844
HMF003617A	800.916843526915	989.66158595408	422.428709241752	0	1762.61624541771	612.172101099749	395.964499324715	0	0	0	0	0	192.240015435079
HMF000489A	1274.61594147093	963.831497882172	920.861301501733	897.377589526377	694.018636888718	0	1545.42810935695	0	0	0	0	0	191.86692337312
HMF003537A	1885.79515009961	1699.01353300817	1576.65659133063	0	1096.71773030157	0	0	0	0	0	0	0	1011.81699526002
HMF003268A	2788.17178065311	2601.16025878004	1178.57261244609	2231.63749229821	2858.17609365373	954.058780036969	0	0	0	3248.20012322859	0	0	371.022858903261
HMF003638A	1392.5959208056	823.873527905786	1442.52764976959	620.152073732719	730.00187745349	0	571.218979348012	0	0	0	0	0	270.629970984803
HMF000881A	0	0	0	0	0	0	0	99926.3412946478	0	0	0	0	13910.6587053522
HMF000445A	5085.72228998798	0	0	0	6042.9523483061	0	0	44014.0782353203	0	0	0	0	1028.24712638561
HMF000677A	1306.09394084952	1207.39792767447	926.840732862142	613.217868661223	1794.5640568174	922.331777945516	530.553695189734	0	0	0	0	0	0
HMF003114A	870.712825585229	647.786350148368	435.356412792615	0	643.787668974613	0	0	0	0	0	0	0	434.356742499175
HMF003379B	1110.01728158003	4226.45069263475	0	2963.70621313949	0	0	987.735701549856	0	0	0	0	0	1629.09011109587
HMF000475A	2680.32998516921	1151.56768235135	1756.07826614534	554.051435890522	687.443440744236	0	0	0	0	0	0	0	581.529189699342
HMF003081A	0	5595.2792641611	1639.90073773866	3350.86217268784	2254.42564037615	0	1624.38748693918	0	0	0	0	0	1340.14469809707
HMF001220A	0	16286.002315292	4368.14633914271	2647.80102760906	0	0	1888.92814665631	0	4003.46714981208	0	0	0	2350.65502148784
HMF000141A	1444.30405029044	1551.86392933874	1730.96363491685	500.778785708602	608.338664756903	0	0	0	0	0	0	0	450.750934988465
HMF001806C	2701.73207510925	2770.13667579119	1493.41723094655	1447.98059837679	1060.52096239735	0	0	0	0	0	0	0	923.21245737887
HMF002390A	1180.24248398226	762.125184820108	829.724987678659	703.03794972893	2017.97930014786	0	0	0	0	0	0	0	602.890093642183
HMF003707A	2835.36801705757	464.405117270789	0	361.536886993603	453.91855010661	0	0	0	0	0	0	0	568.771428571428
HMF003088A	1433.79366271212	960.371226910948	966.88391650398	751.965159933924	1759.42814236372	0	509.492716624118	0	0	0	0	0	290.06517495119
HMF001189A	1198.95119605722	711.140161077053	363.850823416276	564.596105301118	833.594783026806	0	314.166366149778	0	0	0	0	0	188.700564971749
HMF002189A	1301.78041543027	519.710796621776	514.203264094955	0	1409.92832686601	0	0	0	0	0	0	0	641.377196986989
HMF002802A	1596.45869043538	662.936235858759	658.426465546795	432.937949948577	662.435150268541	0	0	0	0	0	0	0	371.805507941948
HMF000376B	1496.08185112908	1871.85124059102	1998.77334820184	1259.22720936716	1860.35829383886	0	0	0	0	0	0	0	475.708056872039
HMF002564A	1820.24930534115	3329.38329731399	3398.29808582896	0	0	0	0	0	0	0	0	0	1157.0693115159
HMF000615A	2608.11527243029	12518.3530509859	3503.49815268541	4204.798039902	0	0	1947.83292497958	0	0	0	0	0	941.40255901682
HMF002260A	1109.91210191083	3815.85477707006	731.931210191083	1012.28789808917	896.64076433121	0	801.51974522293	0	0	0	0	0	277.853503184717
HMF003282A	0	4650.5400982588	1147.99100498519	4294.57777617224	1486.93121884257	0	1045.35770536811	0	0	0	0	0	1233.60219637309
HMF003152A	604.874698795181	0	1670.77280550775	553.427882960413	935.532874354561	0	0	0	0	0	0	0	588.391738382095
HMF003279A	1717.25520231214	689.201083815029	3055.17492774566	0	0	0	0	0	0	0	0	0	1455.36878612717
HMF002518A	722.552463224808	976.449370441302	899.678171223666	1469.19000855711	0	1484.7449574182	6761.38502913492	0	0	0	0	0	0
HMF000696A	806.543873312565	408.796209761163	0	717.151090342679	1215.34008307373	343.007139148494	334.971832814122	0	0	0	0	0	43.1897715472469
HMF002279A	2069.28851626798	821.201907545573	1388.87839396969	0	985.542496731021	609.262672102146	561.664025844166	0	0	0	0	0	78.1619875394244
HMF003063A	1731.6858411873	1211.08092297693	1171.61087639476	1852.09446430506	2359.20961975951	681.482829595927	0	0	0	0	0	0	216.835445780513
HMF001129A	3694.9876746097	0	2535.8052588332	841.769378252534	0	0	0	0	0	0	0	0	2052.43768830457
HMF001217A	0	7582.49198613274	0	1816.41451037532	0	7718.63548208813	0	0	0	0	0	0	2806.45802140381
HMF000832C	1548.84422353055	629.546375832449	419.864395328636	588.010327188495	1155.00241289451	0	626.043335585368	0	0	0	0	0	217.688929639992
HMF000501A	9412.93729159248	0	0	0	0	0	0	50179.8096409725	0	0	0	0	2247.25306743503
HMF000803A	2373.27805464857	1024.67714956751	2879.37772813198	1416.97926333276	718.721429798935	0	0	0	0	0	0	0	299.966374520245
HMF000652A	1730.56607335491	0	524.217098166127	0	765.586839266451	0	0	0	0	0	0	0	685.629989212512
HMF003244A	1524.72257595052	441.919592505003	857.344005821357	1021.3141713662	1110.29798071675	0	385.929779879934	0	0	0	0	0	154.471893760236
HMF003551A	444.12751396648	506.575139664804	875.765502793296	0	1045.12346368715	0	397.166899441341	0	0	0	0	0	308.241480446929
HMF003582A	1384.04791194561	614.634725369591	927.675407359448	0	1166.5617783533	0	0	0	0	0	0	0	519.080176972051
HMF001805A	942.115285766736	628.076857177824	519.563578509362	0	1280.65671276466	318.038918125077	0	0	0	0	0	0	397.548647656341
HMF001506A	11788.0556480784	0	0	0	0	0	0	65777.6203916344	0	0	0	0	7959.32396028721
HMF001410A	1506.17759042698	1060.08838727223	890.173511014414	721.261082404134	724.769649170519	0	0	0	0	0	0	0	626.529779711723
HMF000079A	2175.99433116942	426.694980341958	724.330986559385	626.286184511292	1022.46722135869	0	0	0	0	0	0	0	495.226296059255
HMF000983A	1440.09597662396	1348.18558477561	1176.85262605829	0	1675.36659923578	0	586.428261032442	0	0	0	0	0	440.070952273918
HMF001839A	430.231021555764	1089.31896282412	664.584504842237	1028.35707591378	2314.05326460481	0	536.164792252421	0	0	0	0	0	335.290378006868
HMF000458B	16056.535321569	0	0	0	0	0	0	111349.223529367	0	0	0	0	3479.24114906401
HMF000822A	1992.46152767062	1378.43564564775	1264.02398821631	707.453742021463	1279.51202917865	0	0	0	0	0	0	0	501.113067265207
HMF001985A	1545.44074190506	3285.3706381641	759.006392119878	2324.39473959971	0	0	739.557476684481	0	0	0	0	0	864.230011526772
HMF000705A	2554.37997147837	463.20622722231	591.125099033434	0	0	1184.24893043892	986.874108699097	0	0	0	0	0	527.165663127869
HMF001758A	1041.17592267135	2124.81823374341	0	1349.93154657294	2297.68141476274	3648.61217047452	0	0	0	0	0	0	908.78071177504
HMF001133A	0	2297.96418601484	532.02866480561	1434.22938653231	1217.42146115612	486.069381085314	965.644515557976	0	0	0	0	0	403.64240484783
HMF000238A	674.009969712267	523.896390711762	1033.78218071681	362.274103987885	1068.80868248359	0	0	0	0	0	0	0	302.228672387686
HMF003628A	0	1987.68056110224	1310.43759984026	1630.78903753994	2920.20357428115	0	0	0	901.488967651757	0	0	0	1276.40025958465
HMF003320A	1684.13746032829	5341.7641879671	1269.34989591509	4058.42145855373	0	0	852.063611234345	0	0	0	0	0	1438.26338600144
HMF002177A	2048.39904988123	941.075361692939	512.224573526236	0	0	0	0	0	0	0	0	0	1122.30101489959
HMF002712A	1723.57681351441	1225.46512090096	766.981649552832	723.842066909573	1792.80079496522	0	1034.34673733024	0	0	0	0	0	304.986816826765
HMF000121A	2214.54293628809	2696.48753462604	1659.03047091413	1398.79039704524	967.39242843952	0	0	0	0	0	0	0	819.756232686979
HMF001111A	1217.06500064188	0	0	4104.83743420771	0	5027.16016945526	866.682613719029	0	0	0	0	0	498.25478197612
HMF002127A	0	3560.97658916596	1495.10862145123	4294.73838493354	0	926.857005180099	1624.50748905754	0	0	0	0	0	587.811910211631
HMF003658A	12957.1830883024	0	0	0	0	0	0	33938.5988494202	0	0	0	0	2388.2180622774
HMF000551A	1791.73809806482	563.687284815386	412.174522141755	0	739.621512525228	0	285.58162174997	0	0	0	0	0	405.196960702841
HMF002665A	1435.73953872349	2192.07553789794	1078.05355760797	2883.96811310046	736.853103555028	847.755740157887	0	0	0	0	0	0	507.554408957225
HMF002593A	644.087704708291	3273.9042988741	0	1338.14342374616	1364.12679119754	0	0	0	0	0	0	0	1190.73778147391
HMF002299A	1348.60053619303	6390.86809651475	1242.71042001787	2672.72647006256	0	0	1096.36228775693	0	0	0	0	0	1221.73218945486
HMF001682A	1442	768	2406.5	676.5	871.5	0	0	0	0	0	0	0	518.5
HMF003798A	1442.09176335829	8907.56680737331	3019.19211759964	6642.42267144645	0	0	0	0	0	0	0	0	3561.72664022231
HMF003299A	1955.14555011782	1094.80152256661	488.911364872213	588.393329708175	752.863512778684	0	364.933840855537	0	0	0	0	0	270.950879100961
HMF002674A	1947.99416391779	578.646790154783	574.145648312611	320.081197665567	0	0	0	0	0	0	0	0	521.132199949249
HMF000114A	1192.49707112971	1125.94142259414	436.865271966527	502.420083682008	851.211715481172	0	395.330543933054	0	0	0	0	0	279.733891213389
HMF002313A	1584.16612137203	714.329498680739	521.199683377309	347.633667546174	1133.69709762533	0	0	0	0	0	0	0	451.973931398418
HMF000960A	1154.21334810302	1752.34212129604	2276.39302132373	0	1779.87106064802	629.661921905289	1080.63600110773	0	0	0	0	0	363.882525616171
HMF001697A	1071.48019017433	2096.50459587956	1531.54231378764	876.166085578447	1339.22535657686	0	639.890966719493	0	0	0	0	0	325.19049128367
HMF000526A	1205.03287264273	2005.72248772927	577.276220614828	1439.44200464996	1207.03209764919	714.22313355722	590.271183156807	0	0	0	0	0	0
HMF001098A	666.765759438104	1297.04433713784	804.717295873573	0	1589.44161545215	695.255750658472	0	0	0	0	0	0	639.775241439861
HMF002971A	1028.13568472197	1249.81176894008	502.532661508008	447.865934856937	1938.41191290265	386.177793773619	0	0	0	0	0	0	21.0642432967361
HMF000212A	1667.53040602609	1571.94267866985	3068.8164615102	747.686202461878	0	0	0	0	0	0	0	0	1116.02425133198
HMF000174A	366.727451386016	711.941559784857	392.743587091436	751.966383947042	2270.90846090194	0	0	0	0	0	0	0	342.712556888709
HMF003732A	0	10190.4254986067	2351.9834684868	1100.09706002066	0	0	1247.37781395786	0	0	0	0	0	1110.11615892798
HMF000832A	1829.45858295391	779.066059589424	750.636632318875	737.17006150651	1463.86612349229	0	467.838645259206	0	0	0	0	0	215.963894879785
HMF000115A	901.230760588698	0	3800.73362543534	0	860.562408718122	0	0	0	2519.93158072127	0	0	0	855.54162453657
HMF000376A	1454.12199178751	2178.933572431	1859.01673683663	1335.15291855086	2235.91875877125	0	0	0	0	0	0	0	553.856021622751
HMF000902B	1773.10541847178	1501.89520939285	1902.46719407296	1722.15985433541	0	0	0	0	0	0	0	0	1055.372323727
HMF002663A	922.396446674517	4056.94280886795	812.289437304798	2187.12559520762	0	0	935.409093236393	0	0	0	0	0	860.836618708721
HMF002434A	0	4992.92109805211	1178.79411522972	2010.5320950111	2433.88074299334	0	0	0	0	0	0	0	1517.87194871373
HMF000685A	3075.98338551661	2860.30926169074	861.695687304313	957.773255226745	905.731239268761	0	875.706999293001	0	0	0	0	0	371.80017169983
HMF002079A	2667.69842696629	1011.95460674157	892.901123595506	0	775.848539325843	747.335730337079	414.18606741573	0	0	0	0	0	168.075505617982
HMF001627A	0	2442.37826728028	4130.71355167329	0	2419.84710245297	0	859.689111299763	0	0	0	0	0	1353.3719672937
HMF000840A	2385.90001859543	0	2817.92103142627	0	1189.18676005703	527.356660261576	642.762970309304	0	0	0	0	0	531.87255935039
HMF001344A	699.942768488192	476.10067229788	320.557834856059	262.229270815377	857.978279606964	0	0	0	0	0	0	0	275.191173935528
HMF002690A	861.522172949002	1712.05044345898	935.980875831486	1380.2344789357	1705.55404656319	0	0	0	0	0	0	0	616.657982261642
HMF002476A	1262.04425727412	525.142572741194	971.688973966309	0	2550.12036753446	621.760796324655	0	0	0	0	0	0	607.243032159262
HMF002710A	1650.99925061557	669.215715662135	819.98961567284	544.990043892517	613.113799379081	0	0	0	0	0	0	0	380.691574777857
HMF000205A	1380.35295560461	506.496443463331	816.300098111356	0	897.880058866814	0	0	0	0	0	0	0	479.970443953889
