Hartwig-Breast_common_SBS5	Hartwig-Breast_common_SBS31	Hartwig-Breast_common_SBS17	Hartwig-Breast_common_SBS13	Hartwig-Breast_common_SBS2	Hartwig-Breast_common_SBS18	Hartwig-Breast_common_SBS1	Hartwig-Breast_common_SBS8	Hartwig-Breast_common_SBS3	Hartwig-Breast_rare_SBS44	Hartwig-Breast_rare_SBS97	Hartwig-Breast_rare_SBS10d	Hartwig-Breast_rare_SBS4	Hartwig-Breast_rare_SBS90	Hartwig-Breast_rare_SBS119	Hartwig-Breast_rare_SBS106	unassigned
HMF002003A	1619.65214165089	0	0	10554.5245125633	3224.28432526483	1587.6095645054	0	0	0	0	0	0	0	0	0	0	2580.92945601558
HMF001779A	2140.17874665805	0	985.391662014866	4697.10021447249	4086.47718659106	1510.56744131386	0	0	1148.29109498487	0	0	0	0	0	0	0	2439.9936539648
HMF001536A	1968.15626339094	0	0	1911.18068847308	1326.93115269247	918.606199114412	0	4208.195972004	2269.52706756178	0	0	0	0	0	0	0	1393.40265676332
HMF000922A	0	0	0	46897.6701481268	34331.1051988207	0	0	0	0	0	0	0	0	0	0	0	2240.2246530525
HMF003090A	0	1052.59241339268	440.829301335398	0	0	1869.7759821947	591.271047029224	634.254402941746	0	0	0	0	0	0	0	0	576.276853106252
HMF001418A	1131.97585621722	464.78478864548	0	569.736192533169	1095.99251774144	843.609379821043	1503.30391854366	0	631.707497685899	0	0	0	0	0	0	0	237.889848812089
HMF002270A	4038.15198785647	0	0	0	0	2810.95384814133	1239.7001582534	0	0	0	0	5691.91900009689	0	0	0	0	1703.27500565191
HMF000656A	2000.58185348027	0	0	879.453777194085	848.868440586993	1263.02398218466	914.551704448124	1403.91709016159	779.173985039685	0	0	0	0	0	0	0	691.429166904592
HMF000323C	1504.16593900278	0	0	7430.28961022526	2441.0807390534	1323.58599088838	1149.50892179195	0	0	0	0	0	0	0	0	0	1962.36879903823
HMF001466A	2591.54673981853	0	0	646.636421185904	0	1299.2741084617	1056.72293732855	1653.34880776535	1211.25553914328	0	0	0	0	0	0	0	1021.21544629669
HMF000492A	1404.00293397285	0	0	11570.6271048066	3332.44078477396	0	1138.52967139504	0	0	0	0	0	0	0	0	0	2187.39950505155
HMF000769A	598.251366120219	0	0	271.475409836066	0	498.207650273224	576.131147540984	0	593.224043715847	0	0	0	0	0	0	0	498.71038251366
HMF003460A	795.894945228982	0	0	274.963705952224	313.458624785535	723.904447670582	965.872508908539	0	0	0	0	0	0	0	0	0	713.905767454138
HMF000170A	2817.19663526245	0	0	1432.34576043069	0	2459.73512786003	0	7534.68864064603	1922.79294751009	0	0	0	0	0	0	0	2406.24088829071
HMF000195B	1459.73050500181	0	0	578.487646137158	0	782.159334699289	0	2864.91502952874	1194.50693021574	0	0	0	0	0	0	0	1424.20055441726
HMF001473A	853.418758256275	0	0	0	0	1284.61981505945	1351.49590488771	842.938177014531	0	0	0	0	0	0	0	0	1334.52734478203
HMF003062A	671.515535325549	0	0	0	0	816.558875915298	2309.15020779735	401.504056995844	0	0	0	0	0	0	0	0	873.271323965959
HMF000857A	794.952410006101	324.593044539353	0	810.480780964002	584.56802928615	643.676021964613	283.017083587553	499.913361805979	0	0	0	0	0	0	0	0	163.799267846249
HMF001745A	3426.64124718257	0	0	0	0	1362.04357625845	0	6696.04658151766	5311.46919609316	0	0	0	0	0	0	0	1865.79939894816
HMF000193A	1541.24096315299	0	0	828.822936100746	522.573111007463	745.890683302239	611.000874533582	2444.00349813433	1214.50787080224	0	0	0	0	0	0	0	660.96006296641
HMF002233A	0	0	0	3468.53081949841	5872.09161956906	0	698.308194984105	0	0	0	0	0	0	0	0	0	1290.06936594843
HMF002463A	726.305839147998	518.004921042967	0	465.555049577672	818.217994858612	1967.11994124128	761.272420124862	1051.49504223283	0	0	0	0	0	0	0	0	493.028791773779
HMF000583A	2149.59281096825	488.088726291113	0	813.981814307026	1030.74326916246	0	1255.01378134546	0	560.676280457484	0	0	0	0	0	0	0	748.903317468207
HMF002831A	865.946182454605	334.365346751258	0	436.977466637497	332.863705972435	830.407350689127	902.986654998906	386.422227083789	378.914023189674	0	0	0	0	0	0	0	107.117042222709
HMF001585A	1435.92602541585	927.243723525158	0	0	630.846161793574	3042.58105176155	1648.21076557496	753.510693253435	0	0	0	0	0	0	0	0	1253.68157867547
HMF001535A	1299.16026871401	1165.99008317338	0	3171.55310300704	2998.33173384517	908.160588611644	692.384836852207	0	0	0	0	0	0	0	0	0	719.419385796549
HMF003804A	1335.42844257366	596.02174784526	0	0	518.583884546001	0	1177.05552214873	499.099518941672	0	0	0	0	0	0	0	0	858.810883944677
HMF002386A	2489.35730672172	0	1201.94826795136	544.250172057811	0	0	1486.81750401468	0	1912.12227575132	0	0	0	0	0	0	0	1079.50447350311
HMF001940A	853.174863746799	0	0	2528.48184385055	1899.6158644691	0	477.15706875041	738.016284719942	0	0	0	0	0	0	0	0	1128.5540744632
HMF003507A	840.508024022842	405.658363690066	0	669.386629910407	720.723048144137	1035.28443438023	705.624101604805	689.518558629517	0	0	0	0	0	0	0	0	45.2968396179958
HMF003446A	2841.2342223127	0	0	3686.75030537459	1701.53857899023	909.054865635179	1208.23747964169	1852.63080211726	1755.07125407166	0	0	0	0	0	0	0	790.482491856692
HMF003206A	742.057906887264	0	0	0	202.062716429396	271.739515198153	830.149288187765	0	0	0	0	0	0	0	0	0	540.990573297422
HMF001019A	1650.32402407036	552.113871316155	0	388.636012960963	458.339762382348	1240.12498071285	895.617960191329	1008.4477704058	0	0	0	0	0	0	0	0	306.395617960195
HMF002364A	1552.32900148051	0	0	674.380654712946	0	547.025497614739	1664.64221088995	0	630.759006415529	0	0	0	0	0	0	0	1026.86362888633
HMF000959A	2876.19589848176	935.575798776343	0	0	1344.39043734421	999.546793564469	2207.49909358713	0	0	0	0	0	0	0	0	0	458.791978246087
HMF002358A	1590.85450301498	0	349.407313752188	0	0	1487.23370939506	634.239350320949	0	526.113304804513	0	0	0	0	0	0	0	559.15181871231
HMF002501A	1093.23959884818	0	353.254294508986	0	579.596862277827	544.621189554165	1505.95253698739	0	0	0	0	0	0	0	0	0	955.335517823452
HMF003296A	1412.1499592502	342.779136104319	0	0	0	0	1269.53382233089	491.900570497147	0	0	0	0	0	0	0	0	781.636511817444
HMF003792A	1832.11250709824	0	0	438.688884156729	0	1152.86839863714	1754.25645939807	997.655380465645	536.008943781942	0	0	0	0	0	0	0	319.409426462234
HMF002526A	0	0	0	8794.24123530351	7898.86032345587	1060.95134861946	0	0	0	0	0	0	0	0	0	0	1050.94709262116
HMF003096A	910.156568714199	0	3963.39104922461	1389.79304242537	725.218367251898	796.888185162763	715.194616495133	1138.69808596843	701.662552973502	0	0	0	0	0	0	0	420.997531784094
HMF002596A	2350.69675506506	0	0	1607.4764618679	0	3228.45692637127	2082.61729533849	1543.95763465656	2866.3495964421	0	0	0	0	0	0	0	1502.44533025862
HMF002135A	2335.63619869365	0	0	2655.70300782195	3224.71066849448	927.642770744295	2022.58180791872	0	0	0	0	0	0	0	0	0	1256.7255463269
HMF000982A	3025.67116331555	704.005180549856	0	0	0	650.967121460812	1899.36294624538	1441.03405826836	952.183268362741	0	0	0	0	0	0	0	1081.7762617973
HMF003626A	1238.56189527146	0	0	7110.48487575943	3532.75039377672	1158.59018290527	986.651001317947	0	0	0	0	0	0	0	0	0	1521.96165096917
HMF001569A	683.883327580255	341.941663790128	0	0	255.704176734553	352.972040041422	716.974456334139	310.856057991025	0	0	0	0	0	0	0	0	242.668277528478
HMF003064A	861.529875797247	217.015105740181	0	333.057905337362	567.152903658946	0	593.777442094663	351.142497482377	0	0	0	0	0	0	0	0	69.3242698892241
HMF003614A	239.773726358835	252.815811892997	0	0	0	1213.41557335151	696.246720054524	0	0	0	0	0	0	0	0	0	541.748168342134
