Hartwig-Lung_common_SBS2	Hartwig-Lung_common_SBS3+8	Hartwig-Lung_common_SBS31	Hartwig-Lung_common_SBS4_a	Hartwig-Lung_common_SBS1+5	Hartwig-Lung_common_SBS17	Hartwig-Lung_common_SBS4_b	Hartwig-Lung_common_SBS92	Hartwig-Lung_common_SBS13	Hartwig-Lung_rare_SBS44	Hartwig-Lung_rare_SBS1	Hartwig-Lung_rare_SBS35	Hartwig-Lung_rare_SBS18+33	Hartwig-Lung_rare_SBS18	unassigned
HMF000873A	0	7325.34139598594	0	12398.3479357549	0	0	11135.099265842	14997.3882685064	6987.64125650427	0	0	0	0	0	7056.18187740649
HMF003550A	7709.99542802605	2335.48215082896	0	3507.2291990579	3765.61444559043	0	5891.78451686396	3623.90315727898	4186.24159110851	0	0	0	0	0	1508.74951124521
HMF001149A	0	11665.6060919822	0	7474.6846232045	2928.89681658164	0	8739.70814586118	14499.038865566	2897.90848848811	0	0	0	0	0	4893.15696831637
HMF000161A	0	9672.94386198145	0	9754.89678822854	0	0	5642.25908692631	9786.8784179835	7070.43874067136	0	0	0	0	0	7689.58310420884
HMF001288A	0	0	0	0	1613.43715909091	375.112840909091	0	676.408295454546	0	0	0	1234.30704545455	0	0	519.734659090903
HMF002946A	5934.5	6979.5	5758.5	26599.5	0	0	20729.5	5492	6168.5	0	0	0	0	0	1683
HMF000463A	0	8855.83751154385	5004.40817824313	29195.9643073385	0	0	24876.0435700001	6560.87961983279	0	0	0	0	0	0	7258.86681304163
HMF003219A	2239.15906079788	8260.43132636537	0	6102.79626085676	3969.66840865597	0	5999.2657883115	10919.7140438687	0	0	0	0	0	0	3278.96511114382
HMF003462A	1917.34956553498	6229.88346293732	2047.07619496903	4085.63751464703	2344.09508012113	0	8202.32928035549	6784.35210688905	0	0	0	0	0	0	1303.27679454597
HMF002136A	0	14767.6723632905	0	12704.3798386132	0	0	23097.3718574605	16873.4812187793	0	0	0	0	0	0	11962.0947218565
HMF002400B	0	7189.51853542091	0	24014.7423997753	0	0	0	15956.4799550656	0	0	0	0	0	0	9827.25910973819
HMF003566A	0	681.693336256028	0	0	617.581104778606	0	0	515.903112669882	0	0	0	0	0	0	469.822446295484
HMF000854B	13152.6492871592	4690.16558496291	0	20677.2997302765	0	0	19603.5630900202	0	9472.2658101339	0	0	0	0	0	15393.0564974473
HMF001482A	0	4511.74073255326	4473.23867820254	31524.1820330068	0	0	19658.048892785	0	0	0	0	0	0	0	5428.7896634524
HMF001738A	0	16908.0425149332	0	18393.1949011639	0	0	14564.5910216146	15503.3712913357	6555.96551511793	0	0	0	0	0	9250.83475583467
HMF002447A	0	7287.17415308157	0	14428.8847529633	0	0	8078.97576225164	12634.8342634991	0	0	0	0	0	0	7459.13106820439
HMF001558A	0	0	0	57358.4922423245	0	0	54986.9137107033	9659.35633904084	12365.5164897372	0	0	0	0	0	19353.7212181942
HMF002893A	0	0	6076.17504317664	45134.4423900266	0	0	33217.1571049156	0	5446.00132069721	0	0	0	0	0	13509.2241411839
HMF002763B	0	1858.45146625688	0	4644.87802535536	2188.12024587015	0	3708.3985785632	1355.19381482904	0	0	0	0	0	0	1870.95786912537
HMF000094A	0	1640.74915927851	0	3502.46453683889	1379.78905533476	0	3151.01826658514	1815.22248547845	0	0	0	0	0	0	1592.75649648425
HMF000666B	0	5436.0660696999	0	5962.63799958512	2169.91724865164	3222.05906859356	2039.65207094454	7265.28977665606	0	0	0	0	0	0	2887.37776586918
HMF002855A	0	1520.09861325116	3805.75051099022	1262.41237696928	2794.51966919279	0	1443.54328480236	0	1249.40297474922	0	0	2433.75893839816	0	0	1402.51363164681
HMF002049A	0	12279.3977579001	0	37564.3350650365	0	50444.3501035116	15321.4917776649	0	0	0	0	0	0	0	12420.4252958869
HMF003118A	0	7192.5481612724	7056.0282663946	40515.4042604553	0	0	31746.1263242756	11419.664173734	0	0	0	0	0	0	11863.2288138681
HMF003027A	890.783699059561	1950.59561128527	0	0	4302.44514106583	0	0	1055.29780564263	936.92789968652	0	0	0	0	0	943.949843260189
HMF002901A	0	6099.29931769625	0	12938.0136920214	0	0	6969.1993843185	10921.2453766455	0	0	0	0	0	0	6596.24222931835
HMF001187B	0	1001.5617071799	0	0	3253.57620446166	0	826.638255327126	1277.94076110729	0	0	0	0	0	0	1638.28307192402
HMF000308A	2062.29790785235	972.819819120444	0	0	1708.31766486822	4678.34708690758	0	0	1560.6172805962	0	0	0	0	0	1916.60024065521
HMF001266A	3542.35348793095	2201.27320149855	0	0	2911.84559207094	0	1514.72015933988	2265.82520036041	7970.42044861763	0	0	0	0	0	697.561910181641
HMF002736A	367.998686309468	1304.03894154077	414.625222858215	0	1050.35047386694	0	0	943.059303744018	1104.99878014451	0	0	0	0	0	157.928591536079
HMF002752A	0	7913.54527271745	0	12428.7152602843	2654.51202767717	0	3583.34128331261	14551.8249743229	0	0	0	0	0	0	5107.06118168557
HMF000164A	13498.4760275556	22687.7577969996	0	33006.3284097237	0	0	122915.517007158	22404.310796495	0	0	0	0	0	0	34174.6099620681
HMF000618A	0	4116.93462506675	0	9021.26111831566	0	0	5232.2814554886	9643.67564268823	0	0	0	0	0	0	4753.84715844076
HMF003085A	0	5542.640110195	0	20576.3010516833	0	0	29379.9944902502	7691.1635103112	0	0	0	0	0	0	13437.9008375603
HMF003411A	0	4006.18466780238	0	13156.7429007813	0	0	6703.50215590671	11983.0168830406	0	0	0	0	0	0	6752.55339246901
HMF003514A	0	5672.55974949483	2526.24522975829	6617.40344598868	2268.92396921131	0	0	8930.29687331287	2536.23828842031	0	0	0	0	0	3840.33244381371
HMF001124A	0	5714.383807626	0	12883.3653135705	3330.2236750778	0	6737.95255580682	9421.13277209323	0	0	0	0	0	0	6578.94187582565
HMF001637A	0	3098.33903297894	0	17952.8616509785	0	0	12291.8286381797	3453.93532877362	0	0	0	0	0	0	7516.03534908924
HMF000621A	1850.99915130005	1814.47943831494	1045.06411542319	1410.26124527428	2296.73975773474	886.97878250135	2144.15739526271	1284.19319496952	0	0	0	0	0	0	235.126919219219
HMF002934A	0	7746.18040032514	0	9916.51112578744	2321.85381528145	0	4687.21426031294	10473.5960170697	0	0	0	0	0	0	4228.64438122333
HMF002829A	0	14528.0948826008	6276.35680915111	12909.4213124624	0	0	23364.3539674895	15132.0999277544	0	0	0	0	0	0	10771.6731005418
HMF000909A	0	10141.0763411031	7628.30077097669	11633.1461793421	0	0	9775.68168389956	9900.6456569514	0	0	0	0	0	0	6419.14936772715
HMF001150A	7129.34575151404	0	0	56052.8561203891	0	0	20130.6526426867	0	17398.4033767664	0	0	0	0	0	8258.74210864375
HMF000507A	0	18257.4017773902	0	7887.52554810382	0	0	14829.107996752	13240.2035728249	0	0	0	0	0	0	12283.7611049291
HMF003785A	1646.6856870229	960.316698473282	1316.74866412214	0	2580.00753816794	0	907.326812977099	0	0	0	0	0	0	2269.56679389313	797.347805343508
HMF002228A	0	9659.61077895619	3012.16355985453	10856.8808336031	0	0	10142.3164854624	14177.856118738	0	0	0	0	0	0	4638.17222338578
HMF002400A	0	8415.83456873315	0	23764.0040431267	0	0	0	16393.0213948787	0	0	0	0	0	0	10807.1399932615
HMF000600A	1739.04895503812	850.279468962298	2141.94445884976	0	2626.81870040969	978.746149458072	0	0	611.841310999326	0	0	0	0	0	690.320956282734
HMF001742A	0	6885.92562323721	0	32869.8521559061	0	0	25413.6428268577	0	0	0	0	0	0	0	16240.579393999
HMF003736A	0	6935.11675415573	0	14877.8146106737	0	0	5875.5572615923	11117.8777887139	0	0	0	0	0	0	6894.63358486437
HMF002631A	0	5049.04185902161	0	42759.7922843731	0	0	25790.9299874196	5399.68366040601	0	0	0	0	0	0	11256.5522087797
HMF000794A	0	352.624312767257	0	0	651.698228466707	0	0	298.063530849114	279.371411117899	0	0	0	0	0	72.2425167990232
HMF003336A	584.196091134867	591.71147824209	0	0	1692.46517654681	0	0	849.739768923442	426.372961883166	0	0	0	0	0	495.514523269625
HMF001661A	0	5343.1634406139	4285.52697285534	2332.19837361127	1958.82670942618	0	4423.47955560646	5824.99782384607	0	0	0	0	0	0	2015.80712404078
HMF000026A	426.880537163107	746.291149864777	0	1030.71155460226	1952.95346451553	0	0	0	799.776182038609	0	0	0	0	0	403.387111815717
HMF003552A	3081.3782937166	2791.24851930822	0	3924.25531074785	1924.86098607492	1074.48061280897	2737.72457816736	1253.06049119482	1448.64797704599	0	0	0	0	0	767.343230935268
HMF000791A	10032.4221083379	8214.89272293981	0	28839.9000963701	0	0	52069.6661487087	15304.9578212896	0	0	0	0	0	0	19436.1611023539
HMF001586A	0	3225.24505486303	4373.62019215389	16797.3600912784	3514.08788748014	0	12755.0596188912	4105.76593906951	0	0	0	0	0	0	2092.86121626383
HMF001393A	0	4464.03561938959	0	20192.1611170955	0	0	19031.1518531817	11019.5879273888	0	0	0	0	0	0	7956.06348294441
HMF002423A	0	3598.71627322715	1412.87011755783	3031.36687049678	3472.13832006068	5031.59871539628	2449.00822430793	1461.40000474024	0	0	0	0	0	0	651.901474213111
HMF000789A	2668.008698941	2065.78101361573	0	2144.81089258699	3468.81145990923	0	0	1236.46747352496	5673.14485627837	0	0	0	0	0	1257.97560514372
HMF000786A	619.53652927649	1113.06562886963	1128.06651335574	0	2128.12547909664	0	0	1142.06733887611	1234.57279320715	0	0	0	0	0	1114.56571731824
HMF002525A	0	1056.19734198733	0	0	2718.37660330706	0	0	757.728635450471	977.811621078659	0	0	0	0	0	992.88579817648
HMF000203B	0	7227.65450967256	0	6190.34992881668	2102.09073779415	0	3999.81848253915	10004.2930240348	3527.63503894146	0	0	0	0	0	2747.1582782012
HMF000178A	3798.55252351069	3640.48792021475	0	19562.9956800768	0	7535.57990080176	11646.7601998187	0	4011.63961529573	0	0	0	0	0	6077.98416028156
HMF002959A	2313.67916166422	4006.90802911053	0	8473.64978433901	2661.43154431055	0	4008.90948167252	7754.12758830243	2872.58478960084	0	0	0	0	0	1666.7096209999
HMF000835B	0	5978.07100611159	0	22883.013537491	0	0	8469.22566866005	14162.7218899915	0	0	0	0	0	0	9390.96789774586
HMF001175A	0	12065.7669450336	3732.84508660304	14293.5776776246	0	0	16837.7905178508	12667.5807484977	5076.42939201131	0	0	0	0	0	3201.00963237895
HMF001419A	0	627.305823822066	0	0	1722.33967417813	317.154619061555	0	514.250707248073	0	0	1358.16213052385	0	0	0	588.787045166326
HMF000448A	7170.20731900161	5206.60283138998	0	15250.194710078	0	0	12533.3583431125	4047.74608207868	8799.2088004461	0	0	0	0	0	7087.68191389313
HMF000293A	1357.1902639909	1853.77227327207	0	0	1022.28611819663	0	0	2568.77002981038	8847.09302682934	0	0	0	0	0	688.888287900681
HMF001648A	0	3289.20587202668	0	16191.0909110858	4160.99539190731	0	13282.2931953831	4246.47475423506	0	0	0	0	0	0	4390.93987536206
HMF002792A	0	0	8994.29672447014	0	0	0	0	1512.90944123314	0	0	0	0	0	0	1452.79383429672
HMF000491A	0	11668.9855878193	8776.22866721377	36351.3790365106	0	0	57803.6605332542	15313.4194967785	0	0	0	0	0	0	13202.3266784236
HMF000933A	1191.07187976476	1525.15301677195	0	0	1715.98497059464	0	0	694.20758004792	3380.38020039207	0	0	0	0	0	691.20235242866
HMF001278A	0	3093.78500842876	0	11572.9178776958	2209.98942044992	0	10541.4893913852	2708.93857176074	0	0	0	0	0	0	4309.87973027958
HMF001519B	1057.11843979402	3278.46864614148	0	0	4407.66334319419	0	1735.33599941565	0	1347.92611665023	0	0	0	0	0	1878.48745480443
HMF000128A	0	2465.77801268499	2960.03418564761	991.513901631497	2614.3550201444	0	0	0	1872.97076070047	0	0	0	0	0	1636.34811919103
HMF000666A	1510.07700530676	4782.57677623793	0	5863.41614171725	1860.86259687703	1967.29754132784	2007.77280189364	6888.2897148093	0	0	0	0	0	0	1296.70742183025
HMF000519A	0	26456.7179644727	18111.3337754184	112649.185930716	0	0	79456.157852706	18199.3378267829	0	0	0	0	0	0	27514.266649904
HMF000296B	0	17734.6903290915	4244.18657543013	10629.2150540281	0	0	11834.626036872	10626.2152755557	0	0	0	0	0	0	5867.06672902257
HMF000866A	0	849.688815669046	0	0	2761.4886509244	0	0	515.81109280615	430.842211239246	0	0	0	0	0	903.169229361158
HMF001693A	0	1063.90145091389	0	410.540795176182	1892.99359336725	0	396.021669493122	397.022988505747	607.800640663275	0	0	0	0	0	545.718861880534
HMF001187A	539.518828196521	1012.41184009765	0	688.800732377174	3389.90149527006	0	805.521147390906	1139.15117485505	0	0	0	0	0	0	632.694781812639
HMF001517A	0	954.137017916793	0	0	1324.88454296994	583.38949286365	0	0	4222.31897965381	0	0	0	0	0	1153.26996659581
HMF003660A	0	3108.85148890434	0	8244.75817158753	2177.09628880319	0	4490.22983709511	2271.12204168511	0	0	0	0	0	0	3439.94217192472
HMF001519A	952.863209585543	3236.83684934198	0	0	3910.38672166568	0	1566.95281869967	0	1248.1658613239	0	0	0	0	0	1803.79453938323
HMF002693A	12956.6545231293	0	0	0	0	0	0	0	59276.094042273	24978.684754893	0	0	0	0	3842.5666797047
HMF002519A	0	5181.41683891778	0	5511.43384898953	0	0	8449.13443486275	6427.59302218419	7815.56168784148	0	0	0	0	0	4536.86016720427
HMF002159A	0	6239.98705940908	1825.89819465183	0	2794.90556988372	0	0	6524.78313198498	10748.6742681327	0	0	0	0	0	5051.75177593769
HMF000302A	0	3597.17149261166	0	10022.1569815706	2338.08643533123	0	0	10644.9463722397	0	0	0	0	0	0	3526.63871824681
HMF002330A	0	5215.03420577013	5002.84972220363	9129.43757948993	0	0	9266.056362541	3463.01091103822	0	0	0	0	0	0	5303.61121895709
HMF001917A	1044.84629025394	2037.30057454958	0	0	3804.15860405731	0	1324.27032203149	3719.33345155341	0	0	0	0	0	0	2139.09075755427
HMF001265A	0	4735.25650654737	0	0	1587.43264866277	5072.27296476504	0	2489.31473075793	0	0	0	0	0	0	1450.72314926689
HMF000929A	0	7128.55606328897	3996.62980522077	22506.2840006854	0	0	19186.9220026275	10143.0225909636	0	0	0	0	0	0	7042.58553721376
HMF001359A	0	10672.052815147	0	13128.8274500786	3074.97281629681	0	3915.92256908512	15019.4626978652	0	0	0	0	0	0	6429.76165152727
HMF003183A	0	5681.84376604629	0	18900.6537876513	0	0	5996.77967776626	13766.6985283432	0	0	0	0	0	0	7252.02424019295
HMF003689A	0	19209.5373928093	0	56586.7186269973	0	0	108055.960098312	34938.4303973944	0	0	0	0	0	0	30797.353484487
HMF002459A	9679.99322884512	0	0	23566.8970187003	0	0	16957.6085874176	0	15595.4613347141	0	0	0	0	0	9500.03983032289
HMF000350A	440.570182325744	1260.49236674518	0	0	1930.88161912239	0	0	519.852743609875	1125.00950885458	0	0	0	0	0	475.193579342231
HMF000681A	5098.38161582377	3355.44766737789	0	6998.21959517906	3624.78293062684	0	11110.7042269765	8197.48607346751	2901.22548872614	0	0	0	0	0	2039.75240182229
HMF000356A	0	9342.90011012156	0	9025.40350464542	0	0	5309.44323393882	15242.3370361263	0	0	0	0	0	0	7845.9161151679
HMF002972A	2683.37863678421	2258.16017271512	0	1202.11761077413	1834.94273671224	0	1915.48411637709	1602.82348103218	2188.12419039786	0	0	0	0	0	912.96905520717
HMF002983A	0	4532.27313769752	0	15214.1326619205	0	0	7313.8721132141	11653.3463274874	0	0	0	0	0	0	7310.37575968048
HMF003408A	3562.03603331789	7258.61119791386	4166.71190586511	5394.06888785923	4141.70463239335	0	9198.67547385322	9770.34174541771	0	0	0	0	0	0	2922.85012337963
HMF000307A	576.75837520938	1631.81637353434	0	0	1294.45770519263	460.806951423786	0	0	2645.39175041876	0	0	0	0	0	551.768844221104
HMF003010A	0	1574.3970015857	0	1996.80841862477	4345.87689202825	0	2559.52256018452	1508.25428859738	0	0	0	0	0	0	1919.14083897938
HMF002842A	2678.57508878414	3137.60206624911	0	8318.54995802931	0	0	9752.1958287596	2847.76932911474	8001.18561374056	0	0	0	0	0	4026.12211532254
HMF003290A	0	10391.6532293021	0	12142.2686655053	0	0	13920.8939486878	15100.3085768498	0	0	0	0	0	0	9601.875579655
HMF003428A	0	322.72921108742	176.492537313433	0	1118.96268656716	0	0	0	0	0	0	0	0	0	746.815565031987
HMF001848A	0	1677.3121672254	610.842042989548	1210.16821139815	2844.42102149477	0	1017.40248471702	909.253401695918	1064.96805363834	0	0	0	0	0	821.632616840854
HMF000203A	0	6773.31193080853	0	6338.82399489116	2062.44273378498	0	3838.89340848512	9701.73061972457	4039.88782763216	0	0	0	0	0	3259.90948467348
HMF003147A	24701.8314660678	10623.1865014469	0	51701.4728615945	0	0	45041.871089523	18418.4529766409	21949.3559493492	0	0	0	0	0	11788.8291553777
HMF000127A	0	14161.5034444502	4904.30650446359	12568.1907090149	0	0	20694.5851308117	15339.2562438722	0	0	0	0	0	0	9766.15796738741
HMF002689A	0	0	0	63908.8179476229	0	0	48395.4875532105	9319.00414663379	0	0	0	0	0	0	23632.6903525328
HMF003649A	0	11135.2163432302	10341.5216732248	37746.4791361116	0	0	27448.44073511	12321.7598864246	0	0	0	0	0	0	12783.5822258988
HMF002955A	0	5402.54150450012	8238.98823279008	26169.1694539042	0	0	18094.5911882754	17202.5796643152	0	0	0	0	0	0	7067.12995621499
HMF001152A	6430.31455375757	1234.09063834012	0	0	0	0	0	0	11083.2375905887	0	0	0	0	0	1465.35721731361
