Hartwig-Bone_SoftTissue_common_SBS17	Hartwig-Bone_SoftTissue_common_SBS18	Hartwig-Bone_SoftTissue_common_SBS2+13	Hartwig-Bone_SoftTissue_common_SBS1	Hartwig-Bone_SoftTissue_common_SBS3	Hartwig-Bone_SoftTissue_common_SBS8	Hartwig-Bone_SoftTissue_common_SBS127	Hartwig-Bone_SoftTissue_common_SBS122	Hartwig-Bone_SoftTissue_common_SBS161	Hartwig-Bone_SoftTissue_rare_SBS7a	Hartwig-Bone_SoftTissue_rare_SBS30	Hartwig-Bone_SoftTissue_rare_SBS31	Hartwig-Bone_SoftTissue_rare_SBS117	Hartwig-Bone_SoftTissue_rare_SBS11	Hartwig-Bone_SoftTissue_rare_SBS93+121	unassigned
HMF002872A	0	0	0	0	0	2346.6209761163	1583.68016614746	2129.4994807892	0	0	0	0	0	0	0	1684.19937694704
HMF003702A	0	0	0	171.102150537634	0	0	241.586021505376	0	123.602150537634	0	0	0	0	0	0	128.709677419356
HMF001082A	0	347.760758971539	0	781.462395160181	451.189605389798	0	718.505706036024	524.639076034649	393.729135157432	0	0	0	0	0	0	416.713323250377
HMF000416A	0	561.8600249066	0	1017.74645080946	365.908841843088	641.340224159402	428.893150684932	442.889663760897	437.39103362391	0	0	0	0	0	0	117.970610211711
HMF000647A	0	0	0	723.784035874439	0	370.706367713004	565.629417040359	305.228340807175	458.346188340807	0	0	0	0	0	0	384.305650224216
HMF002726A	0	0	571.416551835941	1675.22120450677	0	1813.32187727973	655.978195671557	0	0	0	0	0	0	0	0	1457.062170706
HMF003017A	0	0	319.213187792381	0	0	837.059033192248	1506.50612608599	527.852528402762	462.809088883939	0	0	0	0	0	0	838.56003564268
HMF001362B	0	0	1508.48542978474	1280.18494655147	716.943622785181	1729.77668765559	0	0	0	0	0	4408.80275296529	0	0	0	612.80656025773
HMF002827A	0	273.527010050251	0	340.277638190955	0	293.100502512563	0	177.165201005025	0	0	0	0	0	0	0	513.929648241206
HMF000301A	381.741773184661	0	682.720832200163	847.256051128638	397.292357900462	454.478379113408	490.595866195268	0	365.689556703835	0	0	0	0	0	0	69.2251835735651
HMF000932A	1671.06931203298	0	0	703.818603452718	1110.71373357382	555.356866786911	474.37773769647	0	693.82118010822	0	0	0	0	0	0	610.842566348881
HMF000368B	0	0	0	785.984590575166	307.385056441498	438.048736785522	620.2770112883	313.392581974557	0	0	0	0	0	0	0	328.912022934957
HMF000795A	0	1293.33054280313	0	856.035376721577	0	0	526.058061031596	386.64515257899	0	0	0	0	0	0	0	651.930866864707
HMF002453A	0	352.525812619503	2802.65542920399	996.900875515749	0	0	0	0	0	0	0	0	0	0	0	830.917882660758
HMF000977B	2728.20852829522	0	0	0	4632.64630970248	0	0	5574.59936435067	0	0	0	0	27979.1605897413	0	0	4463.38520791033
HMF000571B	0	0	162.167907361456	484.997518610422	0	0	468.931348221671	0	357.47229114971	0	0	0	0	0	0	347.430934656741
HMF000831A	0	0	292.903744970597	714.203652120087	0	488.507273290003	610.88486536676	0	804.983751160631	0	0	0	0	0	0	329.516713091922
HMF001732A	0	0	0	0	1395.48050427115	3239.61549324883	2074.21421190411	5155.77528244696	909.813275006889	0	0	0	0	0	0	1746.10123312206
HMF001511A	0	0	0	0	2328.81089494163	6811.29649805447	1718.33618677043	2372.84513618677	1083.84280155642	0	0	0	0	0	0	2402.86848249028
HMF002023B	0	465.052464649134	0	690.820668693009	0	548.651777454738	912.584115237214	459.545923087089	291.346108100965	0	0	0	0	0	0	419.998942777851
HMF000139A	0	0	0	565.305945140871	0	844.946630259402	1073.37842869554	0	880.089983864962	0	0	0	0	0	0	681.279012039225
HMF001199A	0	0	0	1614.25797219951	421.458980648678	381.415372035977	0	607.161215590079	0	0	0	0	0	0	0	648.706459525756
HMF000534A	0	0	0	298.85681426107	92.2645198389879	175.001725129385	0	0	177.508913168488	0	0	0	0	0	0	128.368027602069
HMF002289A	0	0	1248.5	2338	1517	759.5	935.5	824.5	1190	0	0	0	0	0	0	149
HMF001749A	423.253519307762	0	0	1198.54965775539	0	0	451.336691204959	817.922381505876	574.200568255198	0	0	0	0	0	0	417.737181970815
HMF001045B	0	0	0	962.152927120669	1350.59976105137	0	1361.55595380327	492.032656312226	0	0	0	0	0	0	0	835.658701712465
HMF002669A	0	553.843379529137	0	1597.81808315245	1149.32534646853	695.314242778427	1236.6158791117	0	0	0	0	0	0	0	0	776.083068959756
HMF000310A	0	456.778297094087	0	841.512700670595	0	1588.96809591546	925.563909774436	592.861207071733	0	0	0	0	0	0	0	518.315789473689
HMF002993A	0	0	0	0	0	0	0	0	0	0	0	0	0	261860.948309643	0	33174.051690357
HMF002570A	0	0	0	885.295143212951	0	0	849.160647571606	660.458281444583	579.657534246575	0	0	0	0	0	0	652.428393524285
HMF000405A	0	0	0	0	0	1637.91361454913	838.711795908058	618.656226319778	0	0	0	0	0	0	0	864.718363223034
HMF002633A	0	211.983378350301	0	228.521088718055	0	579.321005609807	740.688967380012	0	247.564512777893	0	0	0	0	0	0	403.921047163932
HMF000894A	0	0	0	222.161746866154	0	253.324706833805	337.766275778407	209.093408815204	0	0	0	0	0	0	0	220.65386170643
HMF001068A	0	624.08868501529	0	413.220838794233	0	1078.88204456094	1006.75622542595	0	778.357798165138	0	0	0	0	0	0	684.694408038449
