Hartwig-Kidney_common_SBS107	Hartwig-Kidney_common_SBS2+13	Hartwig-Kidney_common_SBS5	Hartwig-Kidney_common_SBS125	Hartwig-Kidney_rare_SBS1+5	Hartwig-Kidney_rare_SBS2	Hartwig-Kidney_rare_SBS44	Hartwig-Kidney_rare_SBS158	Hartwig-Kidney_rare_SBS3	Hartwig-Kidney_rare_SBS90	Hartwig-Kidney_rare_SBS17+18	Hartwig-Kidney_rare_SBS165	Hartwig-Kidney_rare_SBS126	Hartwig-Kidney_rare_SBS151	unassigned
HMF002563A	1815.45243479572	501.84863560983	2534.73548922056	1778.96344037389	0	0	0	0	0	0	0	0	0	0	0
HMF001660A	7548.8699276818	0	1740.04971876255	0	0	0	0	0	0	0	0	0	0	0	653.08035355565
HMF003119A	501.090762728919	0	986.210505131817	843.469510968002	0	0	0	0	0	0	0	0	0	0	149.229221171262
HMF001686A	2366.70774976657	637.094304388422	2718.03548085901	1246.16246498599	0	0	0	0	0	0	0	0	0	0	8.18545231595635e-12
HMF003170A	461.433911523464	1291.71466989377	921.86688180718	0	0	0	0	0	923.868764286675	0	0	0	0	0	123.115772488911
HMF002706A	672.002781046101	653.488929297251	2675.00139052305	5355.5068991336	0	0	0	0	0	0	0	0	0	0	0
HMF000428A	948.855298771601	0	2741.47116385592	3183.86994239711	0	0	0	0	0	0	0	0	0	0	336.803594975368
HMF001616A	816.851457244982	0	2334.72092383833	3898.22174869398	0	0	0	0	0	0	0	0	0	0	245.205870222709
HMF003229A	1911.78371192417	997.865152303335	2953.62088896596	2781.73024680654	0	0	0	0	0	0	0	0	0	0	0
HMF002837A	764.728481769277	759.226838015541	2596.27570233114	2573.76897788404	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
HMF002860A	939.545296167247	579.336236933798	2140.24216027875	1509.87630662021	0	0	0	0	0	0	0	0	0	0	0
HMF002531A	1924.85157638386	706.395050352136	2608.76587902323	2349.98749424077	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
HMF001709A	1775.43062954904	851.028738650859	1639.66534103699	2385.87529076311	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
HMF002797A	746.1508753862	0	3425.78398558187	3741.77136972194	0	0	0	0	0	1335.55998970134	0	0	0	0	475.73377960865
HMF002867A	1743.2303962704	411.881398601399	2253.32195804196	965.566247086247	0	0	0	0	0	0	0	0	0	0	0
HMF002486A	3524.61361072816	711.835693695952	2793.24125830305	964.309437272841	0	0	0	0	0	0	0	0	0	0	0
HMF003761A	719.436929496653	398.018343040946	2094.72798400417	2546.81674345823	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
HMF000934A	2579.90473966846	0	2426.32111448362	1053.07339092536	0	0	0	0	0	0	0	0	0	0	368.70075492256
HMF000047A	2509.6979373119	718.194964398444	1835.82984658298	1721.27725170667	0	0	0	0	0	0	0	0	0	0	5.45696821063757e-12
HMF000213A	778.040794475079	0	4290.71020932598	3942.13994325178	0	0	0	0	0	0	0	0	0	0	317.10905294716
HMF003633A	1826.29344923937	991.930953120149	2921.26917106489	2316.5064265756	0	0	0	0	0	0	0	0	0	0	0
HMF000952A	1965.05580704484	844.738930541802	2642.74748903664	1618.45777337672	0	0	0	0	0	0	0	0	0	0	0
HMF000190A	985.940007642338	485.439912113107	1894.0690676347	1889.55101260986	0	0	0	0	0	0	0	0	0	0	0
HMF003359A	1569.12910194424	351.753111819772	1876.85052978089	1066.2672564551	0	0	0	0	0	0	0	0	0	0	0
