Hartwig-Pancreas_common_SBS13	Hartwig-Pancreas_common_SBS127	Hartwig-Pancreas_common_SBS1	Hartwig-Pancreas_common_SBS17	Hartwig-Pancreas_common_SBS3+8	Hartwig-Pancreas_common_SBS100	Hartwig-Pancreas_common_SBS18	Hartwig-Pancreas_common_SBS31	Hartwig-Pancreas_rare_SBS6	Hartwig-Pancreas_rare_SBS98	Hartwig-Pancreas_rare_SBS108	unassigned
HMF003530A	0	0	2953.33598491061	597.979170083648	970.088486140725	0	514.843037559456	0	0	0	0	1070.75332130556
HMF001231A	2673.19869413486	0	1645.35404705617	549.287402904424	631.555105257233	1730.6315433975	1570.61082967466	0	0	0	0	111.362377575153
HMF003193A	0	0	2346.88960515713	0	574.962933118453	539.934730056406	589.975020145044	394.817888799355	0	0	0	521.419822723612
HMF002981A	0	305.702441271304	663.524643021649	0	901.070474435744	407.436204514049	593.363426992169	0	0	0	0	392.902809765085
HMF002008A	453.226037051953	756.542690293999	2034.77003624648	0	0	491.203080950463	618.126359242851	0	0	0	0	609.131796214254
HMF002640A	629.368700265252	607.890244621279	3396.09348659004	0	1030.9658709107	973.523489537283	1480.51494252874	0	0	0	0	355.643265546706
HMF000488A	3100.58009563658	0	0	0	2714.7011356844	1099.93066347878	961.435744172146	0	0	0	0	518.352361028094
HMF000542A	0	0	1987.40010438413	0	484.707306889353	1003.4643006263	516.253340292276	400.584551148226	0	0	0	404.590396659715
HMF000120A	0	405.89010989011	2241.41538461538	0	481.054945054945	453.494505494505	0	0	0	0	0	522.14505494506
HMF003375A	981.211620795107	2652.7380224261	1120.37988447163	0	1158.56323479443	711.416106014271	0	495.378729187903	0	0	0	273.312402310559
HMF001483A	2046.85481520731	1534.01536627368	1040.18850178832	0	5156.41303483905	0	0	0	0	0	0	1553.52828189164
HMF000102A	0	0	1892.97268932618	0	406.497316636852	369.360524746571	542.498270721527	462.70435301133	0	0	0	533.96684555754
HMF003180A	948.788846413312	0	2210.5185518327	0	0	1345.44636833821	859.590735327187	0	0	0	0	1283.65549808859
HMF000868A	698.279680470113	1019.71793223763	1218.86989257185	0	1102.07400606005	646.869525296116	431.246350197411	0	0	0	0	318.942613166831
HMF000603A	0	491.058473264261	1452.17291889961	0	780.092890317971	697.583065380493	435.051804215791	0	0	0	0	343.040847921874
HMF001197A	947.914863044454	0	1741.3436012573	0	0	1137.89779973058	1225.38994162551	0	0	0	0	514.453794342156
HMF002881A	0	435.445171849427	1201.84867178648	0	525.433841117965	448.943472239708	673.415208359562	417.947375047211	0	0	0	267.966259599647
HMF003400A	1027.84566915541	0	1082.97147296189	6791.49902895861	956.182124206983	0	0	0	0	0	0	1753.50170471711
HMF003630A	0	1516.80375244531	841.888760448159	0	459.804641650365	0	1940.00453494576	0	0	0	0	880.498310510406
HMF001518A	386.374483276964	0	2570.64477639985	0	553.970687711387	589.095640736565	627.231304021045	0	0	0	0	613.683107854189
HMF000210A	0	893.61089187056	1297.56511444357	0	1040.9589581689	1054.99210734017	0	0	0	0	0	792.8729281768
HMF000237A	743.913528352063	0	2505.84026765034	512.251865831689	799.33258986017	0	508.25769923651	0	0	0	0	750.404049069228
HMF003594A	0	0	2448.19940420778	0	0	0	1021.17408303854	0	0	0	1292.0772668032	647.54924595048
HMF000970A	0	0	2598.87750534134	0	0	942.362091769254	384.852070403907	0	0	0	0	992.908332485499
HMF003150A	7169.71299093655	0	0	0	5863.89929506546	1571.08056394763	1481.49043303122	0	0	0	0	2302.81671701914
HMF000163A	1028.89088332546	831.741143127067	1276.70760510156	0	519.71280113368	804.15021256495	427.408597071327	0	0	0	0	421.388757675956
HMF001865A	0	590.065418268051	1739.21906942514	0	871.857878812658	899.33764003598	1264.06901627279	424.687218905879	0	0	0	320.763758279502
HMF003501A	443.367651447329	482.855863921218	2678.7003879439	0	599.820948970457	745.277529095792	1237.63055804238	0	0	0	0	512.347060578924
HMF003547A	0	555.803983953521	1316.08770231014	0	429.006501590815	436.524138885046	576.853368377369	308.72430488311	0	0	0	0
HMF001807A	3213.32234042553	941.498936170213	1842.91276595745	743.077659574468	0	5180.49893617021	0	0	0	0	0	1266.68936170213
HMF001861A	741.822870452529	610.468888642414	2097.63753327418	0	0	0	0	5170.61612688554	0	0	0	454.454580745336
HMF001717A	0	0	1266.95063746322	0	0	804.644164759725	356.894573389997	0	0	0	0	642.510624387058
HMF002456A	604.408802934311	456.318606202067	2508.99933311104	0	0	903.601200400133	917.155218406135	0	0	0	0	631.516838946314
HMF002019A	0	387.340810660744	1346.90105496946	0	1016.3300388673	623.965352581899	562.674069961133	352.173681288173	0	0	0	234.614991671291
HMF000636A	605.646904588492	0	1791.95528040787	817.523379461034	1612.06016023307	821.0213401311	0	0	0	0	0	1212.79293517843
HMF000563A	1631.75509604653	0	713.297186159901	0	2979.09422545967	1538.95623568114	857.260823591611	0	0	0	0	818.636433061148
HMF001753A	0	733.782153064465	1130.74626865672	0	1134.75600719805	366.389859214565	1050.55149783	0	0	0	0	318.7742140362
HMF001285A	2057.61513640364	2041.58697565268	0	0	4233.93883836902	0	0	0	0	0	0	1911.85904957466
HMF004222A	0	1401.44885578713	1831.96912727491	0	715.024926422007	2049.23635053156	827.923599014956	1485.24475944501	0	0	0	43.1523815244273
