Hartwig-Head_neck_common_SBS31	Hartwig-Head_neck_common_SBS13	Hartwig-Head_neck_common_SBS1	Hartwig-Head_neck_common_SBS2	Hartwig-Head_neck_common_SBS112	Hartwig-Head_neck_common_SBS18	Hartwig-Head_neck_common_SBS4	Hartwig-Head_neck_common_SBS17	Hartwig-Head_neck_common_SBS125	Hartwig-Head_neck_common_SBS16	Hartwig-Head_neck_rare_SBS104	Hartwig-Head_neck_rare_SBS88	Hartwig-Head_neck_rare_SBS44	Hartwig-Head_neck_rare_SBS121	Hartwig-Head_neck_rare_SBS111	unassigned
HMF001683A	0	418.682049830125	1042.94450736127	923.10617214043	0	286.30832389581	0	0	0	394.11268403171	0	0	0	0	0	476.846262740655
HMF002843A	0	0	0	0	1640.4734522916	2148.89499552091	5352.20117182771	0	2735.45817495097	5430.34280802847	0	0	0	0	0	3381.62939738034
HMF003694A	0	0	724.194174757282	284.879696074293	0	823.152384972562	389.835373575348	0	0	528.776699029126	0	0	0	0	0	801.161671591389
HMF001606A	0	0	925.955977557186	342.704359085024	0	1547.45360379801	0	0	0	0	0	0	0	0	0	681.88605955978
HMF000290A	0	3956.01150911677	0	3465.44807965861	0	4242.54855812751	15211.9668951248	0	0	5340.19048234838	0	0	0	0	0	6453.83447562393
HMF003711A	0	828.164201007417	1336.76504184349	0	1545.80648871614	0	2065.40951096656	0	3919.2770792845	0	0	0	0	0	0	2913.57767818189
HMF003089A	0	0	659.537750385208	0	0	0	0	0	181.941448382126	355.796610169491	0	0	0	0	0	442.724191063175
HMF001582A	0	6593.878359981	0	4815.87186955833	3911.61427892987	3095.88190596802	0	0	0	9064.58217508311	0	0	0	0	0	4112.17141047967
HMF000039A	0	0	908.034065934066	320.246398046398	0	1581.6557997558	0	0	0	371.947619047619	0	0	0	0	0	929.116117216117
HMF000823A	0	6138.73826010756	0	0	0	3338.90154470008	0	2605.81338167322	4171.00161514803	0	0	0	0	9850.18460798296	0	2998.36059038815
HMF000949A	0	322.80023923445	605.313397129187	278.484449760766	0	871.711722488038	0	0	629.485645933014	360.569377990431	0	0	0	0	0	299.635167464114
HMF003393A	783.082200121778	832.873553886747	1684.85894053176	0	1153.24822407144	0	0	0	1042.6007712604	0	0	0	0	0	3525.63020093363	889.706109194245
HMF000290B	0	7923.19445399971	0	2835.6116357261	0	4723.68349626605	15870.9158224126	0	2938.2242368424	5473.50630832566	0	0	0	0	0	5343.86404642748
HMF004069A	3838.32871619469	0	0	2086.58135582418	8116.59626946528	0	3179.17120944956	0	1584.08011302076	2572.56612351554	0	0	0	0	0	2181.67621252999
HMF004191A	0	961.828448275862	929.300431034483	0	1226.05603448276	2148.35043103448	0	0	3265.81293103448	3391.42112068966	0	0	0	0	0	2009.23060344828
HMF004354A	0	0	1050.45471787577	1742.92486745118	785.966119229277	1291.44432949696	0	0	3635.84326910643	1787.9229277124	0	0	0	0	0	1304.44376912798
HMF004331A	0	21977.6555192243	0	16220.470222122	0	0	0	0	0	0	0	0	0	0	0	6213.8742586537
